[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	Vial	Excluded	Inj. Vol.	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 1:45:59 PM	1	1	NPOC	2.847	3.497	0.000	 	 	 	1	1	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 1:48:07 PM	1	2	NPOC	3.689	3.497	0.000	 	 	 	1	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 1:50:17 PM	1	3	NPOC	3.045	3.497	0.000	 	 	 	1	1	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 1:52:27 PM	1	4	NPOC	3.343	3.497	0.000	 	 	 	1	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 1:54:36 PM	1	5	NPOC	3.458	3.497	0.000	 	 	 	1	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 1:59:33 PM	2	1	NPOC	9.020	8.852	2.500	 	 	 	2	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 2:02:06 PM	2	2	NPOC	9.442	8.852	2.500	 	 	 	2	1	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 2:04:30 PM	2	3	NPOC	8.778	8.852	2.500	 	 	 	2	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 2:07:08 PM	2	4	NPOC	8.758	8.852	2.500	 	 	 	2	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 2:12:04 PM	3	1	NPOC	15.43	15.26	5.000	 	 	 	3	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 2:14:36 PM	3	2	NPOC	15.02	15.26	5.000	 	 	 	3	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 2:17:17 PM	3	3	NPOC	14.75	15.26	5.000	 	 	 	3	1	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 2:19:49 PM	3	4	NPOC	15.33	15.26	5.000	 	 	 	3	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 2:25:01 PM	4	1	NPOC	28.77	28.74	10.00	 	 	 	4	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 2:27:41 PM	4	2	NPOC	28.87	28.74	10.00	 	 	 	4	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 2:30:29 PM	4	3	NPOC	28.57	28.74	10.00	 	 	 	4	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 2:35:42 PM	5	1	NPOC	55.53	55.46	20.00	 	 	 	5	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 2:38:30 PM	5	2	NPOC	55.16	55.46	20.00	 	 	 	5	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 2:41:16 PM	5	3	NPOC	55.69	55.46	20.00	 	 	 	5	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 2:46:42 PM	6	1	NPOC	81.77	82.01	30.00	 	 	 	6	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 2:49:35 PM	6	2	NPOC	81.38	82.01	30.00	 	 	 	6	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 2:52:27 PM	6	3	NPOC	82.89	82.01	30.00	 	 	 	6	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_16_13_38_10.cal		1.00		10/16/2020 2:58:00 PM	7	1	NPOC	272.9	274.1	100.0	 	 	 	7	0	50	
