[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	Vial	Excluded	Inj. Vol.	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 12:02:20 PM	1	1	NPOC	1.409	1.409	0.000	 	 	 	1	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 12:04:31 PM	1	2	NPOC	1.858	1.409	0.000	 	 	 	1	1	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 12:06:43 PM	1	3	NPOC	1.629	1.409	0.000	 	 	 	1	1	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 12:09:06 PM	1	4	NPOC	1.485	1.409	0.000	 	 	 	1	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 12:11:15 PM	1	5	NPOC	1.334	1.409	0.000	 	 	 	1	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 12:16:09 PM	2	1	NPOC	8.072	8.460	2.500	 	 	 	2	1	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 12:18:43 PM	2	2	NPOC	8.588	8.460	2.500	 	 	 	2	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 12:21:09 PM	2	3	NPOC	8.424	8.460	2.500	 	 	 	2	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 12:23:38 PM	2	4	NPOC	8.369	8.460	2.500	 	 	 	2	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 12:28:36 PM	3	1	NPOC	14.81	15.02	5.000	 	 	 	3	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 12:31:13 PM	3	2	NPOC	14.91	15.02	5.000	 	 	 	3	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 12:33:52 PM	3	3	NPOC	15.33	15.02	5.000	 	 	 	3	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 12:39:11 PM	4	1	NPOC	29.53	29.72	10.00	 	 	 	4	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 12:41:55 PM	4	2	NPOC	29.92	29.72	10.00	 	 	 	4	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 12:44:41 PM	4	3	NPOC	29.70	29.72	10.00	 	 	 	4	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 12:49:54 PM	5	1	NPOC	56.28	56.76	20.00	 	 	 	5	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 12:52:49 PM	5	2	NPOC	57.16	56.76	20.00	 	 	 	5	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 12:55:37 PM	5	3	NPOC	56.83	56.76	20.00	 	 	 	5	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 1:00:54 PM	6	1	NPOC	83.93	84.54	30.00	 	 	 	6	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 1:03:47 PM	6	2	NPOC	85.37	84.54	30.00	 	 	 	6	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 1:06:38 PM	6	3	NPOC	84.32	84.54	30.00	 	 	 	6	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 1:12:13 PM	7	1	NPOC	280.4	282.2	100.0	 	 	 	7	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 1:15:14 PM	7	2	NPOC	283.9	282.2	100.0	 	 	 	7	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal		1.00		10/20/2020 1:18:13 PM	7	3	NPOC	282.3	282.2	100.0	 	 	 	7	0	50	
Unknown	NPOC	Dummy	Dummy	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal	1.00		10/20/2020 1:22:50 PM	1	1	NPOC	1.897	1.877	0.2809	0.2738	NPOC:0.2738mg/L	NPOC:0.2738mg/L	8	0	50	
Unknown	NPOC	Dummy	Dummy	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal	1.00		10/20/2020 1:25:05 PM	1	2	NPOC	2.396	1.877	0.4586	0.2738	NPOC:0.2738mg/L	NPOC:0.2738mg/L	8	1	50	
Unknown	NPOC	Dummy	Dummy	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal	1.00		10/20/2020 1:27:14 PM	1	3	NPOC	1.862	1.877	0.2685	0.2738	NPOC:0.2738mg/L	NPOC:0.2738mg/L	8	0	50	
Unknown	NPOC	Dummy	Dummy	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal	1.00		10/20/2020 1:29:22 PM	1	4	NPOC	1.872	1.877	0.2720	0.2738	NPOC:0.2738mg/L	NPOC:0.2738mg/L	8	0	50	
Unknown	NPOC	Dummy	Dummy	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal	1.00		10/20/2020 1:33:58 PM	1	1	NPOC	1.983	1.987	0.3115	0.3128	NPOC:0.3128mg/L	NPOC:0.3128mg/L	9	0	50	
Unknown	NPOC	Dummy	Dummy	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal	1.00		10/20/2020 1:36:06 PM	1	2	NPOC	1.982	1.987	0.3112	0.3128	NPOC:0.3128mg/L	NPOC:0.3128mg/L	9	0	50	
Unknown	NPOC	Dummy	Dummy	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal	1.00		10/20/2020 1:38:13 PM	1	3	NPOC	1.995	1.987	0.3158	0.3128	NPOC:0.3128mg/L	NPOC:0.3128mg/L	9	0	50	
Unknown	NPOC	168	168	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal	1.00		10/20/2020 1:43:29 PM	1	1	NPOC	53.80	53.61	18.76	18.70	NPOC:18.70mg/L	NPOC:18.70mg/L	10	0	50	
Unknown	NPOC	168	168	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal	1.00		10/20/2020 1:46:17 PM	1	2	NPOC	53.38	53.61	18.62	18.70	NPOC:18.70mg/L	NPOC:18.70mg/L	10	0	50	
Unknown	NPOC	168	168	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal	1.00		10/20/2020 1:49:09 PM	1	3	NPOC	53.64	53.61	18.71	18.70	NPOC:18.70mg/L	NPOC:18.70mg/L	10	0	50	
Unknown	NPOC	202	202	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal	1.00		10/20/2020 1:54:12 PM	1	1	NPOC	38.00	38.78	13.14	13.41	NPOC:13.41mg/L	NPOC:13.41mg/L	11	0	50	
Unknown	NPOC	202	202	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal	1.00		10/20/2020 1:57:06 PM	1	2	NPOC	39.06	38.78	13.52	13.41	NPOC:13.41mg/L	NPOC:13.41mg/L	11	0	50	
Unknown	NPOC	202	202	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal	1.00		10/20/2020 1:59:45 PM	1	3	NPOC	39.27	38.78	13.59	13.41	NPOC:13.41mg/L	NPOC:13.41mg/L	11	0	50	
Unknown	NPOC	203	203	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal	1.00		10/20/2020 2:04:55 PM	1	1	NPOC	36.42	36.95	12.58	12.77	NPOC:12.77mg/L	NPOC:12.77mg/L	12	0	50	
Unknown	NPOC	203	203	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal	1.00		10/20/2020 2:07:45 PM	1	2	NPOC	37.04	36.95	12.80	12.77	NPOC:12.77mg/L	NPOC:12.77mg/L	12	0	50	
Unknown	NPOC	203	203	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal	1.00		10/20/2020 2:10:30 PM	1	3	NPOC	37.40	36.95	12.92	12.77	NPOC:12.77mg/L	NPOC:12.77mg/L	12	0	50	
Unknown	NPOC	283	283	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal	1.00		10/20/2020 2:15:36 PM	1	1	NPOC	16.12	16.16	5.346	5.361	NPOC:5.361mg/L	NPOC:5.361mg/L	13	0	50	
Unknown	NPOC	283	283	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal	1.00		10/20/2020 2:18:10 PM	1	2	NPOC	16.29	16.16	5.407	5.361	NPOC:5.361mg/L	NPOC:5.361mg/L	13	0	50	
Unknown	NPOC	283	283	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal	1.00		10/20/2020 2:20:55 PM	1	3	NPOC	16.08	16.16	5.332	5.361	NPOC:5.361mg/L	NPOC:5.361mg/L	13	0	50	
Unknown	NPOC	219	219	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal	1.00		10/20/2020 2:25:50 PM	1	1	NPOC	15.72	15.72	5.204	5.205	NPOC:5.205mg/L	NPOC:5.205mg/L	14	0	50	
Unknown	NPOC	219	219	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_20_11_54_35.cal	1.00		10/20/2020 2:28:20 PM	1	2	NPOC	15.70	15.72	5.196	5.205	NPOC:5.205mg/L	NPOC:5.205mg/L	14	0	50	
