[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	Vial	Excluded	Inj. Vol.	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 12:29:20 PM	1	1	NPOC	2.513	2.513	0.000	 	 	 	1	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 12:31:27 PM	1	2	NPOC	2.089	2.513	0.000	 	 	 	1	1	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 12:33:36 PM	1	3	NPOC	2.487	2.513	0.000	 	 	 	1	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 12:35:45 PM	1	4	NPOC	2.538	2.513	0.000	 	 	 	1	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 12:40:33 PM	2	1	NPOC	8.177	8.564	2.500	 	 	 	2	1	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 12:42:59 PM	2	2	NPOC	7.853	8.564	2.500	 	 	 	2	1	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 12:45:33 PM	2	3	NPOC	8.721	8.564	2.500	 	 	 	2	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 12:47:58 PM	2	4	NPOC	8.611	8.564	2.500	 	 	 	2	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 12:50:16 PM	2	5	NPOC	8.361	8.564	2.500	 	 	 	2	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 12:55:22 PM	3	1	NPOC	15.04	15.09	5.000	 	 	 	3	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 12:57:56 PM	3	2	NPOC	15.15	15.09	5.000	 	 	 	3	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 1:00:36 PM	3	3	NPOC	15.07	15.09	5.000	 	 	 	3	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 1:05:39 PM	4	1	NPOC	26.73	26.85	10.00	 	 	 	4	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 1:08:15 PM	4	2	NPOC	27.25	26.85	10.00	 	 	 	4	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 1:10:54 PM	4	3	NPOC	26.57	26.85	10.00	 	 	 	4	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 1:16:05 PM	5	1	NPOC	54.82	55.27	20.00	 	 	 	5	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 1:18:55 PM	5	2	NPOC	55.87	55.27	20.00	 	 	 	5	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 1:21:40 PM	5	3	NPOC	55.13	55.27	20.00	 	 	 	5	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 1:26:54 PM	6	1	NPOC	80.59	81.47	30.00	 	 	 	6	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 1:29:45 PM	6	2	NPOC	82.20	81.47	30.00	 	 	 	6	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 1:32:36 PM	6	3	NPOC	81.62	81.47	30.00	 	 	 	6	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 1:38:01 PM	7	1	NPOC	270.3	269.0	100.0	 	 	 	7	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 1:40:50 PM	7	2	NPOC	269.0	269.0	100.0	 	 	 	7	0	50	
Standard	NPOC	Untitled	Untitled	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal		1.00		10/14/2020 1:43:48 PM	7	3	NPOC	267.7	269.0	100.0	 	 	 	7	0	50	
Unknown	NPOC	dummy	dummy	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal	1.00		10/14/2020 1:48:25 PM	1	1	NPOC	1.526	1.845	-0.02429	0.09520	NPOC:0.09520mg/L	NPOC:0.09520mg/L	8	1	50	
Unknown	NPOC	dummy	dummy	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal	1.00		10/14/2020 1:50:34 PM	1	2	NPOC	1.869	1.845	0.1041	0.09520	NPOC:0.09520mg/L	NPOC:0.09520mg/L	8	0	50	
Unknown	NPOC	dummy	dummy	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal	1.00		10/14/2020 1:52:53 PM	1	3	NPOC	2.353	1.845	0.2852	0.09520	NPOC:0.09520mg/L	NPOC:0.09520mg/L	8	1	50	
Unknown	NPOC	dummy	dummy	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal	1.00		10/14/2020 1:55:06 PM	1	4	NPOC	1.994	1.845	0.1508	0.09520	NPOC:0.09520mg/L	NPOC:0.09520mg/L	8	0	50	
Unknown	NPOC	dummy	dummy	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal	1.00		10/14/2020 1:57:15 PM	1	5	NPOC	1.673	1.845	0.03071	0.09520	NPOC:0.09520mg/L	NPOC:0.09520mg/L	8	0	50	
Unknown	NPOC	dummy	dummy	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal	1.00		10/14/2020 2:01:53 PM	1	1	NPOC	1.343	1.275	-0.09277	-0.1183	NPOC:-0.1183mg/L	NPOC:-0.1183mg/L	9	0	50	
Unknown	NPOC	dummy	dummy	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal	1.00		10/14/2020 2:04:02 PM	1	2	NPOC	1.447	1.275	-0.05386	-0.1183	NPOC:-0.1183mg/L	NPOC:-0.1183mg/L	9	1	50	
Unknown	NPOC	dummy	dummy	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal	1.00		10/14/2020 2:06:12 PM	1	3	NPOC	1.232	1.275	-0.1343	-0.1183	NPOC:-0.1183mg/L	NPOC:-0.1183mg/L	9	0	50	
Unknown	NPOC	dummy	dummy	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal	1.00		10/14/2020 2:08:19 PM	1	4	NPOC	1.249	1.275	-0.1279	-0.1183	NPOC:-0.1183mg/L	NPOC:-0.1183mg/L	9	0	50	
Unknown	NPOC	236	236	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal	1.00		10/14/2020 2:13:33 PM	1	1	NPOC	51.32	51.40	18.61	18.64	NPOC:18.64mg/L	NPOC:18.64mg/L	10	0	50	
Unknown	NPOC	236	236	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal	1.00		10/14/2020 2:16:16 PM	1	2	NPOC	51.38	51.40	18.63	18.64	NPOC:18.64mg/L	NPOC:18.64mg/L	10	0	50	
Unknown	NPOC	236	236	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal	1.00		10/14/2020 2:19:07 PM	1	3	NPOC	51.50	51.40	18.68	18.64	NPOC:18.64mg/L	NPOC:18.64mg/L	10	0	50	
Unknown	NPOC	330	330	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal	1.00		10/14/2020 2:24:12 PM	1	1	NPOC	30.58	30.80	10.85	10.93	NPOC:10.93mg/L	NPOC:10.93mg/L	11	0	50	
Unknown	NPOC	330	330	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal	1.00		10/14/2020 2:26:51 PM	1	2	NPOC	30.82	30.80	10.94	10.93	NPOC:10.93mg/L	NPOC:10.93mg/L	11	0	50	
Unknown	NPOC	330	330	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal	1.00		10/14/2020 2:29:31 PM	1	3	NPOC	31.00	30.80	11.00	10.93	NPOC:10.93mg/L	NPOC:10.93mg/L	11	0	50	
Unknown	NPOC	327	327	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal	1.00		10/14/2020 2:34:48 PM	1	1	NPOC	42.03	41.53	15.13	14.95	NPOC:14.95mg/L	NPOC:14.95mg/L	12	0	50	
Unknown	NPOC	327	327	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal	1.00		10/14/2020 2:37:38 PM	1	2	NPOC	41.44	41.53	14.91	14.95	NPOC:14.95mg/L	NPOC:14.95mg/L	12	0	50	
Unknown	NPOC	327	327	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal	1.00		10/14/2020 2:40:18 PM	1	3	NPOC	41.12	41.53	14.79	14.95	NPOC:14.95mg/L	NPOC:14.95mg/L	12	0	50	
Unknown	NPOC	313	313	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal	1.00		10/14/2020 2:45:26 PM	1	1	NPOC	16.42	15.82	5.549	5.326	NPOC:5.326mg/L	NPOC:5.326mg/L	13	1	50	
Unknown	NPOC	313	313	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.cal	C:\TOC-L\CalCurves\Randi_Jones_October_24_2019.2020_10_14_12_21_33.cal	1.00		10/14/2020 2:48:03 PM	1	2	NPOC	15.85	15.82	5.336	5.326	NPOC:5.326mg/L	NPOC:5.326mg/L	13	0	50	
