"projectID","lakeID","sampleID","dateSample","parameter","parameterValue","QCcode","flag","comments","updateID","metadataID"
"1","BW","BW_DeepHole_20100930_1016_PML_3_Methane.Sample.20100929","2010-09-30","DOC",25960,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"1","SMA","SMA_DeepHole_20101001_1245_PML_5_Methane.Sample.20100929","2010-10-01","DOC",6670,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"1","GV","GV_DeepHole_20100930_1226_PML_10_Methane.Sample.20100929","2010-09-30","DOC",5740,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"1","ST","ST_DeepHole_20100929_1100_PML_6_Methane.Sample.20100929","2010-09-29","DOC",7060,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"1","DI","DI_DeepHole_20100929_1410_PML_10_Methane.Sample.20100929","2010-09-29","DOC",5260,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"1","PL","PL_DeepHole_20101001_1030_PML_5_Methane.Sample.20100929","2010-10-01","DOC",20540,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"1","WO","WO_DeepHole_20101001_0936_PML_5.5_Methane.Sample.20100929","2010-10-01","DOC",8080,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"2","DI","DI_DeepHole_20110623_0949_PML_5.5_Methane.Sample.20110601","2011-06-23","DOC",4550,"code11","0","rep 2 lost, TN not available","originalDB.20160217","DOC.20110601"
"4","BO","BO_DeepHole_20110714_0000_PML_0_Limno.Sample.20110517","2011-07-14","DOC",17870,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"5","BR","BR_DeepHole_20110704_1008_MidEpi_1.5_ZoopSurv.Sample.20110517","2011-07-04","DOC",11000,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"4","CB","CB_DeepHole_20110630_1233_PML_0_Methane.Sample.20110601","2011-06-30","DOC",17960,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_DeepHole_20110525_1100_PML_1_Limno.Sample.20110517","2011-05-25","DOC",7970,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_Inlet1_20110525_0000_Surface_0_Limno.Sample.20110517","2011-05-25","DOC",70760,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_Outlet_20110525_0000_Surface_0_Limno.Sample.20110517","2011-05-25","DOC",7560,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_Outlet_20110601_0000_Surface_0_Limno.Sample.20110517","2011-06-01","DOC",75160,"code11","0","very high; no rep","originalDB.20160217","DOC.20110601"
"3","EL","EL_Inlet1_20110601_0000_Surface_0_Limno.Sample.20110517","2011-06-01","DOC",9480,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_DeepHole_20110608_1111_Hypo_8_Limno.Sample.20110517","2011-06-08","DOC",7650,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_Inlet1_20110608_0000_Surface_0_Limno.Sample.20110517","2011-06-08","DOC",85390,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_Inlet1_20110615_0000_Surface_0_Limno.Sample.20110517","2011-06-15","DOC",82050,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_Outlet_20110615_0000_Surface_0_Limno.Sample.20110517","2011-06-15","DOC",8550,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_Outlet_20110618_0000_Surface_0_Limno.Sample.20110517","2011-06-18","DOC",21400,"code11","0","high; no rep","originalDB.20160217","DOC.20110601"
"3","EL","EL_Inlet1_20110622_0000_Surface_0_Limno.Sample.20110517","2011-06-22","DOC",70650,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_Outlet_20110622_0000_Surface_0_Limno.Sample.20110517","2011-06-22","DOC",11250,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_Inlet1_20110629_0000_Surface_0_Limno.Sample.20110517","2011-06-29","DOC",32690,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_Outlet_20110629_0000_Surface_0_Limno.Sample.20110517","2011-06-29","DOC",6830,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_Inlet1_20110706_0000_Surface_0_Limno.Sample.20110517","2011-07-06","DOC",76710,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_Outlet_20110706_0000_Surface_0_Limno.Sample.20110517","2011-07-06","DOC",6440,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_Outlet_20110713_0000_Surface_0_Limno.Sample.20110517","2011-07-13","DOC",8270,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_Outlet_20110720_0000_Surface_0_Limno.Sample.20110517","2011-07-20","DOC",7190,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_Inlet1_20110803_0000_Surface_0_Limno.Sample.20110517","2011-08-03","DOC",47020,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_Outlet_20110803_0000_Surface_0_Limno.Sample.20110517","2011-08-03","DOC",7030,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"4","HB","HB_DeepHole_20110722_1355_PML_0_Methane.Sample.20110601","2011-07-22","DOC",24810,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"4","NG","NG_DeepHole_20110729_1225_PML_0_Methane.Sample.20110601","2011-07-29","DOC",28670,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"4","RB","RB_DeepHole_20110726_1231_PML_1_Methane.Sample.20110601","2011-07-26","DOC",6020,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"4","RE","RE_DeepHole_20110804_1306_PML_0_Methane.Sample.20110601","2011-08-04","DOC",20890,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"4","TU","TU_DeepHole_20110708_1144_PML_1_Methane.Sample.20110601","2011-07-08","DOC",10080,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","WL","WL_DeepHole_20110706_0921_PML_1_Limno.Sample.20110517","2011-07-06","DOC",5630,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"5","BA","BA_DeepHole_20110808_1335_MidEpi_1.5_ZoopSurv.Sample.20110517","2011-08-08","DOC",6960,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"5","IN","IN_DeepHole_20110808_1030_MidEpi_1.5_ZoopSurv.Sample.20110517","2011-08-08","DOC",14680,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","WL","WL_DeepHole_20110810_1000_PML_1_Limno.Sample.20110517","2011-08-10","DOC",11320,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_DeepHole_20110810_1103_PML_1_Limno.Sample.20110517","2011-08-10","DOC",8670,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_DeepHole_20110812_0000_MidEpi__Limno.Sample.20110517","2011-08-12","DOC",8610,"code11","0","Bioassay","originalDB.20160217","DOC.20110601"
"3","WL","WL_DeepHole_20110812_0000_MidEpi__Limno.Sample.20110517","2011-08-12","DOC",7970,"code11","0","Bioassay","originalDB.20160217","DOC.20110601"
"3","EL","EL_Outlet_20110812_0000_Surface_0_Limno.Sample.20110517","2011-08-12","DOC",8990,"code11","0","Bioassay","originalDB.20160217","DOC.20110601"
"3","EL","EL_Net_20110812_0000_MidEpi__Limno.Sample.20110517","2011-08-12","DOC",8790,"code11","0","Bioassay","originalDB.20160217","DOC.20110601"
"3","WL","WL_Net_20110812_0000_MidEpi__Limno.Sample.20110517","2011-08-12","DOC",7830,"code11","0","Bioassay","originalDB.20160217","DOC.20110601"
"3","EL","EL_Outlet_20110810_1103_Surface_0_Limno.Sample.20110517","2011-08-10","DOC",12830,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_DeepHole_20110921_1120_PML_3_Limno.Sample.20110517","2011-09-21","DOC",7500,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_Outlet_20110817_1025_Surface_0_Limno.Sample.20110517","2011-08-17","DOC",7560,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_DeepHole_20111018_0000_MidEpi__Limno.Sample.20110517","2011-10-18","DOC",11240,"code11","0","Bioassay","originalDB.20160217","DOC.20110601"
"4","CB","CB_DeepHole_20110630_1233_point_2.5_Methane.Sample.20110601","2011-06-30","DOC",17960,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"4","CB","CB_DeepHole_20110630_1233_point_2.8_Methane.Sample.20110601","2011-06-30","DOC",17640,"code11","0",NA,"originalDB.20160217","DOC.20110601"
"2","BC","BC_DeepHole_20110804_0950_PML_4.5_Methane.Sample.20110601","2011-08-04","DOC",5020,"code10","0",NA,"originalDB.20160217","DOC.20110601"
"2","BI","BI_DeepHole_20110809_1025_PML_4.5_Methane.Sample.20110601","2011-08-09","DOC",5340,"code10","0",NA,"originalDB.20160217","DOC.20110601"
"2","BL","BL_DeepHole_20110816_0948_PML_2.5_Methane.Sample.20110601","2011-08-16","DOC",8400,"code10","0",NA,"originalDB.20160217","DOC.20110601"
"2","BW","BW_DeepHole_20110630_1027_PML_1_Methane.Sample.20110601","2011-06-30","DOC",27450,"code10","0",NA,"originalDB.20160217","DOC.20110601"
"2","CH","CH_DeepHole_20110825_0902_PML_3.5_Methane.Sample.20110601","2011-08-25","DOC",5500,"code10","0",NA,"originalDB.20160217","DOC.20110601"
"2","CO","CO_DeepHole_20110823_0859_PML_6_Methane.Sample.20110601","2011-08-23","DOC",4600,"code10","0",NA,"originalDB.20160217","DOC.20110601"
"2","DO","DO_DeepHole_20110726_0950_PML_4_Methane.Sample.20110601","2011-07-26","DOC",4760,"code10","0",NA,"originalDB.20160217","DOC.20110601"
"2","GA","GA_DeepHole_20110802_1043_PML_2.5_Methane.Sample.20110601","2011-08-02","DOC",8860,"code10","0",NA,"originalDB.20160217","DOC.20110601"
"2","GV","GV_DeepHole_20110628_1030_PML_5_Methane.Sample.20110601","2011-06-28","DOC",5620,"code10","0",NA,"originalDB.20160217","DOC.20110601"
"2","HU","HU_DeepHole_20110721_1048_PML_3.5_Methane.Sample.20110601","2011-07-21","DOC",7730,"code10","0",NA,"originalDB.20160217","DOC.20110601"
"2","JU","JU_DeepHole_20110728_0941_PML_3.5_Methane.Sample.20110601","2011-07-28","DOC",6000,"code10","0",NA,"originalDB.20160217","DOC.20110601"
"2","LW","LW_DeepHole_20110714_0946_PML_3.5_Methane.Sample.20110601","2011-07-14","DOC",12660,"code10","0",NA,"originalDB.20160217","DOC.20110601"
"2","MA","MA_DeepHole_20110811_0957_PML_3.5_Methane.Sample.20110601","2011-08-11","DOC",6010,"code10","0",NA,"originalDB.20160217","DOC.20110601"
"2","NC","NC_DeepHole_20110707_0942_PML_2_Methane.Sample.20110601","2011-07-07","DOC",11660,"code10","0","TN rep 2 not good","originalDB.20160217","DOC.20110601"
"2","PL","PL_DeepHole_20110705_1021_PML_1_Methane.Sample.20110601","2011-07-05","DOC",22920,"code10","0",NA,"originalDB.20160217","DOC.20110601"
"2","RO","RO_DeepHole_20110818_0954_PML_6_Methane.Sample.20110601","2011-08-18","DOC",5300,"code10","0",NA,"originalDB.20160217","DOC.20110601"
"2","SN","SN_DeepHole_20110712_0944_PML_3_Methane.Sample.20110601","2011-07-12","DOC",4520,"code10","0",NA,"originalDB.20160217","DOC.20110601"
"2","ST","ST_DeepHole_20110601_1015_PML_3_Methane.Sample.20110601","2011-06-01","DOC",6500,"code10","0","TN not available","originalDB.20160217","DOC.20110601"
"2","ST","ST_DeepHole_20110621_1015_PML_3_Methane.Sample.20110601","2011-06-21","DOC",6540,"code10","0","TN not available","originalDB.20160217","DOC.20110601"
"2","UF","UF_DeepHole_20110719_0956_PML_1.5_Methane.Sample.20110601","2011-07-19","DOC",11560,"code10","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_DeepHole_20110601_1045_Hypo_8_Limno.Sample.20110517","2011-06-01","DOC",8800,"code10","0",NA,"originalDB.20160217","DOC.20110601"
"3","EL","EL_DeepHole_20110601_1045_PML_2_Limno.Sample.20110517","2011-06-01","DOC",9580,"code10","0",NA,"originalDB.20160217","DOC.20110601"
