"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","DOC","TN_DOC","replicate","metadataID","comments","flag","updateID"
35,"HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505","HB","DeepHole",2020-06-03,2020-06-03 10:40:00,"point",7,7,30.2128209640071,NA,1,"DOC.20110601",NA,NA,"tableDOC_2020.20201118"
35,"HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505","HB","DeepHole",2020-06-03,2020-06-03 10:40:00,"point",7,7,31.1072510741521,NA,2,"DOC.20110601","Samples sat thawed and acidified for 30 days before running due to TOC machine unavailability. Samples stored in refrigerator and vials were parafilmed.",NA,"tableDOC_2020.20201118"
3,"WL_DeepHole_20200604_0915_PML_1_Limno.Sample.20160505","WL","DeepHole",2020-06-04,2020-06-04 09:15:00,"PML",0,1,6.78049170787957,NA,1,"DOC.20110601",NA,NA,"tableDOC_2020.20201118"
3,"WL_DeepHole_20200604_0915_PML_1_Limno.Sample.20160505","WL","DeepHole",2020-06-04,2020-06-04 09:15:00,"PML",0,1,6.63664132583357,NA,2,"DOC.20110601","Samples sat thawed and acidified for 30 days before running due to TOC machine unavailability. Samples stored in refrigerator and vials were parafilmed.",NA,"tableDOC_2020.20201118"
3,"WL_DeepHole_20200604_0915_Hypo_8_Limno.Sample.20160505","WL","DeepHole",2020-06-04,2020-06-04 09:15:00,"Hypo",8,8,6.83466483507161,NA,1,"DOC.20110601",NA,NA,"tableDOC_2020.20201118"
3,"WL_DeepHole_20200604_0915_Hypo_8_Limno.Sample.20160505","WL","DeepHole",2020-06-04,2020-06-04 09:15:00,"Hypo",8,8,6.83699978807642,NA,2,"DOC.20110601","Samples sat thawed and acidified for 30 days before running due to TOC machine unavailability. Samples stored in refrigerator and vials were parafilmed.",NA,"tableDOC_2020.20201118"
3,"FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-06-04,2020-06-04 10:45:00,"Hypo",8,8,18.807196209146,NA,2,"DOC.20110601","Samples sat thawed and acidified for 30 days before running due to TOC machine unavailability. Samples stored in refrigerator and vials were parafilmed.",NA,"tableDOC_2020.20201118"
3,"FE_Inlet1_20200604_1045_Surface_0_Limno.Sample.20160505","FE","Inlet1",2020-06-04,2020-06-04 10:45:00,"Surface",0,0,61.3680850803355,NA,1,"DOC.20110601",NA,NA,"tableDOC_2020.20201118"
3,"FE_Inlet1_20200604_1045_Surface_0_Limno.Sample.20160505","FE","Inlet1",2020-06-04,2020-06-04 10:45:00,"Surface",0,0,62.8237513076067,NA,2,"DOC.20110601","Samples sat thawed and acidified for 30 days before running due to TOC machine unavailability. Samples stored in refrigerator and vials were parafilmed.",NA,"tableDOC_2020.20201118"
3,"FE_DeepHole_20200604_1045_PML_0.5_Limno.Sample.20160505","FE","DeepHole",2020-06-04,2020-06-04 10:45:00,"PML",0,0.5,13.8315573503009,NA,1,"DOC.20110601",NA,NA,"tableDOC_2020.20201118"
3,"FE_DeepHole_20200604_1045_PML_0.5_Limno.Sample.20160505","FE","DeepHole",2020-06-04,2020-06-04 10:45:00,"PML",0,0.5,14.1109893258442,NA,2,"DOC.20110601","Samples sat thawed and acidified for 30 days before running due to TOC machine unavailability. Samples stored in refrigerator and vials were parafilmed.",NA,"tableDOC_2020.20201118"
3,"FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-06-04,2020-06-04 10:45:00,"Hypo",8,8,18.7079508955984,NA,1,"DOC.20110601",NA,NA,"tableDOC_2020.20201118"
35,"CB_DeepHole_20200606_1010_point_5.5_Limno.Sample.20160505","CB","DeepHole",2020-06-06,2020-06-06 10:10:00,"point",5.5,5.5,25.2113368132741,NA,1,"DOC.20110601","Samples sat thawed and acidified for 30 days before running due to TOC machine unavailability. Samples stored in refrigerator and vials were parafilmed.",NA,"tableDOC_2020.20201118"
35,"CB_DeepHole_20200606_1010_point_5.5_Limno.Sample.20160505","CB","DeepHole",2020-06-06,2020-06-06 10:10:00,"point",5.5,5.5,25.2928941141446,NA,2,"DOC.20110601",NA,NA,"tableDOC_2020.20201118"
35,"WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505","WA","DeepHole",2020-06-06,2020-06-06 11:00:00,"point",5.5,5.5,8.88248804408016,NA,1,"DOC.20110601",NA,NA,"tableDOC_2020.20201118"
35,"WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505","WA","DeepHole",2020-06-06,2020-06-06 11:00:00,"point",5.5,5.5,8.86135327549348,NA,2,"DOC.20110601","Samples sat thawed and acidified for 30 days before running due to TOC machine unavailability. Samples stored in refrigerator and vials were parafilmed.",NA,"tableDOC_2020.20201118"
35,"NG_DeepHole_20200606_1135_point_5.5_Limno.Sample.20160505","NG","DeepHole",2020-06-06,2020-06-06 11:35:00,"point",5.5,5.5,50.5065950755955,NA,1,"DOC.20110601",NA,NA,"tableDOC_2020.20201118"
35,"NG_DeepHole_20200606_1135_point_5.5_Limno.Sample.20160505","NG","DeepHole",2020-06-06,2020-06-06 11:35:00,"point",5.5,5.5,51.8162528636552,NA,2,"DOC.20110601","Samples sat thawed and acidified for 30 days before running due to TOC machine unavailability. Samples stored in refrigerator and vials were parafilmed.",NA,"tableDOC_2020.20201118"
35,"BR_DeepHole_20200606_1354_point_5.5_Limno.Sample.20160505","BR","DeepHole",2020-06-06,2020-06-06 13:54:00,"point",5.5,5.5,10.6589609056194,NA,1,"DOC.20110601",NA,NA,"tableDOC_2020.20201118"
35,"BR_DeepHole_20200606_1354_point_5.5_Limno.Sample.20160505","BR","DeepHole",2020-06-06,2020-06-06 13:54:00,"point",5.5,5.5,8.51316936244951,NA,2,"DOC.20110601","Samples sat thawed and acidified for 30 days before running due to TOC machine unavailability. Samples stored in refrigerator and vials were parafilmed.",NA,"tableDOC_2020.20201118"
35,"MI_DeepHole_20200607_1047_point_10_Limno.Sample.20160505","MI","DeepHole",2020-06-07,2020-06-07 10:47:00,"point",10,10,20.7835704737524,NA,1,"DOC.20110601",NA,NA,"tableDOC_2020.20201118"
35,"MI_DeepHole_20200607_1047_point_10_Limno.Sample.20160505","MI","DeepHole",2020-06-07,2020-06-07 10:47:00,"point",10,10,20.8669789368378,NA,2,"DOC.20110601","Samples sat thawed and acidified for 30 days before running due to TOC machine unavailability. Samples stored in refrigerator and vials were parafilmed.",NA,"tableDOC_2020.20201118"
35,"TF_DeepHole_20200607_1145_point_7_Limno.Sample.20160505","TF","DeepHole",2020-06-07,2020-06-07 11:45:00,"point",7,7,9.17399743177718,NA,1,"DOC.20110601",NA,NA,"tableDOC_2020.20201118"
35,"TF_DeepHole_20200607_1145_point_7_Limno.Sample.20160505","TF","DeepHole",2020-06-07,2020-06-07 11:45:00,"point",7,7,8.92121647457823,NA,2,"DOC.20110601","Samples sat thawed and acidified for 30 days before running due to TOC machine unavailability. Samples stored in refrigerator and vials were parafilmed.",NA,"tableDOC_2020.20201118"
35,"PR_DeepHole_20200607_1500_point_2.5_Limno.Sample.20160505","PR","DeepHole",2020-06-07,2020-06-07 15:00:00,"point",2.5,2.5,9.94872305461738,NA,1,"DOC.20110601",NA,NA,"tableDOC_2020.20201118"
35,"PR_DeepHole_20200607_1500_point_2.5_Limno.Sample.20160505","PR","DeepHole",2020-06-07,2020-06-07 15:00:00,"point",2.5,2.5,9.34881075375504,NA,2,"DOC.20110601","Samples sat thawed and acidified for 30 days before running due to TOC machine unavailability. Samples stored in refrigerator and vials were parafilmed.",NA,"tableDOC_2020.20201118"
3,"WL_DeepHole_20200609_1020_PML_1_Limno.Sample.20160505","WL","DeepHole",2020-06-09,2020-06-09 10:20:00,"PML",0,1,6.58655171027286,NA,1,"DOC.20110601","Samples sat thawed and acidified for 30 days before running due to TOC machine unavailability. Samples stored in refrigerator and vials were parafilmed.",NA,"tableDOC_2020.20201118"
3,"WL_DeepHole_20200609_1020_PML_1_Limno.Sample.20160505","WL","DeepHole",2020-06-09,2020-06-09 10:20:00,"PML",0,1,6.70689472642669,NA,2,"DOC.20110601",NA,NA,"tableDOC_2020.20201118"
3,"WL_DeepHole_20200609_1020_Hypo_8_Limno.Sample.20160505","WL","DeepHole",2020-06-09,2020-06-09 10:20:00,"Hypo",8,8,7.00192901004462,NA,1,"DOC.20110601","Samples sat thawed and acidified for 30 days before running due to TOC machine unavailability. Samples stored in refrigerator and vials were parafilmed.",NA,"tableDOC_2020.20201118"
3,"WL_DeepHole_20200609_1020_Hypo_8_Limno.Sample.20160505","WL","DeepHole",2020-06-09,2020-06-09 10:20:00,"Hypo",8,8,7.1781862711959,NA,2,"DOC.20110601",NA,NA,"tableDOC_2020.20201118"
3,"FE_DeepHole_20200609_1148_PML_0.5_Limno.Sample.20160505","FE","DeepHole",2020-06-09,2020-06-09 11:48:00,"PML",0,0.5,13.235031902502,NA,1,"DOC.20110601","Samples sat thawed and acidified for 30 days before running due to TOC machine unavailability. Samples stored in refrigerator and vials were parafilmed.",NA,"tableDOC_2020.20201118"
3,"FE_DeepHole_20200609_1148_PML_0.5_Limno.Sample.20160505","FE","DeepHole",2020-06-09,2020-06-09 11:48:00,"PML",0,0.5,12.9602640537458,NA,2,"DOC.20110601",NA,NA,"tableDOC_2020.20201118"
3,"FE_DeepHole_20200609_1148_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-06-09,2020-06-09 11:48:00,"Hypo",8,8,18.6569273624639,NA,1,"DOC.20110601","Samples sat thawed and acidified for 30 days before running due to TOC machine unavailability. Samples stored in refrigerator and vials were parafilmed.",NA,"tableDOC_2020.20201118"
3,"FE_DeepHole_20200609_1148_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-06-09,2020-06-09 11:48:00,"Hypo",8,8,18.1708722271733,NA,2,"DOC.20110601",NA,NA,"tableDOC_2020.20201118"
3,"FE_Inlet1_20200609_1148_Surface_0_Limno.Sample.20160505","FE","Inlet1",2020-06-09,2020-06-09 11:48:00,"Surface",0,0,66.6232319025778,NA,1,"DOC.20110601","Samples sat thawed and acidified for 30 days before running due to TOC machine unavailability. Samples stored in refrigerator and vials were parafilmed.",NA,"tableDOC_2020.20201118"
3,"FE_Inlet1_20200609_1148_Surface_0_Limno.Sample.20160505","FE","Inlet1",2020-06-09,2020-06-09 11:48:00,"Surface",0,0,61.5356152077791,NA,2,"DOC.20110601",NA,NA,"tableDOC_2020.20201118"
17,"ME_DeepHole_20200610_0936_PML_1_Limno.Sample.20160505","ME","DeepHole",2020-06-10,2020-06-10 09:36:00,"PML",0,1,7.89987699631592,NA,1,"DOC.20110601","Samples sat thawed and acidified for 30 days before running due to TOC machine unavailability. Samples stored in refrigerator and vials were parafilmed.",NA,"tableDOC_2020.20201118"
