"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","DOC","TN_DOC","replicate","metadataID","comments","flag","updateID"
35,"HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505","HB","DeepHole",2020-06-03,2020-06-03 10:40:00,"point",7,7,30.2128209640071,"NA",1,"NA",NA,"NA","NA"
3,"FE_Inlet1_20200604_1045_Surface_0_Limno.Sample.20160505","FE","Inlet1",2020-06-04,2020-06-04 10:45:00,"Surface",0,0,61.3680850803355,"NA",1,"NA",NA,"NA","NA"
15,"HB_DeepHole_20200624_1053_PML_0.5_Limno.Sample.20160505","HB","DeepHole",2020-06-24,2020-06-24 10:53:00,"PML",0,0.5,25.5202956281987,"NA",1,"NA",NA,"NA","NA"
15,"HB_DeepHole_20200624_1053_Hypo_4_Limno.Sample.20160505","HB","DeepHole",2020-06-24,2020-06-24 10:53:00,"Hypo",4,4,26.5448423722424,"NA",2,"NA",NA,"NA","NA"
15,"HB_PML_20200624_1053_Surface_0_Limno.Sample.20160505","HB","Outlet",2020-06-24,2020-06-24 10:53:00,"Surface",0,0,26.1238773064593,"NA",1,"NA",NA,"NA","NA"
17,"ME_DeepHole_20200624_0852_PML_1.5_Limno.Sample.20160505","ME","DeepHole",2020-06-24,2020-06-24 08:52:00,"PML",0,1.5,8.06131659477732,"NA",1,"NA",NA,"NA","NA"
17,"ME_DeepHole_20200624_0852_Hypo_3_Limno.Sample.20160505","ME","DeepHole",2020-06-24,2020-06-24 08:52:00,"Hypo",3,3,14.0764353916777,"NA",2,"NA",NA,"NA","NA"
17,"ME_PML_20200624_0852_Surface_0_Limno.Sample.20160505","ME","Outlet",2020-06-24,2020-06-24 08:52:00,"Surface",0,0,7.93786359363055,"NA",1,"NA",NA,"NA","NA"
15,"CR_DeepHole_20200625_1006_PML_2.5_Limno.Sample.20160505","CR","DeepHole",2020-06-25,2020-06-25 10:06:00,"PML",0,2.5,5.12099848092586,"NA",1,"NA",NA,"NA","NA"
15,"CR_DeepHole_20200625_1006_Hypo_11_Limno.Sample.20160505","CR","DeepHole",2020-06-25,2020-06-25 10:06:00,"Hypo",11,11,5.09013523063917,"NA",2,"NA",NA,"NA","NA"
15,"CR_PML_20200625_1006_Surface_0_Limno.Sample.20160505","CR","Outlet",2020-06-25,2020-06-25 10:06:00,"Surface",0,0,4.88118906274508,"NA",1,"NA",NA,"NA","NA"
17,"TU_DeepHole_20200625_1231_PML_1.5_Limno.Sample.20160505","TU","DeepHole",2020-06-25,2020-06-25 12:31:00,"PML",0,1.5,8.53613582995721,"NA",1,"NA",NA,"NA","NA"
35,"BR_DeepHole_20200606_1354_point_5.5_Limno.Sample.20160505","BR","DeepHole",2020-06-06,2020-06-06 13:54:00,"point",5.5,5.5,10.6589609056194,"NA",1,"NA",NA,"NA","NA"
17,"TU_DeepHole_20200625_1231_Hypo_7_Limno.Sample.20160505","TU","DeepHole",2020-06-25,2020-06-25 12:31:00,"Hypo",7,7,10.264477846012,"NA",1,"NA",NA,"NA","NA"
17,"WA_DeepHole_20200629_0854_PML_1_Limno.Sample.20160505","WA","DeepHole",2020-06-29,2020-06-29 08:54:00,"PML",0,1,10.5208802330091,"NA",1,"NA",NA,"NA","NA"
17,"WA_DeepHole_20200629_0854_Hypo_3.5_Limno.Sample.20160505","WA","DeepHole",2020-06-29,2020-06-29 08:54:00,"Hypo",3.5,3.5,8.38656777087555,"NA",2,"NA",NA,"NA","NA"
3,"FE_DeepHole_20200630_1130_PML_1_Limno.Sample.20160505","FE","DeepHole",2020-06-30,2020-06-30 11:30:00,"PML",0,1,12.973296132011,"NA",1,"NA",NA,"NA","NA"
3,"FE_DeepHole_20200630_1130_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-06-30,2020-06-30 11:30:00,"Hypo",8,8,15.9635551131763,"NA",2,"NA",NA,"NA","NA"
3,"WL_DeepHole_20200630_0958_PML_1_Limno.Sample.20160505","WL","DeepHole",2020-06-30,2020-06-30 09:58:00,"PML",0,1,7.04639047958031,"NA",1,"NA",NA,"NA","NA"
3,"WL_DeepHole_20200630_0958_Hypo_8_Limno.Sample.20160505","WL","DeepHole",2020-06-30,2020-06-30 09:58:00,"Hypo",8,8,7.52002266667225,"NA",2,"NA",NA,"NA","NA"
17,"BO_DeepHole_20200701_1041_PML_0.25_Limno.Sample.20160505","BO","DeepHole",2020-07-01,2020-07-01 10:41:00,"PML",0,0.25,18.103743418832,"NA",2,"NA",NA,"NA","NA"
17,"BO_DeepHole_20200701_1041_Hypo_2_Limno.Sample.20160505","BO","DeepHole",2020-07-01,2020-07-01 10:41:00,"Hypo",2,2,21.149708812511,"NA",2,"NA",NA,"NA","NA"
17,"CB_DeepHole_20200701_0909_PML_0.5_Limno.Sample.20160505","CB","DeepHole",2020-07-01,2020-07-01 09:09:00,"PML",0,0.5,17.9313748879035,"NA",1,"NA",NA,"NA","NA"
17,"CB_DeepHole_20200701_0909_Hypo_3_Limno.Sample.20160505","CB","DeepHole",2020-07-01,2020-07-01 09:09:00,"Hypo",3,3,21.007263041957,"NA",2,"NA",NA,"NA","NA"
17,"NG_DeepHole_20200703_0920_PML_0.25_Limno.Sample.20160505","NG","DeepHole",2020-07-03,2020-07-03 09:20:00,"PML",0,0.25,29.5231460249083,"NA",2,"NA",NA,"NA","NA"
17,"NG_DeepHole_20200703_0920_Hypo_4_Limno.Sample.20160505","NG","DeepHole",2020-07-03,2020-07-03 09:20:00,"Hypo",4,4,41.1051742190337,"NA",1,"NA",NA,"NA","NA"
15,"MO_DeepHole_20200706_0901_PML_0.5_Limno.Sample.20160505","MO","DeepHole",2020-07-06,2020-07-06 09:01:00,"PML",0,0.5,16.3383547070032,"NA",2,"NA",NA,"NA","NA"
15,"MO_DeepHole_20200706_0901_Hypo_3.5_Limno.Sample.20160505","MO","DeepHole",2020-07-06,2020-07-06 09:01:00,"Hypo",3.5,3.5,13.6024570693266,"NA",1,"NA",NA,"NA","NA"
35,"CB_DeepHole_20200606_1010_point_5.5_Limno.Sample.20160505","CB","DeepHole",2020-06-06,2020-06-06 10:10:00,"point",5.5,5.5,25.2928941141446,"NA",2,"NA",NA,"NA","NA"
15,"MO_PML_20200706_0901_Surface_0_Limno.Sample.20160505","MO","Inlet1",2020-07-06,2020-07-06 09:01:00,"Surface",0,0,26.3774685918415,"NA",2,"NA",NA,"NA","NA"
15,"MO_PML_20200706_0901_Surface_0_Limno.Sample.20160505","MO","Inlet2",2020-07-06,2020-07-06 09:01:00,"Surface",0,0,11.916848784438,"NA",1,"NA",NA,"NA","NA"
3,"FE_DeepHole_20200707_1130_PML_0.25_Limno.Sample.20160505","FE","DeepHole",2020-07-07,2020-07-07 11:30:00,"PML",0,0.25,12.1668975143512,"NA",1,"NA",NA,"NA","NA"
3,"FE_DeepHole_20200707_1130_Hypo_8_Limno.Sample.20160505","FE","DeepHole",2020-07-07,2020-07-07 11:30:00,"Hypo",8,8,18.6960804147189,"NA",2,"NA",NA,"NA","NA"
35,"NG_DeepHole_20200606_1135_point_5.5_Limno.Sample.20160505","NG","DeepHole",2020-06-06,2020-06-06 11:35:00,"point",5.5,5.5,50.5065950755955,"NA",1,"NA",NA,"NA","NA"
3,"WL_DeepHole_20200707_1000_PML_1_Limno.Sample.20160505","WL","DeepHole",2020-07-07,2020-07-07 10:00:00,"PML",0,1,6.74250616906518,"NA",2,"NA",NA,"NA","NA"
3,"WL_DeepHole_20200707_1000_Hypo_8_Limno.Sample.20160505","WL","DeepHole",2020-07-07,2020-07-07 10:00:00,"Hypo",8,8,7.14966366323194,"NA",2,"NA",NA,"NA","NA"
15,"HB_DeepHole_20200708_0945_PML_0.25_Limno.Sample.20160505","HB","DeepHole",2020-07-08,2020-07-08 09:45:00,"PML",0,0.25,24.7013566916565,"NA",1,"NA",NA,"NA","NA"
15,"HB_DeepHole_20200708_0945_Hypo_3.5_Limno.Sample.20160505","HB","DeepHole",2020-07-08,2020-07-08 09:45:00,"Hypo",3.5,3.5,26.0486562714795,"NA",1,"NA",NA,"NA","NA"
15,"HB_PML_20200708_0945_Surface_0_Limno.Sample.20160505","HB","Outlet",2020-07-08,2020-07-08 09:45:00,"Surface",0,0,26.4961734006365,"NA",2,"NA",NA,"NA","NA"
15,"CR_DeepHole_20200710_1025_PML_2.5_Limno.Sample.20160505","CR","DeepHole",2020-07-10,2020-07-10 10:25:00,"PML",0,2.5,5.26819244383163,"NA",2,"NA",NA,"NA","NA"
15,"CR_DeepHole_20200710_1025_Hypo_7.5_Limno.Sample.20160505","CR","DeepHole",2020-07-10,2020-07-10 10:25:00,"Hypo",7.5,7.5,4.99996817980467,"NA",2,"NA",NA,"NA","NA"
