"docID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","replicate","comments","sampleID","DOC_mgL","runID"
"D1",35,"HB","DeepHole","6/3/2020","10:40","point",7,7,1,NA,"HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505",30.2128209640071,"4"
"D10",3,"FE","DeepHole","6/4/2020","10:45","Hypo",8,8,2,NA,"FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505",18.807196209146,"5"
"D100",15,"MO","Inlet3","6/22/2020","9:05","Surface",0,0,2,NA,"MO_Inlet3_20200622_0905_Surface_0_Limno.Sample.20160505",46.7828573487739,"5"
"D11",3,"FE","Inlet1","6/4/2020","10:45","Surface",0,0,1,NA,"FE_Inlet1_20200604_1045_Surface_0_Limno.Sample.20160505",61.3680850803355,"4"
"D111",15,"HB","DeepHole","6/24/2020","10:53","PML",0,0.5,1,NA,"HB_DeepHole_20200624_1053_PML_0.5_Limno.Sample.20160505",25.5202956281987,"3"
"D112",15,"HB","DeepHole","6/24/2020","10:53","PML",0,0.5,2,NA,"HB_DeepHole_20200624_1053_PML_0.5_Limno.Sample.20160505",25.7659876782635,"5"
"D113",15,"HB","DeepHole","6/24/2020","10:53","Hypo",4,4,1,NA,"HB_DeepHole_20200624_1053_Hypo_4_Limno.Sample.20160505",26.6822611336424,"5"
"D114",15,"HB","DeepHole","6/24/2020","10:53","Hypo",4,4,2,NA,"HB_DeepHole_20200624_1053_Hypo_4_Limno.Sample.20160505",26.5448423722424,"4"
"D115",15,"HB","Outlet","6/24/2020","10:53","Surface",0,0,1,NA,"HB_Outlet_20200624_1053_Surface_0_Limno.Sample.20160505",26.1238773064593,"3"
"D116",15,"HB","Outlet","6/24/2020","10:53","Surface",0,0,2,NA,"HB_Outlet_20200624_1053_Surface_0_Limno.Sample.20160505",26.3145300535503,"5"
"D117",17,"ME","DeepHole","6/24/2020","8:52","PML",0,1.5,1,NA,"ME_DeepHole_20200624_0852_PML_1.5_Limno.Sample.20160505",8.06131659477732,"4"
"D118",17,"ME","DeepHole","6/24/2020","8:52","PML",0,1.5,2,NA,"ME_DeepHole_20200624_0852_PML_1.5_Limno.Sample.20160505",7.93041944482855,"5"
"D119",17,"ME","DeepHole","6/24/2020","8:52","Hypo",3,3,1,NA,"ME_DeepHole_20200624_0852_Hypo_3_Limno.Sample.20160505",14.2539279848833,"5"
"D12",3,"FE","Inlet1","6/4/2020","10:45","Surface",0,0,2,NA,"FE_Inlet1_20200604_1045_Surface_0_Limno.Sample.20160505",62.8237513076067,"5"
"D120",17,"ME","DeepHole","6/24/2020","8:52","Hypo",3,3,2,NA,"ME_DeepHole_20200624_0852_Hypo_3_Limno.Sample.20160505",14.0764353916777,"3"
"D121",17,"ME","Outlet","6/24/2020","8:52","Surface",0,0,1,NA,"ME_Outlet_20200624_0852_Surface_0_Limno.Sample.20160505",7.93786359363055,"4"
"D122",17,"ME","Outlet","6/24/2020","8:52","Surface",0,0,2,NA,"ME_Outlet_20200624_0852_Surface_0_Limno.Sample.20160505",7.73983456610974,"5"
"D123",15,"CR","DeepHole","6/25/2020","10:06","PML",0,2.5,1,NA,"CR_DeepHole_20200625_1006_PML_2.5_Limno.Sample.20160505",5.12099848092586,"4"
"D124",15,"CR","DeepHole","6/25/2020","10:06","PML",0,2.5,2,NA,"CR_DeepHole_20200625_1006_PML_2.5_Limno.Sample.20160505",5.10951890020211,"5"
"D125",15,"CR","DeepHole","6/25/2020","10:06","Hypo",11,11,1,NA,"CR_DeepHole_20200625_1006_Hypo_11_Limno.Sample.20160505",4.86526082383196,"6"
"D126",15,"CR","DeepHole","6/25/2020","10:06","Hypo",11,11,2,NA,"CR_DeepHole_20200625_1006_Hypo_11_Limno.Sample.20160505",5.09013523063917,"4"
"D127",15,"CR","Outlet","6/25/2020","10:06","Surface",0,0,1,NA,"CR_Outlet_20200625_1006_Surface_0_Limno.Sample.20160505",4.88118906274508,"3"
"D128",15,"CR","Outlet","6/25/2020","10:06","Surface",0,0,2,NA,"CR_Outlet_20200625_1006_Surface_0_Limno.Sample.20160505",4.93858636980643,"6"
"D129",17,"TU","DeepHole","6/25/2020","12:31","PML",0,1.5,1,NA,"TU_DeepHole_20200625_1231_PML_1.5_Limno.Sample.20160505",8.53613582995721,"4"
"D13",35,"BR","DeepHole","6/6/2020","13:54","point",5.5,5.5,1,NA,"BR_DeepHole_20200606_1354_point_5.5_Limno.Sample.20160505",10.6589609056194,"1"
"D130",17,"TU","DeepHole","6/25/2020","12:31","PML",0,1.5,2,NA,"TU_DeepHole_20200625_1231_PML_1.5_Limno.Sample.20160505",8.27016803125937,"6"
"D131",17,"TU","DeepHole","6/25/2020","12:31","Hypo",7,7,1,NA,"TU_DeepHole_20200625_1231_Hypo_7_Limno.Sample.20160505",10.264477846012,"4"
"D132",17,"TU","DeepHole","6/25/2020","12:31","Hypo",7,7,2,NA,"TU_DeepHole_20200625_1231_Hypo_7_Limno.Sample.20160505",9.90934878481769,"6"
"D133",17,"WA","DeepHole","6/29/2020","8:54","PML",0,1,1,NA,"WA_DeepHole_20200629_0854_PML_1_Limno.Sample.20160505",10.5208802330091,"4"
"D134",17,"WA","DeepHole","6/29/2020","8:54","PML",0,1,2,NA,"WA_DeepHole_20200629_0854_PML_1_Limno.Sample.20160505",8.8882306301846,"5"
"D135",17,"WA","DeepHole","6/29/2020","8:54","Hypo",3.5,3.5,1,NA,"WA_DeepHole_20200629_0854_Hypo_3.5_Limno.Sample.20160505",9.10935795741603,"5"
"D136",17,"WA","DeepHole","6/29/2020","8:54","Hypo",3.5,3.5,2,NA,"WA_DeepHole_20200629_0854_Hypo_3.5_Limno.Sample.20160505",8.38656777087555,"4"
