"docID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","replicate","comments","sampleID","DOC_mgL"
"D10",3,"FE","DeepHole","6/4/2020","10:45","Hypo",8,8,2,"","FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505",18.807196209146
"D100",15,"MO","Inlet3","6/22/2020","9:05","Surface",0,0,2,"","MO_PML_20200622_0905_Surface_0_Limno.Sample.20160505",46.7828573487739
"D112",15,"HB","DeepHole","6/24/2020","10:53","PML",0,0.5,2,"","HB_DeepHole_20200624_1053_PML_0.5_Limno.Sample.20160505",25.7659876782635
"D113",15,"HB","DeepHole","6/24/2020","10:53","Hypo",4,4,1,"","HB_DeepHole_20200624_1053_Hypo_4_Limno.Sample.20160505",26.6822611336424
"D116",15,"HB","Outlet","6/24/2020","10:53","Surface",0,0,2,"","HB_PML_20200624_1053_Surface_0_Limno.Sample.20160505",26.3145300535503
"D118",17,"ME","DeepHole","6/24/2020","8:52","PML",0,1.5,2,"","ME_DeepHole_20200624_0852_PML_1.5_Limno.Sample.20160505",7.93041944482855
"D119",17,"ME","DeepHole","6/24/2020","8:52","Hypo",3,3,1,"","ME_DeepHole_20200624_0852_Hypo_3_Limno.Sample.20160505",14.2539279848833
"D12",3,"FE","Inlet1","6/4/2020","10:45","Surface",0,0,2,"","FE_Inlet1_20200604_1045_Surface_0_Limno.Sample.20160505",62.8237513076067
"D122",17,"ME","Outlet","6/24/2020","8:52","Surface",0,0,2,"","ME_PML_20200624_0852_Surface_0_Limno.Sample.20160505",7.73983456610974
"D124",15,"CR","DeepHole","6/25/2020","10:06","PML",0,2.5,2,"","CR_DeepHole_20200625_1006_PML_2.5_Limno.Sample.20160505",5.10951890020211
"D134",17,"WA","DeepHole","6/29/2020","8:54","PML",0,1,2,"","WA_DeepHole_20200629_0854_PML_1_Limno.Sample.20160505",8.8882306301846
"D135",17,"WA","DeepHole","6/29/2020","8:54","Hypo",3.5,3.5,1,"","WA_DeepHole_20200629_0854_Hypo_3.5_Limno.Sample.20160505",9.10935795741603
"D14",35,"BR","DeepHole","6/6/2020","13:54","point",5.5,5.5,2,"","BR_DeepHole_20200606_1354_point_5.5_Limno.Sample.20160505",8.51316936244951
"D142",3,"WL","DeepHole","6/30/2020","9:58","PML",0,1,2,"","WL_DeepHole_20200630_0958_PML_1_Limno.Sample.20160505",6.90174977892319
"D143",3,"WL","DeepHole","6/30/2020","9:58","Hypo",8,8,1,"","WL_DeepHole_20200630_0958_Hypo_8_Limno.Sample.20160505",7.20350917022797
"D15",35,"CB","DeepHole","6/6/2020","10:10","point",5.5,5.5,1,"","CB_DeepHole_20200606_1010_point_5.5_Limno.Sample.20160505",25.2113368132741
"D166",3,"FE","DeepHole","7/7/2020","11:30","PML",0,0.25,2,"","FE_DeepHole_20200707_1130_PML_0.25_Limno.Sample.20160505",11.0652963601648
"D18",35,"NG","DeepHole","6/6/2020","11:35","point",5.5,5.5,2,"","NG_DeepHole_20200606_1135_point_5.5_Limno.Sample.20160505",51.8162528636552
"D2",35,"HB","DeepHole","6/3/2020","10:40","point",7,7,2,"","HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505",31.1072510741521
"D20",35,"WA","DeepHole","6/6/2020","11:00","point",5.5,5.5,2,"","WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505",8.86135327549348
"D22",35,"MI","DeepHole","6/7/2020","10:47","point",10,10,2,"","MI_DeepHole_20200607_1047_point_10_Limno.Sample.20160505",20.8669789368378
"D24",35,"PR","DeepHole","6/7/2020","15:00","point",2.5,2.5,2,"","PR_DeepHole_20200607_1500_point_2.5_Limno.Sample.20160505",9.34881075375504
"D26",35,"TF","DeepHole","6/7/2020","11:45","point",7,7,2,"","TF_DeepHole_20200607_1145_point_7_Limno.Sample.20160505",8.92121647457823
"D27",3,"FE","DeepHole","6/9/2020","11:48","PML",0,0.5,1,"","FE_DeepHole_20200609_1148_PML_0.5_Limno.Sample.20160505",13.235031902502
"D29",3,"FE","DeepHole","6/9/2020","11:48","Hypo",8,8,1,"","FE_DeepHole_20200609_1148_Hypo_8_Limno.Sample.20160505",18.6569273624639
"D31",3,"FE","Inlet1","6/9/2020","11:48","Surface",0,0,1,"","FE_PML_20200609_1148_Surface_0_Limno.Sample.20160505",66.6232319025778
"D33",3,"WL","DeepHole","6/9/2020","10:20","PML",0,1,1,"","WL_DeepHole_20200609_1020_PML_1_Limno.Sample.20160505",6.58655171027286
"D35",3,"WL","DeepHole","6/9/2020","10:20","Hypo",8,8,1,"","WL_DeepHole_20200609_1020_Hypo_8_Limno.Sample.20160505",7.00192901004462
"D38",15,"HB","DeepHole","6/10/2020","11:40","PML",0,0.5,2,"","HB_DeepHole_20200610_1140_PML_0.5_Limno.Sample.20160505",22.0141533029721
"D39",15,"HB","DeepHole","6/10/2020","11:40","Hypo",4,4,1,"","HB_DeepHole_20200610_1140_Hypo_4_Limno.Sample.20160505",27.297996895657
"D4",3,"WL","DeepHole","6/4/2020","9:15","PML",0,1,2,"","WL_DeepHole_20200604_0915_PML_1_Limno.Sample.20160505",6.63664132583357
