"docID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","replicate","comments","sampleID","DOC_mgL"
"D125",15,"CR","DeepHole","6/25/2020","10:06","Hypo",11,11,1,"","CR_DeepHole_20200625_1006_Hypo_11_Limno.Sample.20160505",4.86526082383196
"D128",15,"CR","Outlet","6/25/2020","10:06","Surface",0,0,2,"","CR_Outlet_20200625_1006_Surface_0_Limno.Sample.20160505",4.93858636980643
"D130",17,"TU","DeepHole","6/25/2020","12:31","PML",0,1.5,2,"","TU_DeepHole_20200625_1231_PML_1.5_Limno.Sample.20160505",8.27016803125937
"D132",17,"TU","DeepHole","6/25/2020","12:31","Hypo",7,7,2,"","TU_DeepHole_20200625_1231_Hypo_7_Limno.Sample.20160505",9.90934878481769
"D138",3,"FE","DeepHole","6/30/2020","11:30","PML",0,1,2,"","FE_DeepHole_20200630_1130_PML_1_Limno.Sample.20160505",12.4757428939241
"D139",3,"FE","DeepHole","6/30/2020","11:30","Hypo",8,8,1,"","FE_DeepHole_20200630_1130_Hypo_8_Limno.Sample.20160505",15.5412237836955
"D145",17,"BO","DeepHole","7/1/2020","10:41","PML",0,0.25,1,"","BO_DeepHole_20200701_1041_PML_0.25_Limno.Sample.20160505",17.3104982478537
"D147",17,"BO","DeepHole","7/1/2020","10:41","Hypo",2,2,1,"","BO_DeepHole_20200701_1041_Hypo_2_Limno.Sample.20160505",19.4901592354497
"D150",17,"CB","DeepHole","7/1/2020","9:09","PML",0,0.5,2,"","CB_DeepHole_20200701_0909_PML_0.5_Limno.Sample.20160505",17.7847489564951
"D151",17,"CB","DeepHole","7/1/2020","9:09","Hypo",3,3,1,"","CB_DeepHole_20200701_0909_Hypo_3_Limno.Sample.20160505",21.3729700288586
"D153",17,"NG","DeepHole","7/3/2020","9:20","PML",0,0.25,1,"","NG_DeepHole_20200703_0920_PML_0.25_Limno.Sample.20160505",30.1542954943496
"D156",17,"NG","DeepHole","7/3/2020","9:20","Hypo",4,4,2,"","NG_DeepHole_20200703_0920_Hypo_4_Limno.Sample.20160505",45.9630466724261
"D157",15,"MO","DeepHole","7/6/2020","9:01","PML",0,0.5,1,"","MO_DeepHole_20200706_0901_PML_0.5_Limno.Sample.20160505",14.325438924635
"D160",15,"MO","DeepHole","7/6/2020","9:01","Hypo",3.5,3.5,2,"","MO_DeepHole_20200706_0901_Hypo_3.5_Limno.Sample.20160505",12.0393376283664
"D161",15,"MO","Inlet1","7/6/2020","9:01","Surface",0,0,1,"","MO_Inlet1_20200706_0901_Surface_0_Limno.Sample.20160505",24.2610504041757
"D164",15,"MO","Inlet2","7/6/2020","9:01","Surface",0,0,2,"","MO_Inlet2_20200706_0901_Surface_0_Limno.Sample.20160505",9.59002785879983
"D167",3,"FE","DeepHole","7/7/2020","11:30","Hypo",8,8,1,"","FE_DeepHole_20200707_1130_Hypo_8_Limno.Sample.20160505",17.2419033822647
"D169",3,"WL","DeepHole","7/7/2020","10:00","PML",0,1,1,"","WL_DeepHole_20200707_1000_PML_1_Limno.Sample.20160505",6.89945338957533
"D171",3,"WL","DeepHole","7/7/2020","10:00","Hypo",8,8,1,"","WL_DeepHole_20200707_1000_Hypo_8_Limno.Sample.20160505",6.62152591693016
"D174",15,"HB","DeepHole","7/8/2020","9:45","PML",0,0.25,2,"","HB_DeepHole_20200708_0945_PML_0.25_Limno.Sample.20160505",24.0446217765413
"D176",15,"HB","DeepHole","7/8/2020","9:45","Hypo",3.5,3.5,2,"","HB_DeepHole_20200708_0945_Hypo_3.5_Limno.Sample.20160505",24.950547070355
"D177",15,"HB","Outlet","7/8/2020","9:45","Surface",0,0,1,"","HB_Outlet_20200708_0945_Surface_0_Limno.Sample.20160505",25.4472685108272
"D179",15,"CR","DeepHole","7/10/2020","10:25","PML",0,2.5,1,"","CR_DeepHole_20200710_1025_PML_2.5_Limno.Sample.20160505",5.01427725597363
"D181",15,"CR","DeepHole","7/10/2020","10:25","Hypo",7.5,7.5,1,"","CR_DeepHole_20200710_1025_Hypo_7.5_Limno.Sample.20160505",4.56841062964499
"D184",15,"CR","Outlet","7/10/2020","10:25","Surface",0,0,2,"","CR_Outlet_20200710_1025_Surface_0_Limno.Sample.20160505",5.08405479165901
