"docID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","replicate","comments","sampleID","DOC_mgL"
"D1",35,"HB","DeepHole","6/3/2020","10:40","point",7,7,1,"","HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505",30.2128209640071
"D11",3,"FE","Inlet1","6/4/2020","10:45","Surface",0,0,1,"","FE_Inlet1_20200604_1045_Surface_0_Limno.Sample.20160505",61.3680850803355
"D114",15,"HB","DeepHole","6/24/2020","10:53","Hypo",4,4,2,"","HB_DeepHole_20200624_1053_Hypo_4_Limno.Sample.20160505",26.5448423722424
"D117",17,"ME","DeepHole","6/24/2020","8:52","PML",0,1.5,1,"","ME_DeepHole_20200624_0852_PML_1.5_Limno.Sample.20160505",8.06131659477732
"D121",17,"ME","Outlet","6/24/2020","8:52","Surface",0,0,1,"","ME_PML_20200624_0852_Surface_0_Limno.Sample.20160505",7.93786359363055
"D123",15,"CR","DeepHole","6/25/2020","10:06","PML",0,2.5,1,"","CR_DeepHole_20200625_1006_PML_2.5_Limno.Sample.20160505",5.12099848092586
"D126",15,"CR","DeepHole","6/25/2020","10:06","Hypo",11,11,2,"","CR_DeepHole_20200625_1006_Hypo_11_Limno.Sample.20160505",5.09013523063917
"D129",17,"TU","DeepHole","6/25/2020","12:31","PML",0,1.5,1,"","TU_DeepHole_20200625_1231_PML_1.5_Limno.Sample.20160505",8.53613582995721
"D131",17,"TU","DeepHole","6/25/2020","12:31","Hypo",7,7,1,"","TU_DeepHole_20200625_1231_Hypo_7_Limno.Sample.20160505",10.264477846012
"D133",17,"WA","DeepHole","6/29/2020","8:54","PML",0,1,1,"","WA_DeepHole_20200629_0854_PML_1_Limno.Sample.20160505",10.5208802330091
"D136",17,"WA","DeepHole","6/29/2020","8:54","Hypo",3.5,3.5,2,"","WA_DeepHole_20200629_0854_Hypo_3.5_Limno.Sample.20160505",8.38656777087555
"D141",3,"WL","DeepHole","6/30/2020","9:58","PML",0,1,1,"","WL_DeepHole_20200630_0958_PML_1_Limno.Sample.20160505",7.04639047958031
"D144",3,"WL","DeepHole","6/30/2020","9:58","Hypo",8,8,2,"","WL_DeepHole_20200630_0958_Hypo_8_Limno.Sample.20160505",7.52002266667225
"D146",17,"BO","DeepHole","7/1/2020","10:41","PML",0,0.25,2,"","BO_DeepHole_20200701_1041_PML_0.25_Limno.Sample.20160505",18.103743418832
"D148",17,"BO","DeepHole","7/1/2020","10:41","Hypo",2,2,2,"","BO_DeepHole_20200701_1041_Hypo_2_Limno.Sample.20160505",21.149708812511
"D152",17,"CB","DeepHole","7/1/2020","9:09","Hypo",3,3,2,"","CB_DeepHole_20200701_0909_Hypo_3_Limno.Sample.20160505",21.007263041957
"D154",17,"NG","DeepHole","7/3/2020","9:20","PML",0,0.25,2,"","NG_DeepHole_20200703_0920_PML_0.25_Limno.Sample.20160505",29.5231460249083
"D155",17,"NG","DeepHole","7/3/2020","9:20","Hypo",4,4,1,"","NG_DeepHole_20200703_0920_Hypo_4_Limno.Sample.20160505",41.1051742190337
"D159",15,"MO","DeepHole","7/6/2020","9:01","Hypo",3.5,3.5,1,"","MO_DeepHole_20200706_0901_Hypo_3.5_Limno.Sample.20160505",13.6024570693266
"D162",15,"MO","Inlet1","7/6/2020","9:01","Surface",0,0,2,"","MO_PML_20200706_0901_Surface_0_Limno.Sample.20160505",26.3774685918415
"D163",15,"MO","Inlet2","7/6/2020","9:01","Surface",0,0,1,"","MO_PML_20200706_0901_Surface_0_Limno.Sample.20160505",11.916848784438
"D168",3,"FE","DeepHole","7/7/2020","11:30","Hypo",8,8,2,"","FE_DeepHole_20200707_1130_Hypo_8_Limno.Sample.20160505",18.6960804147189
"D17",35,"NG","DeepHole","6/6/2020","11:35","point",5.5,5.5,1,"","NG_DeepHole_20200606_1135_point_5.5_Limno.Sample.20160505",50.5065950755955
"D170",3,"WL","DeepHole","7/7/2020","10:00","PML",0,1,2,"","WL_DeepHole_20200707_1000_PML_1_Limno.Sample.20160505",6.74250616906518
