projectID,37,,,,,,,,,,,,,,,
lakeID,AQ,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,
dataTimeSet,7/30/2019 23:30,,,,,,,,,,,,,,,
dateTimeSample,7/30/2019 23:50,,,,,,,,,,,,,,,
crew,"DS, MS, AL",,,,,,,,,,,,,,,
gear,BE,,,,,,,,,,,,,,,
distanceShocked,0.5,,,,,,,,,,,,,,,
effort,0.33,,,,,,,,,,,,,,,
effortUnits,electrofishing_hours,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,
dataRecorder,MS,,,,,,,,,,,,,,,
dataEnteredBy,AL,,,,,,,,,,,,,,,
metadataID,FishscapesSurvey0.5mile.20180606,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,dietSampled
1,BLG,192,,,,,,,,,,,,,,0
2,WLY,295,,,,,,,,,,,,,,0
3,BLG,185,,,,,,,,,,,,,,0
4,WLY,208,,,,,,,,,,,,,,0
5,GDS,135,,,,,,,,,,,,,,0
6,WLY,220,,,,,,,,,,,,,,0
7,BLG,180,,,,,,,,,,,,,,0
8,BLG,215,,,,,,,,,,,,,,0
9,BLG,185,,,,,,,,,,,,,,0
10,BLG,175,,,,,,,,,,,,,,0
11,BLG,150,,,,,,,,,,,,,,0
12,BLG,150,,,,,,,,,,,,,,0
13,BLG,190,,,,,,,,,,,,,,0
14,SMB,55,,,,,,,,,,,,,,0
15,minnow,50,,,,,,,,,,,,,,0
16,minnow,55,,,,,,,,,,,,,,0
17,YWP,55,,,,,,,,,,,,,,0
18,BCP,95,,,,,,,,,,,,,,0
19,BCP,210,,,,,,,,,,,,,,0
20,YWP,60,,,,,,,,,,,,,,0
21,YWP,40,,,,,,,,,,,,,,0
22,YWP,55,,,,,,,,,,,,,,0
23,minnow,50,,,,,,,,,,,,,,0
24,YWP,50,,,,,,,,,,,,,,0
25,YWP,55,,,,,,,,,,,,,,0
26,WLY,270,,,,,,,,,,,,,,0
27,WLY,355,,,,,,,,,,,,,,0
28,WLY,290,,,,,,,,,,,,,,0
29,WSK,470,,,,,,,,,,,,,,0
30,BLG,150,,,,,,,,,,,,,,0
31,BLG,195,,,,,,,,,,,,,,0
32,BLG,185,,,,,,,,,,,,,,0
33,BLG,140,,,,,,,,,,,,,,0
34,BLG,140,,,,,,,,,,,,,,0
35,BCP,215,,,,,,,,,,,,,,0
36,BHD,215,,,,,,,,,,,,,,0
37,YWP,55,,,,,,,,,,,,,,0
38,YWP,50,,,,,,,,,,,,,,0
39,YWP,40,,,,,,,,,,,,,,0
40,BLG,180,,,,,,,,,,,,,,0
41,BLG,225,,,,,,,,,,,,,,0
42,WLY,200,,,,,,,,,,,,,,0
43,LMB,60,,1,,,,1,1,,,,,,,0
44,WSK,500,,,,,,,,,,,,,,0
45,WSK,500,,,,,,,,,,,,,,0
46,LMB,270,,1,,,,1,1,,,,,,,0
47,WSK,330,,,,,,,,,,,,,,0
48,BLG,190,,,,,,,,,,,,,,0
49,BLG,215,,,,,,,,,,,,,,0
50,BLG,200,,,,,,,,,,,,,,0
51,BLG,160,,,,,,,,,,,,,,0
52,BLG,165,,,,,,,,,,,,,,0
53,BLG,135,,,,,,,,,,,,,,0
54,BLG,135,,,,,,,,,,,,,,0
55,SMB,60,,,,,,,,,,,,,,0
56,YWP,60,,,,,,,,,,,,,,0
57,YWP,50,,,,,,,,,,,,,,0
58,YWP,50,,,,,,,,,,,,,,0
59,YWP,50,,,,,,,,,,,,,,0
60,minnow,45,,,,,,,,,,,,,,0
61,RKB,125,,,,,,,,,,,,,,0
62,BLG,170,,,,,,,,,,,,,,0
63,YWP,50,,,,,,,,,,,,,,0
64,RKB,160,,,,,,,,,,,,,,0
65,BLG,155,,,,,,,,,,,,,,0
66,WLY,220,,,,,,,,,,,,,,0
67,MSK,50,,,,,,,,,,,,,,0
