projectID,37,,,,,,,,,,,,,,,
lakeID,AV,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,
dataTimeSet,7/23/2019 23:00,,,,,,,,,,,,,,,
dateTimeSample,7/23/2019 23:15,,,,,,,,,,,,,,,
crew,"AL,FF,CD",,,,,,,,,,,,,,,
gear,BE,,,,,,,,,,,,,,,
distanceShocked,0.5,,,,,,,,,,,,,,,
effort,0.25,,,,,,,,,,,,,,,
effortUnits,electrofishing_hours,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,
dataRecorder,CD,,,,,,,,,,,,,,,
dataEnteredBy,AL,,,,,,,,,,,,,,,
metadataID,FishscapesSurvey.0.5mile.20180606,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,dietSampled
1,NPK,574,,,,,,,,,,,,,,0
2,BLG,199,,,,,,,,,,,,,,0
3,BLG,99,,,,,,,,,,,,,,0
4,BLG,92,,,,,,,,,,,,,,0
5,BLG,102,,,,,,,,,,,,,,0
6,minnow,45,,,,,,,,,,,,,,0
7,minnow,46,,,,,,,,,,,,,,0
8,minnow,46,,,,,,,,,,,,,,0
9,NPK,352,,,,,,,,,,,,,,0
10,minnow,52,,,,,,,,,,,,,,0
11,WSK,366,,,,,,,,,,,,,,0
12,WSK,305,,,,,,,,,,,,,,0
13,BLG,89,,,,,,,,,,,,,,0
14,BLG,54,,,,,,,,,,,,,,0
15,PKS,205,,,,,,,,,,,,,,0
16,BLG,175,,,,,,,,,,,,,,0
17,YWP,72,,,,,,,,,,,,,,0
18,minnow,52,,,,,,,,,,,,,,0
19,minnow,52,,,,,,,,,,,,,,0
20,minnow,45,,,,,,,,,,,,,,0
21,minnow,50,,,,,,,,,,,,,,0
22,minnow,45,,,,,,,,,,,,,,0
23,BLG,155,,,,,,,,,,,,,,0
24,minnow,56,,,,,,,,,,,,,,0
25,minnow,52,,,,,,,,,,,,,,0
26,minnow,55,,,,,,,,,,,,,,0
27,minnow,50,,,,,,,,,,,,,,0
28,BLG,91,,,,,,,,,,,,,,0
29,BLG,100,,,,,,,,,,,,,,0
30,BLG,85,,,,,,,,,,,,,,0
31,minnow,60,,,,,,,,,,,,,,0
32,minnow,59,,,,,,,,,,,,,,0
33,BLG,89,,,,,,,,,,,,,,0
34,BLG,86,,,,,,,,,,,,,,0
35,BLG,86,,,,,,,,,,,,,,0
36,BLG,92,,,,,,,,,,,,,,0
37,YWP,76,,,,,,,,,,,,,,0
38,YWP,82,,,,,,,,,,,,,,0
39,minnow,50,,,,,,,,,,,,,,0
40,YWP,40,,,,,,,,,,,,,,0
41,minnow,62,,,,,,,,,,,,,,0
42,BLG,92,,,,,,,,,,,,,,0
43,minnow,55,,,,,,,,,,,,,,0
44,minnow,60,,,,,,,,,,,,,,0
45,minnow,62,,,,,,,,,,,,,,0
46,minnow,42,,,,,,,,,,,,,,0
