projectID,37,,,,,,,,,,,,,,,
lakeID,AV,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,
dataTimeSet,7/23/2019 23:25,,,,,,,,,,,,,,,
dateTimeSample,7/24/2019 0:05,,,,,,,,,,,,,,,
crew,"AL,FF,CD",,,,,,,,,,,,,,,
gear,BE,,,,,,,,,,,,,,,
distanceShocked,1.5,,,,,,,,,,,,,,,
effort,0.67,,,,,,,,,,,,,,,
effortUnits,electrofishing_hours,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,
dataRecorder,CD,,,,,,,,,,,,,,,
dataEnteredBy,AL,,,,,,,,,,,,,,,
metadataID,FishscapesSurvey.1.5mile.20180607,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,dietSampled
1,NPK,510,,,,,,,,,,,,,,0
2,BCP,290,,,,,,,,,,,,,,0
3,LMB,382,,1,,,,,,,,,,,,0
4,NPK,560,,,,,,,,,,,,,,0
5,BCP,234,,,,,,,,,,,,,,0
6,LMB,345,,1,,,,,,,,,,,,0
7,BLG,170,,,,,,,,,,,,,,0
8,WSK,520,,,,,,,,,,,,,,0
9,BCP,230,,,,,,,,,,,,,,0
10,BLG,150,,,,,,,,,,,,,,0
11,BLG,160,,,,,,,,,,,,,,0
12,BLG,160,,,,,,,,,,,,,,0
13,WLY,310,,,,,,,,,,,,,,0
14,LMB,300,,1,,,,,,,,,,,,0
15,NPK,540,,,,,,,,,,,,,,0
16,WSK,325,,,,,,,,,,,,,,0
17,LMB,270,,1,,,,,,,,,,,,0
18,WSK,325,,,,,,,,,,,,,,0
19,BLG,175,,,,,,,,,,,,,,0
20,BLG,175,,,,,,,,,,,,,,0
21,BLG,170,,,,,,,,,,,,,,0
22,LMB,320,,1,,,,,,,,,,,,0
23,WSK,310,,,,,,,,,,,,,,0
24,WSK,340,,,,,,,,,,,,,,0
25,BLG,155,,,,,,,,,,,,,,0
