projectID,37,,,,,,,,,,,,,,,,
lakeID,AV,,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,,
dataTimeSet,7/24/2019 0:25,,,,,,,,,,,,,,,,
dateTimeSample,7/24/2019 0:40,,,,,,,,,,,,,,,,
crew,"AL, FF, CD",,,,,,,,,,,,,,,,
gear,BE,,,,,,,,,,,,,,,,
distanceShocked,0.5,,,,,,,,,,,,,,,,
effort,0.25,,,,,,,,,,,,,,,,
effortUnits,electrofishing_hours,,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,,
dataRecorder,FF,,,,,,,,,,,,,,,,
dataEnteredBy,FF,,,,,,,,,,,,,,,,
metadataID,FishscapesSurvey0.5mile.20180606,,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,YWP,73,,,,,,,,,,,,,,,0
2,BLG,180,,,,,,,,,,,,,,,0
3,BLG,125,,,,,,,,,,,,,,,0
4,minnow,50,,,,,,,,,,,,,,,0
5,minnow,50,,,,,,,,,,,,,,,0
6,minnow,49,,,,,,,,,,,,,,,0
7,minnow,50,,,,,,,,,,,,,,,0
8,BLG,75,,,,,,,,,,,,,,,0
9,BCP,230,,,,,,,,,,,,,,,0
10,RKB,146,,,,,,,,,,,,,,,0
11,minnow,50,,,,,,,,,,,,,,,0
12,NPK,430,,,,,,,,,,,,,,,0
13,WSK,435,,,,,,,,,,,,,,,0
14,BLG,85,,,,,,,,,,,,,,,0
15,BLG,85,,,,,,,,,,,,,,,0
16,minnow,40,,,,,,,,,,,,,,,0
17,minnow,50,,,,,,,,,,,,,,,0
18,minnow,45,,,,1,,,,,,,,,,,0
19,NPK,530,,,,,,,,,,,,,,,0
20,BLG,100,,,,,,,,,,,,,,,0
21,BLG,80,,,,,,,,,,,,,,,0
22,BLG,95,,,,,,,,,,,,,,,0
23,minnow,55,,,,,,,,,,,,,,,0
24,minnow,40,,,,,,,,,,,,,,,0
25,WSK,360,,,,,,,,,,,,,,,0
26,BLG,180,,,,,,,,,,,,,,,0
27,SMB,40,,,,,,,,,,,,,,,0
28,BLG,45,,,,,,,,,,,,,,,0
29,minnow,50,,,,,,,,,,,,,,,0
30,minnow,50,,,,,,,,,,,,,,,0
31,minnow,50,,,,,,,,,,,,,,,0
32,NPK,365,,,,,,,,,,,,,,,0
33,LMB,322,,AF,,,,,,,,,,,,,0
34,RKB,150,,,,,,,,,,,,,,,0
35,YWP,80,,,,,,,,,,,,,,,0
36,BLG,60,,,,,,,,,,,,,,,0
37,BLG,135,,,,,,,,,,,,,,,0
38,minnow,40,,,,,,,,,,,,,,,0
39,YWP,45,,,,,,,,,,,,,,,0
40,YWP,40,,,,,,,,,,,,,,,0
41,minnow,45,,,,,,,,,,,,,,,0
42,minnow,50,,,,,,,,,,,,,,,0
43,minnow,60,,,,,,,,,,,,,,,0
44,minnow,50,,,,,,,,,,,,,,,0
45,LMB,325,,AF,,,,,,,,,,,,,0
46,BLG,50,,,,,,,,,,,,,,,0
47,minnow,55,,,,,,,,,,,,,,,0
48,minnow,50,,,,,,,,,,,,,,,0
49,BLG,170,,,,,,,,,,,,,,,0
50,minnow,50,,,,,,,,,,,,,,,0
51,minnow,80,,,,,,,,,,,,,,,0
52,BLG,105,,,,,,,,,,,,,,,0
53,minnow,55,,,,,,,,,,,,,,,0
54,BLG,65,,,,,,,,,,,,,,,0
55,BLG,93,,,,,,,,,,,,,,,0
56,YWP,25,,,,,,,,,,,,,,,0
57,BLG,50,,,,,,,,,,,,,,,0
58,BLG,80,,,,,,,,,,,,,,,0
59,minnow,85,,,,,,,,,,,,,,,0
