projectID,37,,,,,,,,,,,,,,,,
lakeID,AV,,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,,
dataTimeSet,7/24/2019 2:30,,,,,,,,,,,,,,,,
dateTimeSample,7/24/2019 2:40,,,,,,,,,,,,,,,,
crew,"AL, FF, CD",,,,,,,,,,,,,,,,
gear,BE,,,,,,,,,,,,,,,,
distanceShocked,0.42,,,,,,,,,,,,,,,,
effort,0.17,,,,,,,,,,,,,,,,
effortUnits,electrofishing_hours,,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,,
dataRecorder,FF,,,,,,,,,,,,,,,,
dataEnteredBy,FF,,,,,,,,,,,,,,,,
metadataID,FishscapesSurvey.1.5mile.20180607,,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,LMB,424,,AF,,,,,,,,,,,,,0
2,LMB,318,,AF,,,,,,,,,,,,,0
3,BCP,260,,AF,,,,,,,,,,,,,0
4,LMB,305,,AF,,,,,,,,,,,,,0
