projectID,37,,,,,,,,,,,,,,,,
lakeID,BOT,,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,,
dataTimeSet,7/16/2019 23:40,,,,,,,,,,,,,,,,
dateTimeSample,7/16/2019 23:50,,,,,,,,,,,,,,,,
crew,"JP, FF, CD",,,,,,,,,,,,,,,,
gear,BE,,,,,,,,,,,,,,,,
distanceShocked,0.5,,,,,,,,,,,,,,,,
effort,0.17,,,,,,,,,,,,,,,,
effortUnits,electrofishing_hours,,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,,
dataRecorder,CD,,,,,,,,,,,,,,,,
dataEnteredBy,FF,,,,,,,,,,,,,,,,
metadataID,FishscapesSurvey0.5mile.20180606,,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,MSK,956,,,,,,,,,,,,,,,0
2,MSK,726,,,,,,,,,,,,,,,0
3,WLY,605,,,,,,,,,,,,,,,0
4,BLG,145,,,,,,,,,,,,,,,0
5,BLG,162,,,,,,,,,,,,,,,0
6,BCP,183,,,,,,,,,,,,,,,0
7,BLG,131,,,,,,,,,,,,,,,0
8,BCP,202,,,,,,,,,,,,,,,0
9,BLG,124,,,,,,,,,,,,,,,0
10,BLG,129,,,,,,,,,,,,,,,0
11,BLG,138,,,,,,,,,,,,,,,0
12,BLG,106,,,,,,,,,,,,,,,0
13,YWP,76,,,,,,,,,,,,,,,0
14,PKS,110,,,,,,,,,,,,,,,0
15,GDS,103,,,,,,,,,,,,,,,0
16,WLY,92,,,,,,,,,,,,,,,0
17,YWP,85,,,,,,,,,,,,,,,0
18,YWP,34,,,,,,,,,,,,,,,0
19,LMB,30,,,,,,,,,,,,,,,0
20,LMB,35,,,,,,,,,,,,,,,0
21,YWP,34,,,,,,,,,,,,,,,0
22,YWP,32,,,,,,,,,,,,,,,0
23,YWP,32,,,,,,,,,,,,,,,0
24,YWP,5,,,,,,,,,,,,,,,0
25,YWP,34,,,,,,,,,,,,,,,0
26,YWP,30,,,,,,,,,,,,,,,0
27,LMB,31,,,,,,,,,,,,,,,0
28,LMB,314,,AF,,,,,,,,,,,,,0
29,PKS,150,,,,,,,,,,,,,,,0
30,BLG,173,,,,,,,,,,,,,,,0
31,BLG,172,,,,,,,,,,,,,,,0
32,YWP,121,,,,,,,,,,,,,,,0
33,BLG,161,,,,,,,,,,,,,,,0
34,BLG,132,,,,,,,,,,,,,,,0
35,WLY,132,,,,,,,,,,,,,,,0
36,BCP,162,,,,,,,,,,,,,,,0
37,BLG,145,,,,,,,,,,,,,,,0
38,WLY,100,,,,,,,,,,,,,,,0
39,YWP,91,,,,,,,,,,,,,,,0
40,YWP,40,,,,,,,,,,,,,,,0
41,YWP,41,,,,,,,,,,,,,,,0
42,YWP,44,,,,,,,,,,,,,,,0
43,YWP,41,,,,,,,,,,,,,,,0
44,BCP,175,,,,,,,,,,,,,,,0
45,PKS,130,,,,,,,,,,,,,,,0
46,BLG,175,,,,,,,,,,,,,,,0
47,BLG,133,,,,,,,,,,,,,,,0
48,PKS,158,,,,,,,,,,,,,,,0
49,BLG,140,,,,,,,,,,,,,,,0
50,YWP,40,,,,,,,,,,,,,,,0
51,BLG,175,,,,,,,,,,,,,,,0
52,WSK,304,,,,,,,,,,,,,,,0
53,PKS,145,,,,,,,,,,,,,,,0
54,WLY,148,,,,,,,,,,,,,,,0
55,PKS,161,,,,,,,,,,,,,,,0
56,LMB,321,,,,,,,,,,,,,,,0
57,WLY,425,,,,,,,,,,,,,,,0
58,YWP,31,,,,,,,,,,,,,,,0
59,YWP,30,,,,,,,,,,,,,,,0
60,YWP,32,,,,,,,,,,,,,,,0
61,unidentifiable,17,,,,,,,,,,,,,,unidentifiable,0
62,RHS,370,,,,,,,,,,,,,,,0
