projectID,37,,,,,,,,,,,,,,,,
lakeID,BOT,,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,,
dataTimeSet,7/21/2019 5:05,,,,,,,,,,,,,,,,
dateTimeSample,7/21/2019 9:45,,,,,,,,,,,,,,,,
crew,"AT, MS, JP",,,,,,,,,,,,,,,,
gear,AN,,,,,,,,,,,,,,,,
distanceShocked,,,,,,,,,,,,,,,,,
effort,4.586666667,,,,,,,,,,,,,,,,
effortUnits,angler_hours,,,,,,,,,,,,,,,,
comments,break 715 to 720,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,,
dataRecorder,JP,,,,,,,,,,,,,,,,
dataEnteredBy,FF,,,,,,,,,,,,,,,,
metadataID,Fishscapes.Angling.20180625,,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,LMB,296,,AF,,,,,,,,,,,JP,,0
2,LMB,261,,AF,,,,,,,,,,,JP,,0
3,LMB,362,,AF,,,,,,,,,,,MS,,0
4,NFC,,,,,,,,,,,,,,AT,,0
