projectID,37,,,,,,,,,,,,,,,
lakeID,BY,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,
dataTimeSet,6/3/2019 22:05,,,,,,,,,,,,,,,
dateTimeSample,6/3/2019 22:30,,,,,,,,,,,,,,,
crew,"DS,FF,MS",,,,,,,,,,,,,,,
gear,BE,,,,,,,,,,,,,,,
distanceShocked,0.5,,,,,,,,,,,,,,,
effort,0.42,,,,,,,,,,,,,,,
effortUnits,electrofishing_hours,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,
dataRecorder,FF,,,,,,,,,,,,,,,
dataEnteredBy,DS,,,,,,,,,,,,,,,
metadataID,FishscapesSurvey.0.5mile.20180606,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,dietSampled
1,MSK,952,,,,,,,,,,,,,,0
2,PKS,188,,,,,,,,,,,,,,0
3,PKS,156,,,,,,,,,,,,,,0
4,PKS,143,,,,,,,,,,,,,,0
5,PKS,167,,,,,,,,,,,,,,0
6,PKS,190,,,,,,,,,,,,,,0
7,PKS,189,,,,,,,,,,,,,,0
8,BLG,179,,,,,,,,,,,,,,0
9,BLG,163,,,,,,,,,,,,,,0
10,BLG,171,,,,,,,,,,,,,,0
11,BLG,163,,,,,,,,,,,,,,0
12,PKS,202,,,,,,,,,,,,,,0
13,BLG,169,,,,,,,,,,,,,,0
14,BLG,85,,,,,,,,,,,,,,0
15,BLG,84,,,,,,,,,,,,,,0
16,PKS,172,,,,,,,,,,,,,,0
17,BLG,185,,,,,,,,,,,,,,0
18,BLG,148,,,,,,,,,,,,,,0
19,BLG,83,,,,,,,,,,,,,,0
20,BLG,115,,,,,,,,,,,,,,0
21,BLG,172,,,,,,,,,,,,,,0
22,BLG,189,,,,,,,,,,,,,,0
23,BLG,110,,,,,,,,,,,,,,0
24,BHD,230,,,,,,,,,,,,,,0
25,BLG,91,,,,,,,,,,,,,,0
26,BLG,58,,,,,,,,,,,,,,0
27,BLG,70,,,,,,,,,,,,,,0
28,BCP,157,,,,,,,,,,,,,,0
29,minnow,58,,,,,,,,,,,,,,0
30,BLG,39,,,,,,,,,,,,,,0
31,BLG,120,,,,,,,,,,,,,,0
32,BLG,151,,,,,,,,,,,,,,0
33,PKS,87,,,,,,,,,,,,,,0
34,minnow,58,,,,,,,,,,,,,,0
35,PKS,151,,,,,,,,,,,,,,0
36,PKS,192,,,,,,,,,,,,,,0
37,PKS,156,,,,,,,,,,,,,,0
38,BHD,233,,,,,,,,,,,,,,0
39,PKS,195,,,,,,,,,,,,,,0
40,BLG,188,,,,,,,,,,,,,,0
41,BLG,178,,,,,,,,,,,,,,0
42,BLG,144,,,,,,,,,,,,,,0
43,BLG,185,,,,,,,,,,,,,,0
44,BLG,183,,,,,,,,,,,,,,0
45,BLG,139,,,,,,,,,,,,,,0
46,PKS,145,,,,,,,,,,,,,,0
47,BLG,60,,,,,,,,,,,,,,0
48,BLG,34,,,,,,,,,,,,,,0
49,BLG,80,,,,,,,,,,,,,,0
50,BLG,60,,,,,,,,,,,,,,0
51,PKS,123,,,,,,,,,,,,,,0
52,BCP,215,,,,,,,,,,,,,,0
53,BLG,144,,,,,,,,,,,,,,0
54,PKS,176,,,,,,,,,,,,,,0
55,BLG,120,,,,,,,,,,,,,,0
56,BLG,179,,,,,,,,,,,,,,0
57,RKB,229,,,,,,,,,,,,,,0
58,BHD,230,,,,,,,,,,,,,,0
59,BCP,225,,,,,,,,,,,,,,0
60,BLG,80,,,,,,,,,,,,,,0
61,BLG,169,,,,,,,,,,,,,,0
62,BLG,190,,,,,,,,,,,,,,0
63,BLG,162,,,,,,,,,,,,,,0
64,BLG,105,,,,,,,,,,,,,,0
65,BLG,141,,,,,,,,,,,,,,0
66,BLG,67,,,,,,,,,,,,,,0
67,BLG,64,,,,,,,,,,,,,,0
68,minnow,54,,,,,,,,,,,,,,0
69,PKS,180,,,,,,,,,,,,,,0
70,BLG,81,,,,,,,,,,,,,,0
71,BLG,201,,,,,,,,,,,,,,0
72,BLG,126,,,,,,,,,,,,,,0
73,PKS,209,,,,,,,,,,,,,,0
74,BLG,166,,,,,,,,,,,,,,0
75,BLG,183,,,,,,,,,,,,,,0
76,BLG,143,,,,,,,,,,,,,,0
77,BHD,229,,,,,,,,,,,,,,0
78,BLG,155,,,,,,,,,,,,,,0
79,BLG,79,,,,,,,,,,,,,,0
80,BLG,70,,,,,,,,,,,,,,0
81,BHD,214,,,,,,,,,,,,,,0
82,BLG,95,,,,,,,,,,,,,,0
83,PKS,90,,,,,,,,,,,,,,0
84,BLG,90,,,,,,,,,,,,,,0
85,BLG,53,,,,,,,,,,,,,,0
86,BLG,74,,,,,,,,,,,,,,0
87,minnow,58,,,,,,,,,,,,,,0
88,BLG,175,,,,,,,,,,,,,,0
89,PKS,190,,,,,,,,,,,,,,0
90,PKS,150,,,,,,,,,,,,,,0
91,BLG,179,,,,,,,,,,,,,,0
92,BLG,74,,,,,,,,,,,,,,0
93,BLG,127,,,,,,,,,,,,,,0
94,BLG,140,,,,,,,,,,,,,,0
95,PKS,131,,,,,,,,,,,,,,0
96,PKS,174,,,,,,,,,,,,,,0
97,PKS,113,,,,,,,,,,,,,,0
98,BLG,153,,,,,,,,,,,,,,0
99,PKS,130,,,,,,,,,,,,,,0
100,BCP,186,,,,,,,,,,,,,,0
101,BHD,225,,,,,,,,,,,,,,0
102,PKS,127,,,,,,,,,,,,,,0
103,PKS,197,,,,,,,,,,,,,,0
104,BHD,230,,,,,,,,,,,,,,0
105,BLG,150,,,,,,,,,,,,,,0
106,PKS,83,,,,,,,,,,,,,,0
107,BLG,109,,,,,,,,,,,,,,0
108,BLG,111,,,,,,,,,,,,,,0
109,BLG,76,,,,,,,,,,,,,,0
110,BLG,125,,,,,,,,,,,,,,0
111,BLG,125,,,,,,,,,,,,,,0
112,BLG,86,,,,,,,,,,,,,,0
113,BLG,72,,,,,,,,,,,,,,0
114,BLG,77,,,,,,,,,,,,,,0
115,BLG,87,,,,,,,,,,,,,,0
116,BLG,98,,,,,,,,,,,,,,0
117,BLG,74,,,,,,,,,,,,,,0
118,BLG,162,,,,,,,,,,,,,,0
119,BHD,229,,,,,,,,,,,,,,0
120,PKS,163,,,,,,,,,,,,,,0
121,BLG,127,,,,,,,,,,,,,,0
122,BLG,119,,,,,,,,,,,,,,0
123,BLG,94,,,,,,,,,,,,,,0
124,BLG,80,,,,,,,,,,,,,,0
125,GDS,96,,,,,,,,,,,,,,0
126,BLG,93,,,,,,,,,,,,,,0
127,BLG,73,,,,,,,,,,,,,,0
128,BLG,183,,,,,,,,,,,,,,0
129,PKS,107,,,,,,,,,,,,,,0
130,BLG,178,,,,,,,,,,,,,,0
131,BLG,130,,,,,,,,,,,,,,0
132,BLG,164,,,,,,,,,,,,,,0
133,GDS,85,,,,,,,,,,,,,,0
134,BLG,107,,,,,,,,,,,,,,0
135,BLG,157,,,,,,,,,,,,,,0
136,BLG,165,,,,,,,,,,,,,,0
137,BHD,210,,,,,,,,,,,,,,0
138,PKS,116,,,,,,,,,,,,,,0
139,PKS,83,,,,,,,,,,,,,,0
140,LMB,362,,AF,,,,1,1,,,,,,,0
141,LMB,336,,AF,,,,1,1,,,,,,,0
142,LMB,225,,AF,,,,1,1,,,,,,,0
143,LMB,314,,AF,,,,1,1,,,,,,,0
144,LMB,357,,AF,,,,1,1,,,,,,,0
145,LMB,395,,AF,,,,1,1,,,,,,,0
146,LMB,252,,AF,,,,1,1,,,,,,,0
147,LMB,310,,AF,,,,1,1,,,,,,,0
148,LMB,300,,AF,,,,1,1,,,,,,,0
149,LMB,369,,AF,,,,1,1,,,,,,,0
150,LMB,321,,AF,,,,1,1,,,,,,,0
151,LMB,348,,AF,,,,1,1,,,,,,,0
152,LMB,304,,AF,,,,1,1,,,,,,,0
153,LMB,234,,AF,,,,1,1,,,,,,,0
154,LMB,404,,AF,,,,1,1,,,,,,,0
155,BHD,231,,,,,,,,,,,,,,0
156,BLG,154,,,,,,,,,,,,,,0
157,BLG,79,,,,,,,,,,,,,,0
158,BLG,83,,,,,,,,,,,,,,0
159,YWP,129,,,,,,,,,,,,,,0
160,BLG,86,,,,,,,,,,,,,,0
161,RKB,84,,,,,,,,,,,,,,0
