projectID,37,,,,,,,,,,,,,,,
lakeID,BY,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,
dataTimeSet,6/12/2019 21:55,,,,,,,,,,,,,,,
dateTimeSample,6/12/2019 22:50,,,,,,,,,,,,,,,
crew,"DS,MS,FF",,,,,,,,,,,,,,,
gear,BE,,,,,,,,,,,,,,,
distanceShocked,1.84,,,,,,,,,,,,,,,
effort,0.92,,,,,,,,,,,,,,,
effortUnits,electrofishing_hours,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,
dataRecorder,DS,,,,,,,,,,,,,,,
dataEnteredBy,MS,,,,,,,,,,,,,,,
metadataID,FishscapesSurvey.hotBassLap.20180607,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,dietSampled
1,LMB,266,,AF,,,,,,,,,,,,0
2,LMB,253,,,AF,,,,,,,,,,,0
3,LMB,400,,AF,,,,,,,,,,,,0
4,LMB,336,,AF,,,,,,,,,,,,0
5,LMB,329,,,AF,,,,,,,,,,,0
6,LMB,284,,AF,,,,,,,,,,,,0
7,LMB,342,,,AF,,,,,,,,,,,0
8,LMB,379,,,AF,,,,,,,,,,,0
9,LMB,460,,AF,,,,1,1,,,,,,,0
10,LMB,232,,AF,,,,,,,,,,,,0
11,LMB,280,,AF,,,,,,,,,,,,0
