projectID,37,,,,,,,,,,,,,,,,
lakeID,ER,,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,,
dataTimeSet,7/18/2019 22:05,,,,,,,,,,,,,,,,
dateTimeSample,7/18/2019 22:20,,,,,,,,,,,,,,,,
crew,"FF, CD, JP",,,,,,,,,,,,,,,,
gear,BE,,,,,,,,,,,,,,,,
distanceShocked,0.5,,,,,,,,,,,,,,,,
effort,0.25,,,,,,,,,,,,,,,,
effortUnits,electrofishing_hours,,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,,
dataRecorder,FF,,,,,,,,,,,,,,,,
dataEnteredBy,JP,,,,,,,,,,,,,,,,
metadataID,FishscapesSurvey.1.5mile.2018060,,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,PKS,128,,,,,,,,,,,,,,,0
2,PKS,155,,,,,,,,,,,,,,,0
3,PKS,137,,,,,,,,,,,,,,,0
4,PKS,150,,,,,,,,,,,,,,,0
5,PKS,137,,,,,,,,,,,,,,,0
6,PKS,136,,,,,,,,,,,,,,,0
7,BCP,221,,,,,,,,,,,,,,,0
8,PKS,131,,,,,,,,,,,,,,,0
9,YWP,189,,,,,,,,,,,,,,,0
10,PKS,140,,,,,,,,,,,,,,,0
11,GDS,84,,,,,,,,,,,,,,,0
12,GDS,92,,,,,,,,,,,,,,,0
13,YWP,95,,,,,,,,,,,,,,,0
14,YWP,98,,,,,,,,,,,,,,,0
15,PKS,75,,,,,,,,,,,,,,,0
16,GDS,100,,,,,,,,,,,,,,,0
17,YWP,84,,,,,,,,,,,,,,,0
18,PKS,72,,,,,,,,,,,,,,,0
19,GDS,90,,,,,,,,,,,,,,,0
20,GDS,81,,,,,,,,,,,,,,,0
21,PKS,64,,,,,,,,,,,,,,,0
22,YWP,39,,,,,,,,,,,,,,,0
23,BLG,151,,,,,,,,,,,,,,,0
24,PKS,134,,,,,,,,,,,,,,,0
25,YWP,190,,,,,,,,,,,,,,,0
26,PKS,141,,,,,,,,,,,,,,,0
27,BLG,135,,,,,,,,,,,,,,,0
28,PKS,126,,,,,,,,,,,,,,,0
29,PKS,126,,,,,,,,,,,,,,,0
30,PKS,145,,,,,,,,,,,,,,,0
31,YWP,82,,,,,,,,,,,,,,,0
32,GDS,94,,,,,,,,,,,,,,,0
33,PKS,78,,,,,,,,,,,,,,,0
34,PKS,74,,,,,,,,,,,,,,,0
35,GDS,86,,,,,,,,,,,,,,,0
36,YWP,82,,,,,,,,,,,,,,,0
37,GDS,81,,,,,,,,,,,,,,,0
38,YWP,91,,,,,,,,,,,,,,,0
39,GDS,65,,,,,,,,,,,,,,,0
40,PKS,56,,,,,,,,,,,,,,,0
41,GDS,85,,,,,,,,,,,,,,,0
42,PKS,151,,,,,,,,,,,,,,,0
43,PKS,156,,,,,,,,,,,,,,,0
44,PKS,141,,,,,,,,,,,,,,,0
45,PKS,131,,,,,,,,,,,,,,,0
46,BLG,161,,,,,,,,,,,,,,,0
47,BCP,130,,,,,,,,,,,,,,,0
48,PKS,140,,,,,,,,,,,,,,,0
49,PKS,134,,,,,,,,,,,,,,,0
50,PKS,122,,,,,,,,,,,,,,,0
51,PKS,129,,,,,,,,,,,,,,,0
52,PKS,122,,,,,,,,,,,,,,,0
53,YWP,78,,,,,,,,,,,,,,,0
54,YWP,99,,,,,,,,,,,,,,,0
55,BLG,60,,,,,,,,,,,,,,,0
56,GDS,74,,,,,,,,,,,,,,,0
57,YWP,87,,,,,,,,,,,,,,,0
58,PKS,85,,,,,,,,,,,,,,,0
59,PKS,147,,,,,,,,,,,,,,,0
60,BCP,210,,,,,,,,,,,,,,,0
61,PKS,132,,,,,,,,,,,,,,,0
62,PKS,145,,,,,,,,,,,,,,,0
63,PKS,142,,,,,,,,,,,,,,,0
64,PKS,155,,,,,,,,,,,,,,,0
65,PKS,122,,,,,,,,,,,,,,,0
66,YWP,101,,,,,,,,,,,,,,,0
67,YWP,109,,,,,,,,,,,,,,,0
68,YWP,91,,,,,,,,,,,,,,,0
69,PKS,61,,,,,,,,,,,,,,,0
70,GDS,69,,,,,,,,,,,,,,,0
71,YWP,42,,,,,,,,,,,,,,,0
72,PKS,145,,,,,,,,,,,,,,,0
73,PKS,137,,,,,,,,,,,,,,,0
74,GDS,80,,,,,,,,,,,,,,,0
75,BLG,56,,,,,,,,,,,,,,,0
76,YWP,96,,,,,,,,,,,,,,,0
77,PKS,129,,,,,,,,,,,,,,,0
78,YWP,141,,,,,,,,,,,,,,,0
79,YWP,101,,,,,,,,,,,,,,,0
80,BLG,56,,,,,,,,,,,,,,,0
81,YWP,82,,,,,,,,,,,,,,,0
82,PKS,65,,,,,,,,,,,,,,,0
83,YWP,108,,,,,,,,,,,,,,,0
84,BLG,51,,,,,,,,,,,,,,,0
85,YWP,88,,,,,,,,,,,,,,,0
86,YWP,46,,,,,,,,,,,,,,,0
87,YWP,97,,,,,,,,,,,,,,,0
88,YWP,84,,,,,,,,,,,,,,,0
89,CMM,40,,,,,,,,,,,,,,,0
