projectID,37,,,,,,,,,,,,,,,
lakeID,HT,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,
dataTimeSet,5/28/2019 2:15,,,,,,,,,,,,,,,
dateTimeSample,5/28/2019 2:30,,,,,,,,,,,,,,,
crew,"DS,AL,JC,JP,CD",,,,,,,,,,,,,,,
gear,BE,,,,,,,,,,,,,,,
distanceShocked,0.5,,,,,,,,,,,,,,,
effort,0.25,,,,,,,,,,,,,,,
effortUnits,electrofishing_hours,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,
dataRecorder,CD,,,,,,,,,,,,,,,
dataEnteredBy,MS,,,,,,,,,,,,,,,
metadataID,FishscapesSurvey.0.5mile.20180606,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,dietSampled
1,PKS,180,,,,,,,,,,,,,,0
2,WLY,146,,,,,,,,,,,,,,0
3,minnow,60,,,,,,,,,,,,,,0
4,NPK,458,,,,,,,,,,,,,,0
5,WLY,160,,,,,,,,,,,,,,0
6,BLG,174,,,,,,,,,,,,,,0
7,BLG,178,,,,,,,,,,,,,,0
8,WLY,354,,,,,,,,,,,,,,0
9,WLY,184,,,,,,,,,,,,,,0
10,LMB,354,,AF,,,,,,,,,,,,0
11,minnow,66,,,,,,,,,,,,,,0
12,WLY,338,,,,,,,,,,,,,,0
13,WLY,352,,,,,,,,,,,,,,0
14,RKB,160,,,,,,,,,,,,,,0
15,BLG,134,,,,,,,,,,,,,,0
16,BLG,76,,,,,,,,,,,,,,0
17,BLG,66,,,,,,,,,,,,,,0
18,minnow,52,,,,,,,,,,,,,,0
19,BLG,162,,,,,,,,,,,,,,0
20,minnow,52,,,,,,,,,,,,,,0
21,BLG,150,,,,,,,,,,,,,,0
22,WLY,164,,,,,,,,,,,,,,0
23,BLG,70,,,,,,,,,,,,,,0
24,YWP,62,,,,,,,,,,,,,,0
25,YWP,66,,,,,,,,,,,,,,0
26,WLY,147,,,,,,,,,,,,,,0
27,BLG,146,,,,,,,,,,,,,,0
28,WLY,168,,,,,,,,,,,,,,0
29,BLG,116,,,,,,,,,,,,,,0
30,YWP,66,,,,,,,,,,,,,,0
31,YWP,62,,,,,,,,,,,,,,0
