projectID,37,,,,,,,,,,,,,,,
lakeID,HT,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,
dataTimeSet,5/29/2019 23:55,,,,,,,,,,,,,,,
dateTimeSample,5/30/2019 0:30,,,,,,,,,,,,,,,
crew,"DS, AL, AS, JC, CD",,,,,,,,,,,,,,,
gear,BE,,,,,,,,,,,,,,,
distanceShocked,0.9,,,,,,,,,,,,,,,
effort,0.583333333,,,,,,,,,,,,,,,
effortUnits,electrofishing_hours,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,
dataRecorder,AL,,,,,,,,,,,,,,,
dataEnteredBy,FF,,,,,,,,,,,,,,,
metadataID,FishscapesSurvey.hotBassLap.20180607,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,dietSampled
1,SMB,278,,AF,,,,,,,,,,,,0
2,LMB,361,,AF,,,,,,,,,,,,0
3,LMB,279,,AF,,,,,,,,,,,,0
4,LMB,375,,AF,,,,,,,,,,,,0
5,LMB,339,,AF,,,,,,,,,,,,0
6,LMB,380,,AF,,,,,,,,,,,,0
7,LMB,409,,AF,,,,,,,,,,,,0
