projectID,37,,,,,,,,,,,,,,,,
lakeID,JS,,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,,
dataTimeSet,7/1/2019 16:24,,,,,,,,,,,,,,,,
dateTimeSample,7/1/2019 18:00,,,,,,,,,,,,,,,,
crew,"AL,JP,AT",,,,,,,,,,,,,,,,
gear,AN,,,,,,,,,,,,,,,,
distanceShocked,,,,,,,,,,,,,,,,,
effort,1.6,,,,,,,,,,,,,,,,
effortUnits,angler_hours,,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,,
dataRecorder,AL,,,,,,,,,,,,,,,,
dataEnteredBy,JC,,,,,,,,,,,,,,,,
metadataID,Fishscapes.Angling.20180625,,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,LMB,385,,AF,,,,,,,,,,,JP,,0
2,LMB,247,,AF,,,,,,,,,,,JP,,0
3,LMB,285,,AF,,,,,,,,,,,JP,,0
4,NFC,,,,,,,,,,,,,,AT,,0
5,NFC,,,,,,,,,,,,,,AL,,0
