projectID,37,,,,,,,,,,,,,,,,
lakeID,LE,,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,,
dataTimeSet,7/21/2019 6:00,,,,,,,,,,,,,,,,
dateTimeSample,7/21/2019 9:50,,,,,,,,,,,,,,,,
crew,"DS, ALK",,,,,,,,,,,,,,,,
gear,AN,,,,,,,,,,,,,,,,
distanceShocked,,,,,,,,,,,,,,,,,
effort,3.33,,,,,,,,,,,,,,,,
effortUnits,angler_hours,,,,,,,,,,,,,,,,
comments,break 800 to 830 canoe ran away alex swam after it water was warm would suggest 10 out of 10 also wild blueberries,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,,
dataRecorder,ALK,,,,,,,,,,,,,,,,
dataEnteredBy,MS,,,,,,,,,,,,,,,,
metadataID,Fishscapes.Angling.20180625,,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,LMB,474,,AF,,,,,,,,,,,DS,,0
2,LMB,463,,AF,,,,,,,,,,,ALK,,0
3,LMB,333,,AF,,,,,,,,,,,DS,,0
4,LMB,461,,AF,,,,,,,,,,,DS,,0
