projectID,37,,,,,,,,,,,,,,,
lakeID,LT,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,
dataTimeSet,7/22/2019 22:05,,,,,,,,,,,,,,,
dateTimeSample,7/22/2019 22:15,,,,,,,,,,,,,,,
crew,"AL,FF,CD",,,,,,,,,,,,,,,
gear,BE,,,,,,,,,,,,,,,
distanceShocked,0.5,,,,,,,,,,,,,,,
effort,0.17,,,,,,,,,,,,,,,
effortUnits,electrofishing_hours,,,,,,,,,,,,,,,
comments,bluegill accidental release,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,
dataRecorder,CD,,,,,,,,,,,,,,,
dataEnteredBy,AL,,,,,,,,,,,,,,,
metadataID,FishscapesSurvey.0.5mile.20180606,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,dietSampled
1,NPK,543,,,,,,,,,,,,,,0
2,BLG,180,,,,,,,,,,,,,,0
3,WSK,285,,,,,,,,,,,,,,0
4,WLY,337,,,,,,,,,,,,,,0
5,BCP,189,,,,,,,,,,,,,,0
6,YWP,225,,,,,,,,,,,,,,0
7,BLG,150,,,,,,,,,,,,,,0
8,BLG,154,,,,,,,,,,,,,,0
9,BLG,172,,,,,,,,,,,,,,0
10,BLG,177,,,,,,,,,,,,,,0
11,BCP,210,,,,,,,,,,,,,,0
12,WLY,149,,,,,,,,,,,,,,0
13,minnow,66,,,,1,,,,,,,,,,0
14,minnow,63,,,,,,,,,,,,,,0
15,BLG,141,,,,,,,,,,,,,,0
16,BCP,200,,,,,,,,,,,,,,0
17,BLG,152,,,,,,,,,,,,,,0
18,BLG,141,,,,,,,,,,,,,,0
19,WLY,125,,,,,,,,,,,,,,0
20,BLG,126,,,,,,,,,,,,,,0
21,BLG,146,,,,,,,,,,,,,,0
22,BCP,220,,,,,,,,,,,,,,0
23,BLG,142,,,,,,,,,,,,,,0
24,minnow,32,,,,,,,,,,,,,,0
25,minnow,29,,,,,,,,,,,,,,0
26,BLG,175,,,,,,,,,,,,,,0
27,minnow,30,,,,,,,,,,,,,,0
28,LMB,34,,,,,,,,,,,,,,0
29,YWP,39,,,,,,,,,,,,,,0
30,BLG,165,,,,,,,,,,,,,,0
31,GDS,72,,,,,,,,,,,,,,0
32,WLY,72,,,,,,,,,,,,,,0
33,BLG,159,,,,,,,,,,,,,,0
34,BLG,192,,,,,,,,,,,,,,0
35,BLG,129,,,,,,,,,,,,,,0
36,BLG,128,,,,,,,,,,,,,,0
37,BLG,122,,,,,,,,,,,,,,0
38,BLG,120,,,,,,,,,,,,,,0
39,BCP,254,,,,,,,,,,,,,,0
40,BCP,190,,,,,,,,,,,,,,0
41,BLG,150,,,,,,,,,,,,,,0
42,BLG,142,,,,,,,,,,,,,,0
43,BLG,,,,,,,,,,,,,,,0
44,BLG,162,,,,,,,,,,,,,,0
45,BLG,129,,,,,,,,,,,,,,0
46,BLG,160,,,,,,,,,,,,,,0
47,BLG,126,,,,,,,,,,,,,,0
48,LMB,281,,1,,,,1,1,,,,,,,0
49,PKS,135,,,,,,,,,,,,,,0
50,BCP,255,,,,,,,,,,,,,,0
51,BLG,175,,,,,,,,,,,,,,0
52,BLG,160,,,,,,,,,,,,,,0
53,BLG,140,,,,,,,,,,,,,,0
54,BLG,172,,,,,,,,,,,,,,0
55,BLG,142,,,,,,,,,,,,,,0
56,BLG,93,,,,,,,,,,,,,,0
57,SMB,50,,,,,,,,,,,,,,0
58,LMB,59,,,,1,,,,,,,,,,0
59,WLY,82,,,,,,,,,,,,,,0
60,BLG,122,,,,,,,,,,,,,,0
61,WLY,91,,,,,,,,,,,,,,0
62,WLY,81,,,,,,,,,,,,,,0
63,BLG,181,,,,,,,,,,,,,,0
64,BLG,175,,,,,,,,,,,,,,0
65,BLG,132,,,,,,,,,,,,,,0
66,BLG,165,,,,,,,,,,,,,,0
67,BLG,176,,,,,,,,,,,,,,0
68,BLG,165,,,,,,,,,,,,,,0
69,BLG,172,,,,,,,,,,,,,,0
70,WLY,84,,,,,,,,,,,,,,0
71,GDS,72,,,,,,,,,,,,,,0
72,GDS,72,,,,,,,,,,,,,,0
73,BLG,166,,,,,,,,,,,,,,0
74,BLG,166,,,,,,,,,,,,,,0
75,PKS,176,,,,,,,,,,,,,,0
76,BLG,106,,,,,,,,,,,,,,0
77,BLG,155,,,,,,,,,,,,,,0
78,BLG,161,,,,,,,,,,,,,,0
79,WLY,80,,,,,,,,,,,,,,0
80,BLG,200,,,,,,,,,,,,,,0
81,YWP,72,,,,,,,,,,,,,,0
82,BLG,120,,,,,,,,,,,,,,0
83,YWP,120,,,,,,,,,,,,,,0
84,BCP,195,,,,,,,,,,,,,,0
85,BLG,135,,,,,,,,,,,,,,0
86,BLG,194,,,,,,,,,,,,,,0
87,YWP,150,,,,,,,,,,,,,,0
88,WLY,91,,,,,,,,,,,,,,0
89,GDS,71,,,,,,,,,,,,,,0
90,YWP,71,,,,,,,,,,,,,,0
91,YWP,75,,,,,,,,,,,,,,0
93,WLY,115,,,,,,,,,,,,,,0
94,YWP,91,,,,,,,,,,,,,,0
95,YWP,82,,,,,,,,,,,,,,0
96,JDR,24,,,,,,,,,,,,,,0
