projectID,37,,,,,,,,,,,,,,,
lakeID,LT,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,
dataTimeSet,7/23/2019 0:25,,,,,,,,,,,,,,,
dateTimeSample,7/23/2019 0:40,,,,,,,,,,,,,,,
crew,"CD,FF,AL",,,,,,,,,,,,,,,
gear,BE,,,,,,,,,,,,,,,
distanceShocked,0.56,,,,,,,,,,,,,,,
effort,0.25,,,,,,,,,,,,,,,
effortUnits,electrofishing_hours,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,
dataRecorder,AL,,,,,,,,,,,,,,,
dataEnteredBy,AL,,,,,,,,,,,,,,,
metadataID,FishscapesSurvey.0.5mile.20180607,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,dietSampled
1,BLG,183,,,,,,,,,,,,,,0
2,PKS,160,,,,,,,,,,,,,,0
3,BLG,145,,,,,,,,,,,,,,0
4,YWP,90,,,,,,,,,,,,,,0
5,minnow,55,,,,,,,,,,,,,,0
6,minnow,57,,,,,,,,,,,,,,0
7,BLG,102,,,,,,,,,,,,,,0
8,YWP,112,,,,,,,,,,,,,,0
9,YWP,42,,,,,,,,,,,,,,0
10,YWP,42,,,,,,,,,,,,,,0
11,YWP,31,,,,,,,,,,,,,,0
12,YWP,77,,,,,,,,,,,,,,0
13,YWP,71,,,,,,,,,,,,,,0
14,YWP,32,,,,,,,,,,,,,,0
15,YWP,32,,,,,,,,,,,,,,0
16,YWP,40,,,,,,,,,,,,,,0
17,YWP,40,,,,,,,,,,,,,,0
18,YWP,42,,,,,,,,,,,,,,0
19,YWP,40,,,,,,,,,,,,,,0
20,YWP,40,,,,,,,,,,,,,,0
21,YWP,44,,,,,,,,,,,,,,0
22,YWP,35,,,,,,,,,,,,,,0
23,YWP,35,,,,,,,,,,,,,,0
24,YWP,34,,,,,,,,,,,,,,0
25,BLG,160,,,,,,,,,,,,,,0
26,BLG,112,,,,,,,,,,,,,,0
27,BLG,165,,,,,,,,,,,,,,0
28,BLG,135,,,,,,,,,,,,,,0
29,PKS,154,,,,,,,,,,,,,,0
30,BLG,156,,,,,,,,,,,,,,0
31,YWP,74,,,,,,,,,,,,,,0
32,YWP,74,,,,,,,,,,,,,,0
33,YWP,86,,,,,,,,,,,,,,0
34,YWP,35,,,,,,,,,,,,,,0
35,BLG,52,,,,,,,,,,,,,,0
36,YWP,30,,,,,,,,,,,,,,0
37,BLG,159,,,,,,,,,,,,,,0
38,PKS,170,,,,,,,,,,,,,,0
39,BLG,171,,,,,,,,,,,,,,0
40,BLG,115,,,,,,,,,,,,,,0
41,BLG,121,,,,,,,,,,,,,,0
42,YWP,38,,,,,,,,,,,,,,0
43,YWP,38,,,,,,,,,,,,,,0
44,LMB,60,,,,,,,,,,,,,,0
45,YWP,38,,,,,,,,,,,,,,0
46,GDS,62,,,,,,,,,,,,,,0
47,BLG,102,,,,,,,,,,,,,,0
48,YWP,71,,,,,,,,,,,,,,0
49,LMB,50,,,,,,,,,,,,,,0
51,YWP,45,,,,,,,,,,,,,,0
52,YWP,35,,,,,,,,,,,,,,0
53,YWP,38,,,,,,,,,,,,,,0
54,YWP,36,,,,,,,,,,,,,,0
55,YWP,41,,,,,,,,,,,,,,0
56,YWP,79,,,,,,,,,,,,,,0
57,YWP,82,,,,,,,,,,,,,,0
58,YWP,85,,,,,,,,,,,,,,0
59,YWP,40,,,,,,,,,,,,,,0
60,BLG,151,,,,,,,,,,,,,,0
61,NPK,535,,,,,,,,,,,,,,0
62,YWP,32,,,,,,,,,,,,,,0
63,YWP,35,,,,,,,,,,,,,,0
64,YWP,90,,,,,,,,,,,,,,0
65,BLG,110,,,,,,,,,,,,,,0
66,YWP,72,,,,,,,,,,,,,,0
67,BLG,175,,,,,,,,,,,,,,0
68,BLG,176,,,,,,,,,,,,,,0
69,YWP,76,,,,,,,,,,,,,,0
70,BLG,162,,,,,,,,,,,,,,0
71,BLG,132,,,,,,,,,,,,,,0
72,BLG,116,,,,,,,,,,,,,,0
73,BLG,97,,,,,,,,,,,,,,0
74,GDS,59,,,,,,,,,,,,,,0
75,BLG,102,,,,,,,,,,,,,,0
76,LMB,46,,,,,,,,,,,,,,0
77,YWP,81,,,,,,,,,,,,,,0
78,YWP,32,,,,,,,,,,,,,,0
79,YWP,40,,,,,,,,,,,,,,0
80,YWP,40,,,,,,,,,,,,,,0
81,YWP,40,,,,,,,,,,,,,,0
82,YWP,39,,,,,,,,,,,,,,0
83,YWP,36,,,,,,,,,,,,,,0
84,YWP,32,,,,,,,,,,,,,,0
85,YWP,44,,,,,,,,,,,,,,0
86,YWP,44,,,,,,,,,,,,,,0
87,YWP,30,,,,,,,,,,,,,,0
88,YWP,30,,,,,,,,,,,,,,0
89,YWP,32,,,,,,,,,,,,,,0
90,YWP,30,,,,,,,,,,,,,,0
91,GDS,37,,,,,,,,,,,,,,0
92,YWP,42,,,,,,,,,,,,,,0
93,YWP,45,,,,,,,,,,,,,,0
94,YWP,32,,,,,,,,,,,,,,0
95,YWP,32,,,,,,,,,,,,,,0
96,YWP,75,,,,,,,,,,,,,,0
97,YWP,75,,,,,,,,,,,,,,0
98,BLG,100,,,,,,,,,,,,,,0
99,BLG,148,,,,,,,,,,,,,,0
100,BLG,130,,,,,,,,,,,,,,0
101,YWP,42,,,,,,,,,,,,,,0
102,WSK,362,,,,,,,,,,,,,,0
103,BLG,125,,,,,,,,,,,,,,0
104,BLG,122,,,,,,,,,,,,,,0
105,BLG,122,,,,,,,,,,,,,,0
106,BCP,108,,,,,,,,,,,,,,0
107,BLG,112,,,,,,,,,,,,,,0
108,YWP,30,,,,,,,,,,,,,,0
109,YWP,35,,,,,,,,,,,,,,0
110,YWP,35,,,,,,,,,,,,,,0
111,YWP,55,,,,,,,,,,,,,,0
112,BLG,143,,,,,,,,,,,,,,0
113,YWP,55,,,,,,,,,,,,,,0
114,BLG,143,,,,,,,,,,,,,,0
115,BLG,132,,,,,,,,,,,,,,0
116,BLG,170,,,,,,,,,,,,,,0
117,WYP,38,,,,,,,,,,,,,,0
118,YWP,35,,,,,,,,,,,,,,0
119,YWP,45,,,,,,,,,,,,,,0
120,BLG,128,,,,,,,,,,,,,,0
121,BLG,110,,,,,,,,,,,,,,0
122,BLG,158,,,,,,,,,,,,,,0
123,BLG,180,,,,,,,,,,,,,,0
124,BLG,180,,,,,,,,,,,,,,0
125,BLG,170,,,,,,,,,,,,,,0
126,BLG,180,,,,,,,,,,,,,,0
127,YWP,72,,,,,,,,,,,,,,0
128,YWP,35,,,,,,,,,,,,,,0
129,BLG,65,,,,,,,,,,,,,,0
130,YWP,45,,,,,,,,,,,,,,0
131,YWP,77,,,,,,,,,,,,,,0
132,YWP,75,,,,,,,,,,,,,,0
133,YWP,76,,,,,,,,,,,,,,0
134,YWP,35,,,,,,,,,,,,,,0
135,BLG,175,,,,,,,,,,,,,,0
136,BLG,125,,,,,,,,,,,,,,0
137,BLG,145,,,,,,,,,,,,,,0
138,YWP,92,,,,,,,,,,,,,,0
139,YWP,87,,,,,,,,,,,,,,0
140,BLG,164,,,,,,,,,,,,,,0
141,YWP,85,,,,,,,,,,,,,,0
142,BLG,150,,,,,,,,,,,,,,0
143,YWP,175,,,,,,,,,,,,,,0
144,YWP,80,,,,,,,,,,,,,,0
145,YWP,80,,,,,,,,,,,,,,0
146,YWP,90,,,,,,,,,,,,,,0
147,YWP,92,,,,,,,,,,,,,,0
148,YWP,88,,,,,,,,,,,,,,0
149,YWP,115,,,,,,,,,,,,,,0
150,YWP,75,,,,,,,,,,,,,,0
151,YWP,85,,,,,,,,,,,,,,0
152,YWP,82,,,,,,,,,,,,,,0
153,YWP,40,,,,,,,,,,,,,,0
154,YWP,32,,,,,,,,,,,,,,0
155,YWP,35,,,,1,1,,,,,,,,,0
156,YWP,35,,,,1,,,,,,,,,,0
157,YWP,45,,,,1,,,,,,,,,,0
158,YWP,35,,,,1,,,,,,,,,,0
159,YWP,37,,,,,,,,,,,,,,0
158,BLG,160,,,,,,,,,,,,,,0
159,YWP,90,,,,,,,,,,,,,,0
