projectID,37,,,,,,,,,,,,,,,
lakeID,LV,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,
dataTimeSet,7/8/2019 23:00,,,,,,,,,,,,,,,
dateTimeSample,7/8/2019 23:40,,,,,,,,,,,,,,,
crew,"DS, MS, JC",,,,,,,,,,,,,,,
gear,BE,,,,,,,,,,,,,,,
distanceShocked,1.5,,,,,,,,,,,,,,,
effort,0.67,,,,,,,,,,,,,,,
effortUnits,electrofishing_hours,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,
dataRecorder,DS,,,,,,,,,,,,,,,
dataEnteredBy,MS,,,,,,,,,,,,,,,
metadataID,FishscapesSurvey.1.5mile.20180607,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,dietSampled
1,WLY,417,,,,,,,,,,,,,,0
2,WLY,293,,,,,,,,,,,,,,0
3,WLY,480,,,,,,,,,,,,,,0
4,SMB,310,,AF,,,,,,,,,,,,0
5,WLY,242,,,,,,,,,,,,,,0
6,WLY,424,,,,,,,,,,,,,,0
7,WSK,375,,,,,,,,,,,,,,0
8,WSK,515,,,,,,,,,,,,,,0
9,WLY,357,,,,,,,,,,,,,,0
10,WLY,285,,,,,,,,,,,,,,0
11,WLY,283,,,,,,,,,,,,,,0
12,WSK,310,,,,,,,,,,,,,,0
13,WLY,300,,,,,,,,,,,,,,0
14,BCP,222,,,,,,,,,,,,,,0
15,BCP,230,,,,,,,,,,,,,,0
16,WSK,365,,,,,,,,,,,,,,0
17,BLG,177,,,,,,,,,,,,,,0
18,WLY,450,,,,,,,,,,,,,,0
19,WLY,450,,,,,,,,,,,,,,0
20,WLY,373,,,,,,,,,,,,,,0
21,WLY,250,,,,,,,,,,,,,,0
22,WLY,291,,,,,,,,,,,,,,0
23,WSK,345,,,,,,,,,,,,,,0
24,BLG,170,,,,,,,,,,,,,,0
25,BFN,551,,,,,,,,,,,,,,0
26,WLY,375,,,,,,,,,,,,,,0
27,WLY,295,,,,,,,,,,,,,,0
28,WLY,355,,,,,,,,,,,,,,0
29,YWP,228,,,,,,,,,,,,,,0
30,WLY,286,,,,,,,,,,,,,,0
31,WLY,311,,,,,,,,,,,,,,0
32,WSK,311,,,,,,,,,,,,,,0
33,WLY,325,,,,,,,,,,,,,,0
34,LMB,367,,AF,,,,1,1,,,,,,,0
35,WSK,395,,,,,,,,,,,,,,0
36,WLY,365,,,,,,,,,,,,,,0
37,WSK,370,,,,,,,,,,,,,,0
38,WSK,225,,,,,,,,,,,,,,0
39,WLY,285,,,,,,,,,,,,,,0
40,WSK,382,,,,,,,,,,,,,,0
41,WLY,375,,,,,,,,,,,,,,0
42,WSK,422,,,,,,,,,,,,,,0
43,WLY,222,,,,,,,,,,,,,,0
44,LMB,306,,,,,,,,,,,,,,0
45,WLY,372,,,,,,,,,,,,,,0
46,WLY,316,,,,,,,,,,,,,,0
47,WLY,373,,,,,,,,,,,,,,0
48,WLY,206,,,,,,,,,,,,,,0
