projectID,37,,,,,,,,,,,,,,,,
lakeID,LV,,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,,
dataTimeSet,7/9/2019 0:00,,,,,,,,,,,,,,,,
dateTimeSample,7/9/2019 0:25,,,,,,,,,,,,,,,,
crew,"DS,MS,JC",,,,,,,,,,,,,,,,
gear,BE,,,,,,,,,,,,,,,,
distanceShocked,0.5,,,,,,,,,,,,,,,,
effort,0.29,,,,,,,,,,,,,,,,
effortUnits,electrofishing_hours,,,,,,,,,,,,,,,,
comments,Break from 2202 to 2210 for musky,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,,
dataRecorder,DS,,,,,,,,,,,,,,,,
dataEnteredBy,DS,,,,,,,,,,,,,,,,
metadataID,FishscapesSurvey0.5mile.20180606,,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,MSK,943,,,,,,,,,,,,,,,0
2,BLG,162,,,,,,,,,,,,,,,0
3,LMB,295,,AF,,,,,,,,,,,,,0
4,WSK,371,,,,,,,,,,,,,,,0
5,WLY,413,,,,,,,,,,,,,,,0
6,WLY,381,,,,,,,,,,,,,,,0
7,WSK,346,,,,,,,,,,,,,,,0
8,WSK,497,,,,,,,,,,,,,,,0
9,BCP,195,,,,,,,,,,,,,,,0
10,RKB,190,,,,,,,,,,,,,,,0
11,WLY,168,,,,,,,,,,,,,,,0
12,WSK,356,,,,,,,,,,,,,,,0
13,BLG,169,,,,,,,,,,,,,,,0
14,BLG,162,,,,,,,,,,,,,,,0
15,YWP,151,,,,,,,,,,,,,,,0
16,YWP,135,,,,,,,,,,,,,,,0
17,RKB,125,,,,,,,,,,,,,,,0
18,BLG,168,,,,,,,,,,,,,,,0
19,LMB,291,,AF,,,,,,,,,,,,,0
20,WLY,211,,,,,,,,,,,,,,,0
21,WLY,376,,,,,,,,,,,,,,,0
22,YWP,184,,,,,,,,,,,,,,,0
23,RKB,126,,,,,,,,,,,,,,,0
