projectID,37,,,,,,,,,,,,,,,,
lakeID,LV,,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,,
dataTimeSet,8/12/2019 16:00,,,,,,,,,,,,,,,,
dateTimeSample,8/12/2019 19:50,,,,,,,,,,,,,,,,
crew,"AMK, ALK, MS",,,,,,,,,,,,,,,,
gear,AN,,,,,,,,,,,,,,,,
distanceShocked,,,,,,,,,,,,,,,,,
effort,3.83,,,,,,,,,,,,,,,,
effortUnits,angler_hours,,,,,,,,,,,,,,,,
comments,70 mins not fishing due to boat counts and a dinner break factored into the end time,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,,
dataRecorder,AMK,,,,,,,,,,,,,,,,
dataEnteredBy,CD,,,,,,,,,,,,,,,,
metadataID,Fishscapes.Angling.20180625,,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,SMB,160,,AF,,,,,,,,,,,ALK,,0
2,SMB,272,,AF,,,,,,,,,,,ALK,,0
3,SMB,258,,AF,,,,,,,,,,,ALK,,0
4,SMB,210,,AF,,,,,,,,,,,AMK,,0
5,SMB,354,,AF,,,,,,,,,,,ALK,,0
6,SMB,215,,AF,,,,,,,,,,,AMK,,0
7,SMB,256,,AF,,,,,,,,,,,ALK,,0
8,NFC,,,,,,,,,,,,,,MS,,0
