projectID,37,,,,,,,,,,,,,,,
lakeID,PK,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,
dataTimeSet,6/1/2019 14:30,,,,,,,,,,,,,,,
dateTimeSample,6/1/2019 16:20,,,,,,,,,,,,,,,
crew,"JP,AS",,,,,,,,,,,,,,,
gear,AN,,,,,,,,,,,,,,,
distanceShocked,,,,,,,,,,,,,,,,
effort,1.83,,,,,,,,,,,,,,,
effortUnits,angler_hours,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,
dataRecorder,"JP,AS",,,,,,,,,,,,,,,
dataEnteredBy,JP,,,,,,,,,,,,,,,
metadataID,Fishscapes.Angling.20180625,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,dietSampled
1,NFC,,,,,,,,,,,,,,AS,0
2,LMB,258,,AF,,,,,,,,,,,JP,0
3,LMB,311,,AF,,,,,,,,,,,JP,0
