projectID,37,,,,,,,,,,,,,,,,
lakeID,PK,,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,,
dataTimeSet,6/7/2019 10:19,,,,,,,,,,,,,,,,
dateTimeSample,6/7/2019 12:45,,,,,,,,,,,,,,,,
crew,"ALK, CI, JP",,,,,,,,,,,,,,,,
gear,AN,,,,,,,,,,,,,,,,
distanceShocked,,,,,,,,,,,,,,,,,
effort,2.43,,,,,,,,,,,,,,,,
effortUnits,angler_hours,,,,,,,,,,,,,,,,
comments,CPUE has to be no for this sample,,,,,,,,,,,,,,,,
UseCPUE,no,,,,,,,,,,,,,,,,
dataRecorder,"ALK, CI, JP",,,,,,,,,,,,,,,,
dataEnteredBy,MS,,,,,,,,,,,,,,,,
metadataID,Fishscapes.Angling.20180625,,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,LMB,352,,AF,,,,,,,,,,,ALK,,0
2,LMB,342,,AF,,,,,,,,,,,ALK,,0
3,LMB,338,,AF,,,,,,,,,,,CI,,0
4,LMB,326,,AF,,,,,,,,,,,CI,,0
5,LMB,280,,AF,,,,,,,,,,,CI,,0
6,LMB,230,,AF,,,,,,,,,,,CI,,0
7,LMB,282,,AF,,,,,,,,,,,JP,,0
