projectID,37,,,,,,,,,,,,,,,,
lakeID,PK,,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,,
dataTimeSet,7/26/2019 0:55,,,,,,,,,,,,,,,,
dateTimeSample,7/26/2019 1:10,,,,,,,,,,,,,,,,
crew,"AL, CD, CJ, AC",,,,,,,,,,,,,,,,
gear,BE,,,,,,,,,,,,,,,,
distanceShocked,0.5,,,,,,,,,,,,,,,,
effort,0.25,,,,,,,,,,,,,,,,
effortUnits,electrofishing_hours,,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,,
dataRecorder,AC,,,,,,,,,,,,,,,,
dataEnteredBy,FF,,,,,,,,,,,,,,,,
metadataID,FishscapesSurvey0.5mile.20180606,,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,BLG,130,,,,,,,,,,,,,,,0
2,YWP,165,,,,,,,,,,,,,,,0
3,PKS,155,,,,,,,,,,,,,,,0
4,BLG,105,,,,,,,,,,,,,,,0
5,minnow,86,,,,,,,,,,,,,,,0
6,YWP,46,,,,,,,,,,,,,,,0
7,BLG,188,,,,,,,,,,,,,,,0
8,BLG,123,,,,,,,,,,,,,,,0
9,BLG,136,,,,,,,,,,,,,,,0
10,BLG,130,,,,,,,,,,,,,,,0
11,YWP,160,,,,,,,,,,,,,,,0
12,YWP,48,,,,,,,,,,,,,,,0
13,BLG,136,,,,,,,,,,,,,,,0
14,BLG,132,,,,,,,,,,,,,,,0
15,YWP,48,,,,,,,,,,,,,,,0
16,LMB,240,,AF,,,,,,,,,,,,,0
17,BLG,160,,,,,,,,,,,,,,,0
18,BLG,142,,,,,,,,,,,,,,,0
19,BLG,140,,,,,,,,,,,,,,,0
20,BLG,121,,,,,,,,,,,,,,,0
21,BLG,146,,,,,,,,,,,,,,,0
22,BLG,126,,,,,,,,,,,,,,,0
23,WSK,326,,,,,,,,,,,,,,,0
24,CMM,89,,,,,,,,,,,,,,,0
25,GDS,147,,,,,,,,,,,,,,,0
26,BLG,136,,,,,,,,,,,,,,,0
27,BLG,155,,,,,,,,,,,,,,,0
28,YWP,44,,,,,,,,,,,,,,,0
29,GDS,86,,,,,,,,,,,,,,,0
30,BLG,96,,,,,,,,,,,,,,,0
31,BLG,159,,,,,,,,,,,,,,,0
32,BLG,160,,,,,,,,,,,,,,,0
33,BLG,146,,,,,,,,,,,,,,,0
34,BLG,137,,,,,,,,,,,,,,,0
35,BLG,121,,,,,,,,,,,,,,,0
36,BLG,90,,,,,,,,,,,,,,,0
37,BLG,112,,,,,,,,,,,,,,,0
38,YWP,49,,,,,,,,,,,,,,,0
39,CMM,72,,,,,,,,,,,,,,,0
40,BLG,140,,,,,,,,,,,,,,,0
41,BLG,151,,,,,,,,,,,,,,,0
42,CMM,94,,,,,,,,,,,,,,,0
43,BLG,135,,,,,,,,,,,,,,,0
44,BLG,139,,,,,,,,,,,,,,,0
45,WSK,321,,,,,,,,,,,,,,,0
46,WSK,295,,,,,,,,,,,,,,,0
47,YWP,205,,,,,,,,,,,,,,,0
48,BLG,19,,,,,,,,,,,,,,,0
49,WLY,260,,,,,,,,,,,,,,,0
50,YWP,45,,,,,,,,,,,,,,,0
51,YWP,171,,,,,,,,,,,,,,,0
52,YWP,104,,,,,,,,,,,,,,,0
53,YWP,46,,,,,,,,,,,,,,,0
54,WSK,355,,,,,,,,,,,,,,,0
55,BLG,150,,,,,,,,,,,,,,,0
56,BLG,186,,,,,,,,,,,,,,,0
57,BLG,170,,,,,,,,,,,,,,,0
58,WSK,145,,,,,,,,,,,,,,,0
59,BLG,136,,,,,,,,,,,,,,,0
60,YWP,35,,,,,,,,,,,,,,,0
