projectID,37,,,,,,,,,,,,,,,,
lakeID,PN,,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,,
dataTimeSet,7/8/2019 0:20,,,,,,,,,,,,,,,,
dateTimeSample,7/8/2019 0:35,,,,,,,,,,,,,,,,
crew,"DS,MS,JC",,,,,,,,,,,,,,,,
gear,BE,,,,,,,,,,,,,,,,
distanceShocked,0.5,,,,,,,,,,,,,,,,
effort,0.25,,,,,,,,,,,,,,,,
effortUnits,electrofishing_hours,,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,,
dataRecorder,DS,,,,,,,,,,,,,,,,
dataEnteredBy,DS,,,,,,,,,,,,,,,,
metadataID,FishscapesSurvey0.5mile.20180606,,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,LMB,347,,,,,,,,,,,,,,,0
2,WSK,491,,,,,,,,,,,,,,,0
3,BLG,164,,,,,,,,,,,,,,,0
4,BLG,170,,,,,,,,,,,,,,,0
5,BLG,170,,,,,,,,,,,,,,,0
6,BLG,155,,,,,,,,,,,,,,,0
7,BLG,162,,,,,,,,,,,,,,,0
8,BLG,160,,,,,,,,,,,,,,,0
9,BHD,200,,,,,,,,,,,,,,,0
10,BLG,113,,,,,,,,,,,,,,,0
11,BLG,101,,,,,,,,,,,,,,,0
12,BLG,142,,,,,,,,,,,,,,,0
13,minnow,54,,,,,,,,,,,,,,,0
14,YWP,116,,,,,,,,,,,,,,,0
15,BLG,87,,,,,,,,,,,,,,,0
16,YWP,70,,,,,,,,,,,,,,,0
17,YWP,96,,,,,,,,,,,,,,,0
18,YWP,81,,,,,,,,,,,,,,,0
19,YWP,79,,,,,,,,,,,,,,,0
20,minnow,54,,,,,,,,,,,,,,,0
21,YWP,75,,,,,,,,,,,,,,,0
22,YWP,79,,,,,,,,,,,,,,,0
23,minnow,56,,,,,,,,,,,,,,,0
24,GDS,67,,,,,,,,,,,,,,,0
25,GDS,62,,,,,,,,,,,,,,,0
26,minnow,58,,,,,,,,,,,,,,,0
27,minnow,64,,,,,,,,,,,,,,,0
28,minnow,57,,,,,,,,,,,,,,,0
29,minnow,53,,,,,,,,,,,,,,,0
30,YWP,71,,,,,,,,,,,,,,,0
31,LMB,24,,,,,,,,,,,,,,,0
32,BHD,229,,,,,,,,,,,,,,,0
33,BHD,256,,,,,,,,,,,,,,,0
34,BHD,213,,,,,,,,,,,,,,,0
35,BLG,175,,,,,,,,,,,,,,,0
36,BLG,163,,,,,,,,,,,,,,,0
37,PKS,154,,,,,,,,,,,,,,,0
38,BLG,182,,,,,,,,,,,,,,,0
39,BLG,156,,,,,,,,,,,,,,,0
40,BLG,155,,,,,,,,,,,,,,,0
41,BLG,96,,,,,,,,,,,,,,,0
42,BLG,149,,,,,,,,,,,,,,,0
43,BLG,96,,,,,,,,,,,,,,,0
44,BLG,157,,,,,,,,,,,,,,,0
45,BLG,97,,,,,,,,,,,,,,,0
46,BHD,204,,,,,,,,,,,,,,,0
47,BLG,166,,,,,,,,,,,,,,,0
48,BLG,162,,,,,,,,,,,,,,,0
49,BLG,177,,,,,,,,,,,,,,,0
50,YWP,126,,,,,,,,,,,,,,,0
51,minnow,86,,,,,,,,,,,,,,,0
52,YWP,76,,,,,,,,,,,,,,,0
53,minnow,55,,,,,,,,,,,,,,,0
54,minnow,29,,,,,,,,,,,,,,,0
55,YWP,92,,,,,,,,,,,,,,,0
56,minnow,48,,,,,,,,,,,,,,,0
57,minnow,61,,,,,,,,,,,,,,,0
58,YWP,78,,,,,,,,,,,,,,,0
59,minnow,55,,,,,,,,,,,,,,,0
60,minnow,54,,,,,,,,,,,,,,,0
61,minnow,53,,,,,,,,,,,,,,,0
62,minnow,44,,,,,,,,,,,,,,,0
63,minnow,53,,,,,,,,,,,,,,,0
64,LMB,27,,,,,,,,,,,,,,,0
65,LMB,276,,AF,,,,,,,,,,,,,0
66,BHD,254,,,,,,,,,,,,,,,0
67,BLG,188,,,,,,,,,,,,,,,0
68,BLG,161,,,,,,,,,,,,,,,0
69,BLG,163,,,,,,,,,,,,,,,0
70,BLG,156,,,,,,,,,,,,,,,0
71,BLG,174,,,,,,,,,,,,,,,0
72,BLG,157,,,,,,,,,,,,,,,0
73,BLG,167,,,,,,,,,,,,,,,0
74,YWP,84,,,,,,,,,,,,,,,0
75,minnow,56,,,,,,,,,,,,,,,0
76,minnow,63,,,,,,,,,,,,,,,0
77,minnow,51,,,,,,,,,,,,,,,0
78,YWP,84,,,,,,,,,,,,,,,0
79,minnow,68,,,,,,,,,,,,,,,0
80,minnow,27,,,,,,,,,,,,,,,0
81,LMB,25,,,,,,,,,,,,,,,0
82,minnow,25,,,,,,,,,,,,,,,0
83,BHD,205,,,,,,,,,,,,,,,0
84,BHD,216,,,,,,,,,,,,,,,0
85,BCP,264,,,,,,,,,,,,,,,0
86,BLG,144,,,,,,,,,,,,,,,0
87,BLG,173,,,,,,,,,,,,,,,0
88,BLG,123,,,,,,,,,,,,,,,0
89,BLG,158,,,,,,,,,,,,,,,0
90,BLG,117,,,,,,,,,,,,,,,0
91,minnow,62,,,,,,,,,,,,,,,0
92,YWP,34,,,,,,,,,,,,,,,0
93,BLG,155,,,,,,,,,,,,,,,0
94,BLG,167,,,,,,,,,,,,,,,0
95,YWP,77,,,,,,,,,,,,,,,0
96,minnow,52,,,,,,,,,,,,,,,0
97,BLG,133,,,,,,,,,,,,,,,0
98,BLG,162,,,,,,,,,,,,,,,0
99,BHD,247,,,,,,,,,,,,,,,0
100,BLG,163,,,,,,,,,,,,,,,0
