projectID,37,,,,,,,,,,,,,,,
lakeID,SA,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,
dataTimeSet,7/29/2019 10:55,,,,,,,,,,,,,,,
dateTimeSample,7/29/2019 11:45,,,,,,,,,,,,,,,
crew,"DS,AL,MS",,,,,,,,,,,,,,,
gear,BE,,,,,,,,,,,,,,,
distanceShocked,1.5,,,,,,,,,,,,,,,
effort,0.83,,,,,,,,,,,,,,,
effortUnits,electrofishing_hours,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,
dataRecorder,MS,,,,,,,,,,,,,,,
dataEnteredBy,AL,,,,,,,,,,,,,,,
metadataID,FishscapesSurvey.0.5mile.20180606,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,dietSampled
1,BLG,188,,,,,,,,,,,,,,0
2,BLG,170,,,,,,,,,,,,,,0
3,BLG,179,,,,,,,,,,,,,,0
4,BLG,169,,,,,,,,,,,,,,0
5,SMB,213,,1,,,,,,,,,,,,0
6,BLG,176,,,,,,,,,,,,,,0
7,BLG,182,,,,,,,,,,,,,,0
8,BLG,186,,,,,,,,,,,,,,0
9,BLG,204,,,,,,,,,,,,,,0
10,SMB,210,,1,,,,,,,,,,,,0
11,BLG,191,,,,,,,,,,,,,,0
12,SMB,210,,1,,,,,,,,,,,,0
13,BLG,184,,,,,,,,,,,,,,0
14,BLG,215,,,,,,,,,,,,,,0
15,LMB,291,,1,,,,,,,,,,,,0
16,LMB,376,,1,,,,,,,,,,,,0
17,LMB,314,,1,,,,,,,,,,,,0
18,LMB,249,,1,,,,,,,,,,,,0
19,SMB,244,,1,,,,,,,,,,,,0
20,SMB,216,,1,,,,,,,,,,,,0
