projectID,37,,,,,,,,,,,,,,,
lakeID,SM,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,
dataTimeSet,6/15/2019 13:42,,,,,,,,,,,,,,,
dateTimeSample,6/15/2019 16:10,,,,,,,,,,,,,,,
crew,"ALK, JC",,,,,,,,,,,,,,,
gear,AN,,,,,,,,,,,,,,,
distanceShocked,,,,,,,,,,,,,,,,
effort,2.47,,,,,,,,,,,,,,,
effortUnits,angler_hours,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,
dataRecorder,JC,,,,,,,,,,,,,,,
dataEnteredBy,AL,,,,,,,,,,,,,,,
metadataID,Fishscapes.Angling.20180625,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,dietSampled
1,SMB,271,,AF,,,,,,,,,,,ALK,0
2,SMB,348,,AF,,,,,,,,,,,ALK,0
3,SMB,445,,AF,,,,,,,,,,,ALK,0
4,NFC,,,,,,,,,,,,,,JC,0
