projectID,37,,,,,,,,,,,,,,,,
lakeID,UG,,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,,
dataTimeSet,7/14/2019 19:15,,,,,,,,,,,,,,,,
dateTimeSample,7/14/2019 20:05,,,,,,,,,,,,,,,,
crew,"AL, ALK",,,,,,,,,,,,,,,,
gear,AN,,,,,,,,,,,,,,,,
distanceShocked,,,,,,,,,,,,,,,,,
effort,0.83,,,,,,,,,,,,,,,,
effortUnits,angler_hours,,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,,
dataRecorder,AL,,,,,,,,,,,,,,,,
dataEnteredBy,FF,,,,,,,,,,,,,,,,
metadataID,Fishscapes.Angling.20180625,,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,LMB,320,,,AF,,,,,,,,,,AL,,0
2,LMB,319,,AF,,,,,,,,,,,ALK,,0
3,LMB,215,,AF,,,,,,,,,,,ALK,,0
4,LMB,300,,,AF,,,,,,,,,,AL,,0
5,LMB,244,,AF,,,,,,,,,,,ALK,,0
