projectID,37,,,,,,,,,,,,,,,
lakeID,WB,,,,,,,,,,,,,,,
siteName,wholeShoreline,,,,,,,,,,,,,,,
dataTimeSet,7/21/2019 23:10,,,,,,,,,,,,,,,
dateTimeSample,7/21/2019 23:55,,,,,,,,,,,,,,,
crew,"AL, FF, CD",,,,,,,,,,,,,,,
gear,BE,,,,,,,,,,,,,,,
distanceShocked,1.5,,,,,,,,,,,,,,,
effort,0.75,,,,,,,,,,,,,,,
effortUnits,electrofishing_hours,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,
dataRecorder,AL,,,,,,,,,,,,,,,
dataEnteredBy,AL,,,,,,,,,,,,,,,
metadataID,FishscapesSurvey.hotBassLap.20180607,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,
sampleGroup,2019_fishscapes_survey,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,dietSampled
1,BLG,159,,,,,,,,,,,,,,0
2,BLG,179,,,,,,,,,,,,,,0
3,BLG,165,,,,,,,,,,,,,,0
4,BLG,175,,,,,,,,,,,,,,0
5,BLG,165,,,,,,,,,,,,,,0
6,BLG,170,,,,,,,,,,,,,,0
7,BLG,145,,,,,,,,,,,,,,0
8,BLG,175,,,,,,,,,,,,,,0
9,BLG,169,,,,,,,,,,,,,,0
10,BLG,242,,,,,,,,,,,,,,0
11,BLG,165,,,,,,,,,,,,,,0
12,BLG,166,,,,,,,,,,,,,,0
13,BLG,165,,,,,,,,,,,,,,0
14,BLG,170,,,,,,,,,,,,,,0
15,BLG,170,,,,,,,,,,,,,,0
16,BLG,169,,,,,,,,,,,,,,0
17,BLG,200,,,,,,,,,,,,,,0
18,BLG,160,,,,,,,,,,,,,,0
19,BLG,165,,,,,,,,,,,,,,0
20,LMB,280,,,1,,,,,,,,,,,0
21,BLG,165,,,,,,,,,,,,,,0
22,BLG,185,,,,,,,,,,,,,,0
23,BLG,166,,,,,,,,,,,,,,0
24,BLG,170,,,,,,,,,,,,,,0
25,WLY,310,,,,,,,,,,,,,,0
26,LMB,225,,1,,,,,,,,,,,,0
27,LMB,280,,1,,,,,,,,,,,,0
28,BLG,170,,,,,,,,,,,,,,0
29,LMB,320,,1,,,,,,,,,,,,0
30,SMB,225,,1,,,,,,,,,,,,0
31,PKS,160,,,,,,,,,,,,,,0
32,BLG,170,,,,,,,,,,,,,,0
33,BLG,155,,,,,,,,,,,,,,0
34,LMB,440,,1,,,,,,,,,,,,0
35,PKS,170,,,,,,,,,,,,,,0
36,PKS,180,,,,,,,,,,,,,,0
37,BLG,170,,,,,,,,,,,,,,0
38,BLG,165,,,,,,,,,,,,,,0
39,BLG,175,,,,,,,,,,,,,,0
40,PKS,165,,,,,,,,,,,,,,0
41,BLG,170,,,,,,,,,,,,,,0
42,BLG,165,,,,,,,,,,,,,,0
43,BLG,160,,,,,,,,,,,,,,0
44,LMB,230,,1,,,,,,,,,,,,0
45,PKS,155,,,,,,,,,,,,,,0
46,BLG,154,,,,,,,,,,,,,,0
47,BLG,154,,,,,,,,,,,,,,0
48,YWP,220,,,,,,,,,,,,,,0
49,LMB,280,,1,,,,,,,,,,,,0
50,LMB,200,,1,,,,,,,,,,,,0
51,BLG,170,,,,,,,,,,,,,,0
52,LMB,230,,1,,,,,,,,,,,,0
53,BLG,165,,,,,,,,,,,,,,0
54,BLG,161,,,,,,,,,,,,,,0
55,BLG,165,,,,,,,,,,,,,,0
56,LMB,170,,1,,,,,,,,,,,,0
57,BLG,165,,,,,,,,,,,,,,0
58,LMB,275,,1,,,,,,,,,,,,0
