"projectID","sampleID","fishID","fishNum","species","fishLength","standardLength","fishWeight","caughtBy","jumperDescription","useTagMarkRecap","tagID","oldTag","tagApply","tagRecapture","tagApplyType","tagRecaptureType","clipApply","clipRecapture","sex","mortality","removed","otolithSample","tissueSampled","dietSampled","stomachRemoved","gillArchRemoved","pectoralFinRemoved","gonadRemoved","leftEyeRemoved","finClipCollected","photo","gonadWeight","rectalTemp","gonadSqueze","sexualStage_MaierScale","gonadWeight.1","gpsWaypoint","finClipBox","spineSample","scaleSample","comments","entryFile"
3,"FE_MT.006_20190519_1215_MT_MinnowTrapSurvey.20120228","FE_MT.006_20190519_1215_MT_MinnowTrapSurvey.20120228_1",1,"brook_stickleback<ca>",60,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ","LongLake2019_FE_2019-05-19_1215.csv"
3,"FE_MT.006_20190519_1215_MT_MinnowTrapSurvey.20120228","FE_MT.006_20190519_1215_MT_MinnowTrapSurvey.20120228_2",2,"brook_stickleback<ca>",56,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ","LongLake2019_FE_2019-05-19_1215.csv"
3,"FE_MT.010_20190519_1215_MT_MinnowTrapSurvey.20120228","FE_MT.010_20190519_1215_MT_MinnowTrapSurvey.20120228_1",1,"central_mudminnow",60,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ","LongLake2019_FE_2019-05-19_1215.csv"
3,"FE_MT.011_20190519_1215_MT_MinnowTrapSurvey.20120228","FE_MT.011_20190519_1215_MT_MinnowTrapSurvey.20120228_1",1,"brook_stickleback<ca>",58,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ","LongLake2019_FE_2019-05-19_1215.csv"
3,"FE_MT.018_20190521_1400_MT_MinnowTrapSurvey.20120228","FE_MT.018_20190521_1400_MT_MinnowTrapSurvey.20120228_1",1,"largemouth_bass",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ","LongLake2019_FE_2019-05-21_1400.csv"
3,"WL_MT.020_20190623_1330_MT_MinnowTrapSurvey.20120228","WL_MT.020_20190623_1330_MT_MinnowTrapSurvey.20120228_1",1,"largemouth_bass",86,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ","LongLake2019_FE_2019-06-23_1330.csv"
3,"WL_MT.020_20190623_1330_MT_MinnowTrapSurvey.20120228","WL_MT.020_20190623_1330_MT_MinnowTrapSurvey.20120228_2",2,"largemouth_bass",69,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ","LongLake2019_FE_2019-06-23_1330.csv"
3,"FE_MT.012_20190715_1730_MT_MinnowTrapSurvey.20120228","FE_MT.012_20190715_1730_MT_MinnowTrapSurvey.20120228_1",1,"largemouth_bass",42,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ","LongLake2019_FE_2019-07-15_1730.csv"
3,"FE_MT.018_20190715_1730_MT_MinnowTrapSurvey.20120228","FE_MT.018_20190715_1730_MT_MinnowTrapSurvey.20120228_1",1,"largemouth_bass",41,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ","LongLake2019_FE_2019-07-15_1730.csv"
3,"FE_MT.002_20190814_1400_MT_MinnowTrapSurvey.20120228","FE_MT.002_20190814_1400_MT_MinnowTrapSurvey.20120228_1",1,"largemouth_bass",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ","LongLake2019_FE_2019-08-14_1400.csv"
3,"FE_MT.008_20190814_1400_MT_MinnowTrapSurvey.20120228","FE_MT.008_20190814_1400_MT_MinnowTrapSurvey.20120228_1",1,"largemouth_bass",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ","LongLake2019_FE_2019-08-14_1400.csv"
3,"FE_MT.008_20190814_1400_MT_MinnowTrapSurvey.20120228","FE_MT.008_20190814_1400_MT_MinnowTrapSurvey.20120228_2",2,"largemouth_bass",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ","LongLake2019_FE_2019-08-14_1400.csv"
3,"FE_MT.008_20190814_1400_MT_MinnowTrapSurvey.20120228","FE_MT.008_20190814_1400_MT_MinnowTrapSurvey.20120228_3",3,"largemouth_bass",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ","LongLake2019_FE_2019-08-14_1400.csv"
3,"FE_MT.009_20190814_1400_MT_MinnowTrapSurvey.20120228","FE_MT.009_20190814_1400_MT_MinnowTrapSurvey.20120228_1",1,"largemouth_bass",63,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ","LongLake2019_FE_2019-08-14_1400.csv"
3,"FE_MT.009_20190814_1400_MT_MinnowTrapSurvey.20120228","FE_MT.009_20190814_1400_MT_MinnowTrapSurvey.20120228_2",2,"largemouth_bass",62,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ","LongLake2019_FE_2019-08-14_1400.csv"
3,"FE_MT.009_20190814_1400_MT_MinnowTrapSurvey.20120228","FE_MT.009_20190814_1400_MT_MinnowTrapSurvey.20120228_3",3,"largemouth_bass",52,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ","LongLake2019_FE_2019-08-14_1400.csv"
3,"FE_MT.009_20190814_1400_MT_MinnowTrapSurvey.20120228","FE_MT.009_20190814_1400_MT_MinnowTrapSurvey.20120228_4",4,"largemouth_bass",46,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ","LongLake2019_FE_2019-08-14_1400.csv"
3,"FE_MT.013_20190814_1400_MT_MinnowTrapSurvey.20120228","FE_MT.013_20190814_1400_MT_MinnowTrapSurvey.20120228_1",1,"largemouth_bass",47,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ","LongLake2019_FE_2019-08-14_1400.csv"
3,"FE_MT.013_20190814_1400_MT_MinnowTrapSurvey.20120228","FE_MT.013_20190814_1400_MT_MinnowTrapSurvey.20120228_2",2,"largemouth_bass",55,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ","LongLake2019_FE_2019-08-14_1400.csv"
