siteID,sampleID,dayOfYear,dateSet,dateSample,dateTimeSet,dateTimeSample,crew,gear,sampleGroup,effort,effortUnits,distanceShocked,useCPUE,useSampleMarkRecap,comments,metadataID,entryFile
FE_WholeShoreline,FE_WholeShoreline_20190515_1850_AN_MarkRecap.20120228,135,5/15/2019,5/15/2019,5/15/2019 16:50,5/15/2019 18:50,RN AR,AN,FE2019_markrecap,2,angler_hours,0,yes,yes,NA,MarkRecap.20120228,LongLake2019_FE_2019-05-15_1850.csv
FE_WholeShoreline,FE_WholeShoreline_20190606_0945_AN_MarkRecap.20120228,157,6/6/2019,6/6/2019,6/6/2019 8:45,6/6/2019 9:45,CTS SEJ,AN,FE2019_markrecap,1,angler_hours,0,yes,yes,NA,MarkRecap.20120228,LongLake2019_FE_2019-06-06_0945.csv
FE_WholeShoreline,FE_WholeShoreline_20190606_1747_AN_MarkRecap.20120228,157,6/6/2019,6/6/2019,6/6/2019 15:40,6/6/2019 17:47,AA RN CT,AN,FE2019_markrecap,2.12,angler_hours,0,yes,yes,NA,MarkRecap.20120228,LongLake2019_FE_2019-06-06_1747.csv
FE_WholeShoreline,FE_WholeShoreline_20190627_1230_AN_MarkRecap.20120228,178,6/27/2019,6/27/2019,6/27/2019 11:00,6/27/2019 12:30,SEJ FEJ ANJ SNJ,AN,FE2019_markrecap,1.5,angler_hours,0,yes,yes,NA,MarkRecap.20120228,LongLake2019_FE_2019-06-27_1230.csv
FE_WholeShoreline,FE_WholeShoreline_20190701_1950_AN_MarkRecap.20120228,182,7/1/2019,7/1/2019,7/1/2019 17:50,7/1/2019 19:50,AA RN,AN,FE2019_markrecap,2,angler_hours,0,yes,yes,NA,MarkRecap.20120228,LongLake2019_FE_2019-07-01_1950.csv
FE_WholeShoreline,FE_WholeShoreline_20190801_1100_AN_MarkRecap.20120228,213,8/1/2019,8/1/2019,8/1/2019 9:00,8/1/2019 11:00,AA RN GM,AN,FE2019_markrecap,2,angler_hours,0,yes,yes,NA,MarkRecap.20120228,LongLake2019_FE_2019-08-01_1100.csv
FE_WholeShoreline,FE_WholeShoreline_20190801_2008_AN_MarkRecap.20120228,213,8/1/2019,8/1/2019,8/1/2019 17:20,8/1/2019 20:08,AA RN CM,AN,FE2019_markrecap,2.8,angler_hours,0,yes,yes,NA,MarkRecap.20120228,LongLake2019_FE_2019-08-01_2008.csv
FE_WholeShoreline,FE_WholeShoreline_20190814_1830_AN_MarkRecap.20120228,226,8/14/2019,8/14/2019,8/14/2019 16:30,8/14/2019 18:30,CM RN,AN,FE2019_markrecap,2,angler_hours,0,yes,yes,NA,MarkRecap.20120228,LongLake2019_FE_2019-08-14_1830.csv
FE_WholeShoreline,FE_WholeShoreline_20190817_1100_AN_MarkRecap.20120228,229,8/17/2019,8/17/2019,8/17/2019 9:00,8/17/2019 11:00,"CM, RN",AN,FE2019_markrecap,2,angler_hours,0,yes,yes,NA,MarkRecap.20120228,LongLake2019_FE_2019-08-17_1100.csv
WL_WholeShoreline,WL_WholeShoreline_20190515_1015_AN_MarkRecap.20120228,135,5/15/2019,5/15/2019,5/15/2019 7:50,5/15/2019 10:15,RN AR,AN,WL2019_markrecap,2.42,angler_hours,0,yes,yes,NA,MarkRecap.20120228,LongLake2019_WL_2019-05-15_1015.csv
WL_WholeShoreline,WL_WholeShoreline_20190516_1845_AN_MarkRecap.20120228,136,5/16/2019,5/16/2019,5/16/2019 16:45,5/16/2019 18:45,RN AR,AN,WL2019_markrecap,2,angler_hours,0,yes,yes,NA,MarkRecap.20120228,LongLake2019_WL_2019-05-16_1845.csv
WL_WholeShoreline,WL_WholeShoreline_20190605_1730_AN_MarkRecap.20120228,156,6/5/2019,6/5/2019,6/5/2019 16:00,6/5/2019 17:30,AA SJ,AN,WL2019_markrecap,1.5,angler_hours,0,yes,yes,NA,MarkRecap.20120228,LongLake2019_WL_2019-06-05_1730.csv
WL_WholeShoreline,WL_WholeShoreline_20190606_1040_AN_MarkRecap.20120228,157,6/6/2019,6/6/2019,6/6/2019 8:40,6/6/2019 10:40,RN AA,AN,WL2019_markrecap,2,angler_hours,0,yes,yes,NA,MarkRecap.20120228,LongLake2019_WL_2019-06-06_1040.csv
WL_WholeShoreline,WL_WholeShoreline_20190626_1100_AN_MarkRecap.20120228,177,6/26/2019,6/26/2019,6/26/2019 10:00,6/26/2019 11:00,SEJ FEJ ANJ SNJ,AN,WL2019_markrecap,1,angler_hours,0,yes,yes,NA,MarkRecap.20120228,LongLake2019_WL_2019-06-26_1100.csv
WL_WholeShoreline,WL_WholeShoreline_20190628_2036_AN_MarkRecap.20120228,179,6/28/2019,6/28/2019,6/28/2019 17:00,6/28/2019 20:36,AA RN,AN,WL2019_markrecap,3.6,angler_hours,0,yes,yes,NA,MarkRecap.20120228,LongLake2019_WL_2019-06-28_2036.csv
WL_WholeShoreline,WL_WholeShoreline_20190731_1150_AN_MarkRecap.20120228,212,7/31/2019,7/31/2019,7/31/2019 8:59,7/31/2019 11:50,AA RN,AN,WL2019_markrecap,2.85,angler_hours,0,yes,yes,NA,MarkRecap.20120228,LongLake2019_WL_2019-07-31_1150.csv
WL_WholeShoreline,WL_WholeShoreline_20190731_2010_AN_MarkRecap.20120228,212,7/31/2019,7/31/2019,7/31/2019 17:00,7/31/2019 20:10,AA RN SL,AN,WL2019_markrecap,3.17,angler_hours,0,yes,yes,NA,MarkRecap.20120228,LongLake2019_WL_2019-07-31_2010.csv
WL_WholeShoreline,WL_WholeShoreline_20190814_0955_AN_MarkRecap.20120228,226,8/14/2019,8/14/2019,8/14/2019 9:00,8/14/2019 9:55,CM RN,AN,WL2019_markrecap,0.916666667,angler_hours,0,yes,yes,NA,MarkRecap.20120228,LongLake2019_WL_2019-08-17_0955.csv
WL_WholeShoreline,WL_WholeShoreline_20190817_1750_AN_MarkRecap.20120228,229,8/17/2019,8/17/2019,8/17/2019 17:00,8/17/2019 17:50,CM RN,AN,WL2019_markrecap,0.83,angler_hours,0,yes,yes,NA,MarkRecap.20120228,LongLake2019_WL_2019-08-17_1750.csv
FE_WholeShoreline,FE_WholeShoreline_20190507_2227_BE_MarkRecap.20120228,127,5/7/2019,5/7/2019,5/7/2019 21:25,5/7/2019 22:27,"CO,CD",BE,FE2019_summer_survey,1.03,electrofishing_hours,na,yes,yes,NA,MarkRecap.20120228,LongLake2019_FE_2019-05-07_2227.csv
FE_WholeShoreline,FE_WholeShoreline_20190509_2200_BE_MarkRecap.20120228,129,5/9/2019,5/9/2019,5/9/2019 21:05,5/9/2019 22:00,"AR, BB",BE,FE2019_summer_survey,0.92,electrofishing_hours,NA,yes,yes,NA,MarkRecap.20120228,LongLake2019_FE_2019-05-09_2200.csv
FE_WholeShoreline,FE_WholeShoreline_20191006_2035_BE_MarkRecap.20120228,279,10/6/2019,10/6/2019,10/6/2019 20:10,10/6/2019 20:35,"CD, BO, CN, CTS, CM",BE,FE2019_fall_survey,0.42,electrofishing_hours,NA,yes,yes,NA,MarkRecap.20120228,LongLake2019_FE_2019-10-06_2035.csv
FE_WholeShoreline,FE_WholeShoreline_20191008_0100_BE_MarkRecap.20120228,281,10/7/2019,10/8/2019,10/7/2019 22:30,10/8/2019 1:00,CM CTS CD BO CN,BE,FE2019_fall_survey,2.5,electrofishing_hours,NA,yes,yes,"""end time was hard to read",MarkRecap.20120228,LongLake2019_FE_2019-10-08_0100.csv
FE_WholeShoreline,FE_WholeShoreline_20191008_2105_BE_MarkRecap.20120228,281,10/8/2019,10/8/2019,10/8/2019 20:15,10/8/2019 21:05,CD CM CN CTS SEJ,BE,FE2019_fall_survey,0.83,electrofishing_hours,NA,yes,yes,NA,MarkRecap.20120228,LongLake2019_FE_2019-10-08_2105.csv
FE_WholeShoreline,FE_WholeShoreline_20191009_1015_BE_MarkRecap.20120228,282,10/9/2019,10/9/2019,10/9/2019 9:50,10/9/2019 10:15,CTS SEJ CD,BE,FE2019_fall_survey,0.42,electrofishing_hours,NA,yes,yes,NA,MarkRecap.20120228,LongLake2019_FE_2019-10-09_1015.csv
