"siteID","sampleID","dayOfYear","dateSet","dateSample","dateTimeSet","dateTimeSample","crew","gear","sampleGroup","effort","effortUnits","distanceShocked","useCPUE","useSampleMarkRecap","comments","metadataID","entryFile"
"CR_FN3","CR_FN3_20200604_0930_FN_JoneslakeExperiment.20200607",156,"2020-06-03","2020-06-04","6/3/2020 13:10:00","6/4/2020 9:30:00","CM,CD","FN","2020_JonesLake_Experiment",20.33,"trap_hours",0,"yes","yes",NA,"JoneslakeExperiment.20200607","JonesLake2020_CR_2020-06-04_0930.csv"
"CR_FN7","CR_FN7_20200604_1020_FN_JoneslakeExperiment.20200607",156,"2020-06-03","2020-06-04","6/3/2020 14:55:00","6/4/2020 10:20:00","CM,CD","FN","2020_JonesLake_Experiment",19.42,"trap_hours",0,"yes","yes",NA,"JoneslakeExperiment.20200607","JonesLake2020_CR_2020-06-04_1020.csv"
"CR_FN7","CR_FN7_20200605_0905_FN_JoneslakeExperiment.20200607",157,"2020-06-04","2020-06-05","6/4/2020 11:00:00","6/5/2020 9:05:00","CM,CD","FN","2020_JonesLake_Experiment",22.08,"trap_hours",0,"yes","yes",NA,"JoneslakeExperiment.20200607","JonesLake2020_CR_2020-06-05_0905.csv"
"CR_FN3","CR_FN3_20200605_0930_FN_JoneslakeExperiment.20200607",157,"2020-06-04","2020-06-05","6/4/2020 11:10:00","6/5/2020 9:30:00","CM,CD","FN","2020_JonesLake_Experiment",22.33,"trap_hours",0,"yes","yes",NA,"JoneslakeExperiment.20200607","JonesLake2020_CR_2020-06-05_0930.csv"
"CR_FN6","CR_FN6_20200605_1015_FN_JoneslakeExperiment.20200607",157,"2020-06-04","2020-06-05","6/4/2020 11:30:00","6/5/2020 10:15:00","CM,CD","FN","2020_JonesLake_Experiment",22.75,"trap_hours",0,"yes","yes","cod end came loose","JoneslakeExperiment.20200607","JonesLake2020_CR_2020-06-05_1015.csv"
"CR_FN8","CR_FN8_20200605_1030_FN_JoneslakeExperiment.20200607",157,"2020-06-04","2020-06-05","6/4/2020 11:45:00","6/5/2020 10:30:00","CM,CD","FN","2020_JonesLake_Experiment",22.75,"trap_hours",0,"yes","yes",NA,"JoneslakeExperiment.20200607","JonesLake2020_CR_2020-06-05_1030.csv"
"CR_wholeShoreline","CR_wholeShoreline_20200605_1900_AN_JoneslakeExperiment.20200607",157,"2020-06-05","2020-06-05","6/5/2020 16:30:00","6/5/2020 19:00:00","CM,CD","AN","2020_JonesLake_Experiment",2.5,"angler_hours",0,"yes","yes",NA,"JoneslakeExperiment.20200607","JonesLake2020_CR_2020-06-05_1900.csv"
"CR_FN7","CR_FN7_20200606_0745_FN_JoneslakeExperiment.20200607",158,"2020-06-05","2020-06-06","6/5/2020 9:25:00","6/6/2020 7:45:00","CM,CD","FN","2020_JonesLake_Experiment",22.33,"trap_hours",0,"yes","yes",NA,"JoneslakeExperiment.20200607","JonesLake2020_CR_2020-06-06_0745.csv"
"CR_FN3","CR_FN3_20200606_0800_FN_JoneslakeExperiment.20200607",158,"2020-06-05","2020-06-06","6/5/2020 10:05:00","6/6/2020 8:00:00","CM,CD","FN","2020_JonesLake_Experiment",21.92,"trap_hours",0,"yes","yes","100 BLGs clipped and measured the rest were clipped without measuring","JoneslakeExperiment.20200607","JonesLake2020_CR_2020-06-06_0800.csv"
"CR_FN6","CR_FN6_20200606_0850_FN_JoneslakeExperiment.20200607",158,"2020-06-05","2020-06-06","6/5/2020 10:20:00","6/6/2020 8:50:00","CM,CD","FN","2020_JonesLake_Experiment",22.5,"trap_hours",0,"yes","yes",NA,"JoneslakeExperiment.20200607","JonesLake2020_CR_2020-06-06_0850.csv"
"CR_FN8","CR_FN8_20200606_0915_FN_JoneslakeExperiment.20200607",158,"2020-06-05","2020-06-06","6/5/2020 10:40:00","6/6/2020 9:15:00","CM,CD","FN","2020_JonesLake_Experiment",22.58,"trap_hours",0,"yes","yes",NA,"JoneslakeExperiment.20200607","JonesLake2020_CR_2020-06-06_0915.csv"
"CR_wholeShoreline","CR_wholeShoreline_20200606_1710_AN_JoneslakeExperiment.20200607",158,"2020-06-06","2020-06-06","6/6/2020 13:50:00","6/6/2020 17:10:00","CM,CD","AN","2020_JonesLake_Experiment",3.33,"angler_hours",0,"yes","yes",NA,"JoneslakeExperiment.20200607","JonesLake2020_CR_2020-06-06_1710.csv"
"CR_wholeShoreline","CR_wholeShoreline_20200611_1250_AN_JonesLakeExperiment.20200607",163,"2020-06-11","2020-06-11","6/11/2020 10:50:00","6/11/2020 12:50:00","CM, AL","AN","2020_JonesLake_Experiment",2,"angler_hours",0,"yes","yes",NA,"JonesLakeExperiment.20200607","JonesLake2020_CR_2020-06-11_1250.csv"
"CR_wholeShoreline","CR_wholeShoreline_20200612_1730_AN_JoneslakeExperiment.20200607",164,"2020-06-12","2020-06-12","6/12/2020 13:53:00","6/12/2020 17:30:00","CM, AL","AN","2020_JonesLake_Experiment ",3.62,"angler_hours",0,"yes","yes","trolling motor problems","JoneslakeExperiment.20200607","JonesLake2020_CR_2020-06-12_1730.csv"
"CR_wholeShoreline","CR_wholeShoreline_20200615_1130_AN_JoneslakeExperiment.20200607",167,"2020-06-15","2020-06-15","6/15/2020 10:00:00","6/15/2020 11:30:00","CM, AL","AN","2020_JonesLake_Experiment",1.5,"angler_hours",0,"yes","yes",NA,"JoneslakeExperiment.20200607","JonesLake2020_CR_2020-06-15_1130.csv"
"CR_FN3","CR_FN3_20200616_1105_FN_JoneslakeExperiment.20200607",168,"2020-06-15","2020-06-16","6/15/2020 15:34:00","6/16/2020 11:05:00","CM, AL","FN","2020_JonesLake_Experiment",19.52,"trap_hours",0,"yes","yes","lead line not on bottom","JoneslakeExperiment.20200607","JonesLake2020_CR_2020-06-16_1105.csv"
"CR_FN6","CR_FN6_20200616_1145_FN_JoneslakeExperiment.20200607",168,"2020-06-15","2020-06-16","6/15/2020 15:53:00","6/16/2020 11:45:00","CM, AL","FN","2020_JonesLake_Experiment",19.87,"trap_hours",0,"yes","yes","SNAPPING TURTLE","JoneslakeExperiment.20200607","JonesLake2020_CR_2020-06-16_1145.csv"
"CR_FN8","CR_FN8_20200616_1255_FN_JoneslakeExperiment.20200607",168,"2020-06-15","2020-06-16","6/15/2020 16:08:00","6/16/2020 12:55:00","CM, AL","FN","2020_JonesLake_Experiment",20.78,"trap_hours",0,"yes","yes","""crooked","JoneslakeExperiment.20200607","JonesLake2020_CR_2020-06-16_1255.csv"
"CR_wholeShoreline","CR_wholeShoreline_00200717_0924_FN_JonesLakeExperiment.20200607",199,"0020-07-16","0020-07-17","7/16/20 16:04:00","7/17/20 9:24:00","CM, AL","FN","2020_JonesLake_Experiment",17.33,"trap_hours",0,"yes","yes",NA,"JonesLakeExperiment.20200607","JonesLake2020_CR_2020-06-17_0924.csv"
"CR_wholeShoreline","CR_wholeShoreline_00200717_0953_FN_JonesLakeExperiment.20200607",199,"0020-07-16","0020-07-17","7/16/20 16:22:00","7/17/20 9:53:00","CM, AL","FN","2020_JonesLake_Experiment",17.52,"trap_hours",0,"yes","yes",NA,"JonesLakeExperiment.20200607","JonesLake2020_CR_2020-06-17_0953.csv"
"CR_wholeShoreline","CR_wholeShoreline_00200717_1034_FN_JonesLakeExperiment.20200607",199,"0020-07-16","0020-07-17","7/16/20 16:36:00","7/17/20 10:34:00","CM, AL","FN","2020_JonesLake_Experiment",17.97,"trap_hours",0,"yes","yes",NA,"JonesLakeExperiment.20200607","JonesLake2020_CR_2020-06-17_1034.csv"
"CR_wholeShoreline","CR_wholeShoreline_20200618_1404_AN_JonesLakeExperiment_20200607",170,"2020-06-18","2020-06-18","6/18/2020 13:30:00","6/18/2020 14:04:00","AL,CM","AN","2020_JonesLake_Experiment",0.57,"angler_hours",0,"yes","yes",NA,"JonesLakeExperiment_20200607","JonesLake2020_CR_2020-06-18_1404.csv"
"CR_wholeShoreline","CR_wholeShoreline_20200623_1219_AN_JoneslakeExperiment.20200607",175,"2020-06-23","2020-06-23","6/23/2020 10:50:00","6/23/2020 12:19:00","CM, AL","AN","2020_JonesLake_Experiment ",1.48,"angler_hours",0,"yes","yes",NA,"JoneslakeExperiment.20200607","JonesLake2020_CR_2020-06-23_1219.csv"
"CR_wholeShoreline","CR_wholeShoreline_20200624_0910_FN_JonesLakeExperiment.20200607",176,"2020-06-23","2020-06-24","6/23/2020 16:15:00","6/24/2020 9:10:00","CM, AL","FN","2020_JonesLake_Experiment",16.92,"trap_hours",0,"yes","yes","WIND","JonesLakeExperiment.20200607","JonesLake2020_CR_2020-06-24_0910.csv"
"CR_FN8","CR_FN8_20200624_0930_FN_JonesLakeExperiment.20200607",176,"2020-06-23","2020-06-24","6/23/2020 16:27:00","6/24/2020 9:30:00","CM, AL","FN","2020_JonesLake_Experiment",17.05,"trap_hours",0,"yes","yes","WIND","JonesLakeExperiment.20200607","JonesLake2020_CR_2020-06-24_0930.csv"
"CR_FN7","CR_FN7_20200624_1008_FN_JonesLakeExperiment.20200607",176,"2020-06-23","2020-06-24","6/23/2020 16:47:00","6/24/2020 10:08:00","CM, AL","FN","2020_JonesLake_Experiment",17.35,"trap_hours",0,"yes","yes","WIND","JonesLakeExperiment.20200607","JonesLake2020_CR_2020-06-24_1008.csv"
"CR_FN9","CR_FN9_20200624_1026_FN_JonesLakeExperiment.20200607",176,"2020-06-23","2020-06-24","6/23/2020 17:04:00","6/24/2020 10:26:00","CM, AL","FN","2020_JonesLake_Experiment",17.37,"trap_hours",0,"yes","yes","WIND","JonesLakeExperiment.20200607","JonesLake2020_CR_2020-06-24_1026.csv"
