projectID,3,,,,,,,,,,,,,,,,
lakeID,FE,,,,,,,,,,,,,,,,
siteName,WholeShoreline,,,,,,,,,,,,,,,,
dataTimeSet,6/4/20 17:08,,,,,,,,,,,,,,,,
dateTimeSample,6/4/20 17:40,,,,,,,,,,,,,,,,
crew,"SEJ, AA",,,,,,,,,,,,,,,,
gear,AN,,,,,,,,,,,,,,,,
distanceShocked,,,,,,,,,,,,,,,,,
effort,0.53,,,,,,,,,,,,,,,,
effortUnits,angler_hours,,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,,
dataRecorder,SEJ,,,,,,,,,,,,,,,,
dataEnteredBy,AA,,,,,,,,,,,,,,,,
metadataID,MarkRecap.20120228,,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,,
sampleGroup,FE2020_markrecap,,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,LMB,260,233,,,,,,,,,,900F67000152247,,,,1
2,LMB,259,231,,,,,,,,,,900F67000093100,,,,1
3,LMB,333,347,,,,,,,,,,900F67000093146,,,,1
4,LMB,309,335,,,,,,,,,,900F224000002616,,,,1
5,LMB,271,228,,,,,,,,,,900F67000093063,,,,1
6,LMB,310,316,,,,,,,,,,178752296,,,,1
7,LMB,267,207,,,,,,,,,,900F224000125029,,,,1
8,LMB,311,349,,,,,,,,,,178752159,,,,1
9,LMB,286,303,,,,,,,,,,900F67000093169,,,,1
10,LMB,309,297,,,,,,,,,,900F67000093103,,,,0
11,LMB,221,138,,,,,,,,,900F67000152069,,,,,1
