projectID,3,,,,,,,,,,,,,,,,
lakeID,WL,,,,,,,,,,,,,,,,
siteName,WholeShoreline,,,,,,,,,,,,,,,,
dataTimeSet,7/28/20 14:30,,,,,,,,,,,,,,,,
dateTimeSample,7/28/20 16:57,,,,,,,,,,,,,,,,
crew,"JB, AA",,,,,,,,,,,,,,,,
gear,AN,,,,,,,,,,,,,,,,
distanceShocked,NA,,,,,,,,,,,,,,,,
effort,1.72,,,,,,,,,,,,,,,,
effortUnits,angler_hours,,,,,,,,,,,,,,,,
comments,,,,,,,,,,,,,,,,,
UseCPUE,yes,,,,,,,,,,,,,,,,
dataRecorder,JB,,,,,,,,,,,,,,,,
dataEnteredBy,AA,,,,,,,,,,,,,,,,
metadataID,MarkRecap.20120228,,,,,,,,,,,,,,,,
useSampleMarkRecap,yes,,,,,,,,,,,,,,,,
sampleGroup,WL2020_markrecap,,,,,,,,,,,,,,,,
fishNum,species,fishLength,fishWeight,clipApply,clipRecapture,mortality,removed,spineSampled,scaleSampled,tagApply,tagRecapture,tagApplyType,tagRecaptureType,oldTag,caughtBy,comments,dietSampled
1,LMB,272,295,,,,,,,,900F67000093161,,,,,,1
2,LMB,280,275,,,,,,,900F226001139580,,,,,,,1
3,LMB,341,459,,,,,,,,2008-032,,,,,,1
4,LMB,338,415,,,,,,,,178752230,,,,,,1
5,LMB,321,398,,,,,,,,900F224000002529,,,,,,1
6,LMB,331,413,,,,,,,,900F224000116582,,,,,,1
7,LMB,269,242,,,,,,,,900F67000152272,,,,,,1
8,LMB,287,304,,,,,,,,900F67000093197,,,,,,1
9,LMB,230,151,,,,,,,900F226001139572,,,,,,,1
10,LMB,297,298,,,,,,,,900F224000125218,,,,,,1
11,LMB,325,362,,,,,,,,900F224000125180,,,,,,0
12,LMB,325,384,,,,,,,,900F224000002747,,,,,,0
13,LMB,293,297,,,,,,,,900F224000100660,,,,,,0
14,LMB,327,416,,,,,,,,900F224000002514,,,,,,0
15,LMB,316,384,,,,,,,,900F224000104544,,,,,,0
16,LMB,292,324,,,,,,,,900F67000093048,,,,,,0
17,LMB,288,299,,,,,,,,900F67000093118,,,,,,0
18,LMB,270,245,,,,,,,,900F67000152375,,,,,,0
19,LMB,227,150,,,,,,,900F67000151941,,,,,,,0
20,LMB,234,167,,,,,,,900F226001139503,,,,,,,0
21,LMB,230,142,,,,,,,900F226001139589,,,,,,,0
22,LMB,274,268,,,,,,,900F67000152160,,,,,,,0
