"siteID","sampleID","dayOfYear","dateSet","dateSample","dateTimeSet","dateTimeSample","crew","gear","sampleGroup","effort","effortUnits","distanceShocked","useCPUE","useSampleMarkRecap","comments","metadataID","entryFile"
"FE_WholeShoreline","FE_WholeShoreline_20200603_1126_AN_MarkRecap.20120228",155,"6/3/20","6/3/20","6/3/20 9:46","6/3/20 11:26","SEJ, AA","AN","FE2020_markrecap",1.32,"angler_hours",0,"yes","yes",NA,"MarkRecap.20120228","LongLake2020_angling_2020-06-03_1126.csv"
"WL_WholeShoreline","WL_WholeShoreline_20200603_1729_AN_MarkRecap.20120228",155,"6/3/20","6/3/20","6/3/20 14:45","6/3/20 17:29","SEJ, AA","AN","WL2020_markrecap",1.83,"angler_hours",0,"yes","yes","bass spawning lots of nests","MarkRecap.20120228","LongLake2020_angling_2020-06-03_1729.csv"
"FE_WholeShoreline","FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228",156,"6/4/20","6/4/20","6/4/20 17:08","6/4/20 17:40","SEJ, AA","AN","FE2020_markrecap",0.53,"angler_hours",0,"yes","yes",NA,"MarkRecap.20120228","LongLake2020_angling_2020-06-04_1740.csv"
"WL_WholeShoreline","WL_WholeShoreline_20200605_1135_AN_MarkRecap.20120228",157,"6/5/20","6/5/20","6/5/20 8:45","6/5/20 11:35","SEJ, AA","AN","WL2020_markrecap",2.13,"angler_hours",0,"yes","yes",NA,"MarkRecap.20120228","LongLake2020_angling_2020-06-05_1135.csv"
"FE_WholeShoreline","FE_WholeShoreline_20200605_1532_AN_MarkRecap.20120228",157,"6/5/20","6/5/20","6/5/20 14:30","6/5/20 15:32","SEJ, AA","AN","FE2020_markrecap",1.033333333,"angler_hours",0,"yes","yes",NA,"MarkRecap.20120228","LongLake2020_angling_2020-06-05_1532.csv"
"FE_WholeShoreline","FE_WholeShoreline_20200608_1215_AN_MarkRecap.20120228",160,"6/8/20","6/8/20","6/8/20 9:29","6/8/20 12:15","JB, AA","AN","FE2020_markrecap",2,"angler_hours",0,"yes","yes",NA,"MarkRecap.20120228","LongLake2020_angling_2020-06-08_1215.csv"
"WL_WholeShoreline","WL_WholeShoreline_20200608_1730_AN_MarkRecap.20120228",160,"6/8/20","6/8/20","6/8/20 14:45","6/8/20 17:30","JB, AA","AN","WL2020_markrecap",1.583333333,"angler_hours",0,"yes","yes",NA,"MarkRecap.20120228","LongLake2020_angling_2020-06-08_1730.csv"
"WL_WholeShoreline","WL_WholeShoreline_20200630_1001_AN_MarkRecap.20120228",182,"6/30/20","6/30/20","6/30/20 8:54","6/30/20 10:01","JB, AA","AN","WL2020_markrecap",1.12,"angler_hours",0,"yes","yes","Scale batteries died so no weights on many of these","MarkRecap.20120228","LongLake2020_angling_2020-06-30_1001.csv"
"FE_WholeShoreline","FE_WholeShoreline_20200630_1756_AN_MarkRecap.20120228",182,"6/30/20","6/30/20","6/30/20 15:20","6/30/20 17:56","JB, AA","AN","FE2020_markrecap",1.42,"angler_hours",0,"yes","yes","very jumpy fish","MarkRecap.20120228","LongLake2020_angling_2020-06-30_1756.csv"
"FE_WholeShoreline","FE_WholeShoreline_20200701_1130_AN_MarkRecap.20120228",183,"7/1/20","7/1/20","7/1/20 9:00","7/1/20 11:30","AA, JB","AN","FE2020_markrecap",1.73,"angler_hours",0,"yes","yes",NA,"MarkRecap.20120228","LongLake2020_angling_2020-07-01_1130.csv"
"FE_WholeShoreline","FE_WholeShoreline_20200701_1130_AN_MarkRecap.20120228",183,"7/1/20","7/1/20","7/1/20 9:00","7/1/20 11:30","AA, JB","AN","FE2020_markrecap",1.73,"angler_hours",0,"yes","yes",NA,"MarkRecap.20120228","LongLake2020_angling_2020-07-01_1130.csv"
"WL_WholeShoreline","WL_WholeShoreline_20200702_1229_AN_MarkRecap.20120228",184,"7/2/20","7/2/20","7/2/20 9:04","7/2/20 12:29","JB, AA","AN","WL2020_markrecap",2.22,"angler_hours",0,"yes","yes",NA,"MarkRecap.20120228","LongLake2020_angling_2020-07-02_1229.csv"
"_WholeShoreline","_WholeShoreline_20200703_0000_NA_MarkRecap.20120228",185,"7/3/20","7/3/20","7/3/20 0:00","7/3/20 0:00","JB AA",NA,NA,NA,"angler_hours",0,"yes","no","picked up dead fish from the edge of the lake weights not accurate","MarkRecap.20120228","LongLake2020_angling_2020-07-03_.csv"
"","",NA,"","","","","","","",NA,"",NA,"","","","",""
"WL_WholeShoreline","WL_WholeShoreline_20200703_1626_AN_MarkRecap.20120228",185,"2020-07-03","2020-07-03","7/3/20 14:01:00","7/3/20 16:26:00","JB AA","AN","WL2020_markrecap",1.67,"angler_hours",0,"yes","yes",NA,"MarkRecap.20120228","LongLake2020_angling_2020-07-03_1626.csv"
"WL_WholeShoreline","WL_WholeShoreline_20200727_1145_AN_MarkRecap.20120228",209,"2020-07-27","2020-07-27","7/27/20 8:47:00","7/27/20 11:45:00","JB, AA","AN","WL2020_markrecap",1.53,"angler_hours",0,"yes","yes",NA,"MarkRecap.20120228","LongLake2020_angling_2020-07-27_1145.csv"
