"fishID","lakeID","dateSample","species"
"WL_WholeShoreline_20200603_1729_AN_MarkRecap.20120228_1","WL","2020-06-03","LMB"
"WL_WholeShoreline_20200603_1729_AN_MarkRecap.20120228_2","WL","2020-06-03","LMB"
"WL_WholeShoreline_20200603_1729_AN_MarkRecap.20120228_3","WL","2020-06-03","LMB"
"WL_WholeShoreline_20200603_1729_AN_MarkRecap.20120228_4","WL","2020-06-03","LMB"
"WL_WholeShoreline_20200603_1729_AN_MarkRecap.20120228_5","WL","2020-06-03","LMB"
"WL_WholeShoreline_20200603_1729_AN_MarkRecap.20120228_7","WL","2020-06-03","LMB"
"WL_WholeShoreline_20200603_1729_AN_MarkRecap.20120228_8","WL","2020-06-03","LMB"
"WL_WholeShoreline_20200603_1729_AN_MarkRecap.20120228_9","WL","2020-06-03","LMB"
"WL_WholeShoreline_20200603_1729_AN_MarkRecap.20120228_10","WL","2020-06-03","LMB"
"WL_WholeShoreline_20200603_1729_AN_MarkRecap.20120228_11","WL","2020-06-03","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_1","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_2","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_3","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_4","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_5","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_6","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_7","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_8","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_9","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_11","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_1","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_2","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_3","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_4","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_5","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_6","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_7","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_8","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_9","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_11","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_1","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_2","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_3","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_4","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_5","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_6","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_7","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_8","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_9","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200604_1740_AN_MarkRecap.20120228_11","FE","2020-06-04","LMB"
"FE_WholeShoreline_20200608_1215_AN_MarkRecap.20120228_1","FE","2020-06-08","LMB"
"FE_WholeShoreline_20200608_1215_AN_MarkRecap.20120228_2","FE","2020-06-08","LMB"
"FE_WholeShoreline_20200608_1215_AN_MarkRecap.20120228_3","FE","2020-06-08","LMB"
"FE_WholeShoreline_20200608_1215_AN_MarkRecap.20120228_4","FE","2020-06-08","LMB"
"FE_WholeShoreline_20200608_1215_AN_MarkRecap.20120228_5","FE","2020-06-08","LMB"
"FE_WholeShoreline_20200608_1215_AN_MarkRecap.20120228_6","FE","2020-06-08","LMB"
"FE_WholeShoreline_20200608_1215_AN_MarkRecap.20120228_7","FE","2020-06-08","LMB"
"FE_WholeShoreline_20200608_1215_AN_MarkRecap.20120228_8","FE","2020-06-08","LMB"
"WL_WholeShoreline_20200608_1730_AN_MarkRecap.20120228_1","WL","2020-06-08","LMB"
"WL_WholeShoreline_20200608_1730_AN_MarkRecap.20120228_2","WL","2020-06-08","LMB"
"WL_WholeShoreline_20200608_1730_AN_MarkRecap.20120228_3","WL","2020-06-08","LMB"
"WL_WholeShoreline_20200608_1730_AN_MarkRecap.20120228_4","WL","2020-06-08","LMB"
"WL_WholeShoreline_20200608_1730_AN_MarkRecap.20120228_5","WL","2020-06-08","LMB"
"WL_WholeShoreline_20200608_1730_AN_MarkRecap.20120228_6","WL","2020-06-08","LMB"
"WL_WholeShoreline_20200608_1730_AN_MarkRecap.20120228_7","WL","2020-06-08","LMB"
"WL_WholeShoreline_20200608_1730_AN_MarkRecap.20120228_8","WL","2020-06-08","LMB"
"WL_WholeShoreline_20200608_1730_AN_MarkRecap.20120228_9","WL","2020-06-08","LMB"
"WL_WholeShoreline_20200608_1730_AN_MarkRecap.20120228_10","WL","2020-06-08","LMB"
"WL_WholeShoreline_20200630_1001_AN_MarkRecap.20120228_1","WL","2020-06-30","LMB"
"FE_WholeShoreline_20200630_1756_AN_MarkRecap.20120228_1","FE","2020-06-30","LMB"
"FE_WholeShoreline_20200630_1756_AN_MarkRecap.20120228_2","FE","2020-06-30","LMB"
