projectID,sampleID,fishID,fishNum,species,fishLength,standardLength,fishWeight,caughtBy,jumperDescription,useTagMarkRecap,tagID,oldTag,tagApply,tagRecapture,tagApplyType,tagRecaptureType,clipApply,clipRecapture,sex,mortality,removed,otolithSampled,tissueSampled,dietSampled,stomachRemoved,gillArchRemoved,pectoralFinRemoved,gonadRemoved,leftEyeRemoved,finClipCollected,photo,gonadWeight,rectalTemp,gonadSqueeze,sexualStage_MaierScale,gonadWeight.1,gpsWaypoint,finClipBox,spineSample,scaleSample,comments,entryFile
3,FE_MT.008_20200603_1426_MT_MinnowTrapSurvey.20120228,FE_MT.008_00200603_1426_MT_MinnowTrapSurvey.20120228_1,1,largemouth_bass,83,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LongLake2020_minnowtrap_FE_20200603_1426.csv
3,WL_MT.005_20200603_1535_MT_MinnowTrapSurvey.20120228,WL_MT.005_00200603_1535_MT_MinnowTrapSurvey.20120228_1,1,largemouth_bass,91,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LongLake2020_minnowtrap_WL_20200603_1535.csv
3,WL_MT.019_20200605_1345_MT_MinnowTrapSurvey.20120228,WL_MT.019_00200605_1345_MT_MinnowTrapSurvey.20120228_1,1,largemouth_bass,81,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LongLake2020_minnowtrap_WL_20200605_1345.csv
3,WL_MT.010_20200701_1425_MT_MinnowTrapSurvey.20120228,WL_MT.010_00200701_1425_MT_MinnowTrapSurvey.20120228_1,1,largemouth_bass,93,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LongLake2020_minnowtrap_WL_20200701_1425.csv
3,WL_MT.001_20200703_0954_MT_MinnowTrapSurvey.20120228,WL_MT.001_00200703_0954_MT_MinnowTrapSurvey.20120228_1,1,largemouth_bass,82,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LongLake2020_minnowtrap_WL_20200703_0954.csv
3,WL_MT.005_20200703_0954_MT_MinnowTrapSurvey.20120228,WL_MT.005_00200703_0954_MT_MinnowTrapSurvey.20120228_1,1,largemouth_bass,105,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LongLake2020_minnowtrap_WL_20200703_0954.csv
3,WL_MT.013_20200703_0954_MT_MinnowTrapSurvey.20120228,WL_MT.013_00200703_0954_MT_MinnowTrapSurvey.20120228_1,1,largemouth_bass,91,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LongLake2020_minnowtrap_WL_20200703_0954.csv
3,WL_MT.018_20200703_0954_MT_MinnowTrapSurvey.20120228,WL_MT.018_00200703_0954_MT_MinnowTrapSurvey.20120228_1,1,largemouth_bass,85,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LongLake2020_minnowtrap_WL_20200703_0954.csv
3,WL_MT.013_20200604_1606_MT_MinnowTrapSurvey.20120228,WL_MT.013_20200604_1606_MT_MinnowTrapSurvey.20120228_1,1,brook_stickelback,51,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LongLake2020_minnowtrap_WL_20200604_1606.csv
3,WL_MT.003_20200702_1520_MT_MinnowTrapSurvey.20120228,WL_MT.003_20200702_1520_MT_MinnowTrapSurvey.20120228_1,1,largemouth_bass,81,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LongLake2020_minnowtrap_WL_20200702_1520.csv
