"siteID","sampleID","dayOfYear","dateSet","dateSample","dateTimeSet","dateTimeSample","crew","gear","sampleGroup","effort","effortUnits","distanceShocked","useCPUE","useSampleMarkRecap","comments","metadataID","entryFile"
"FE_MT.001","FE_MT.001_20200603_1426_MT_MinnowTrapSurvey.20120228","155",2020-06-02,2020-06-03,2020-06-02 18:36:00,2020-06-03 14:26:00,"SEJ, AA","MT","2019_minnowtrap_survey","19.83333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.002","FE_MT.002_20200603_1426_MT_MinnowTrapSurvey.20120228","155",2020-06-02,2020-06-03,2020-06-02 18:36:00,2020-06-03 14:26:00,"SEJ, AA","MT","2019_minnowtrap_survey","19.83333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.003","FE_MT.003_20200603_1426_MT_MinnowTrapSurvey.20120228","155",2020-06-02,2020-06-03,2020-06-02 18:36:00,2020-06-03 14:26:00,"SEJ, AA","MT","2019_minnowtrap_survey","19.83333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.004","FE_MT.004_20200603_1426_MT_MinnowTrapSurvey.20120228","155",2020-06-02,2020-06-03,2020-06-02 18:36:00,2020-06-03 14:26:00,"SEJ, AA","MT","2019_minnowtrap_survey","19.83333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.005","FE_MT.005_20200603_1426_MT_MinnowTrapSurvey.20120228","155",2020-06-02,2020-06-03,2020-06-02 18:36:00,2020-06-03 14:26:00,"SEJ, AA","MT","2019_minnowtrap_survey","19.83333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.006","FE_MT.006_20200603_1426_MT_MinnowTrapSurvey.20120228","155",2020-06-02,2020-06-03,2020-06-02 18:36:00,2020-06-03 14:26:00,"SEJ, AA","MT","2019_minnowtrap_survey","19.83333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.007","FE_MT.007_20200603_1426_MT_MinnowTrapSurvey.20120228","155",2020-06-02,2020-06-03,2020-06-02 18:36:00,2020-06-03 14:26:00,"SEJ, AA","MT","2019_minnowtrap_survey","19.83333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.008","FE_MT.008_20200603_1426_MT_MinnowTrapSurvey.20120228","155",2020-06-02,2020-06-03,2020-06-02 18:36:00,2020-06-03 14:26:00,"SEJ, AA","MT","2019_minnowtrap_survey","19.83333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.009","FE_MT.009_20200603_1426_MT_MinnowTrapSurvey.20120228","155",2020-06-02,2020-06-03,2020-06-02 18:36:00,2020-06-03 14:26:00,"SEJ, AA","MT","2019_minnowtrap_survey","19.83333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.010","FE_MT.010_20200603_1426_MT_MinnowTrapSurvey.20120228","155",2020-06-02,2020-06-03,2020-06-02 18:36:00,2020-06-03 14:26:00,"SEJ, AA","MT","2019_minnowtrap_survey","19.83333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.011","FE_MT.011_20200603_1426_MT_MinnowTrapSurvey.20120228","155",2020-06-02,2020-06-03,2020-06-02 18:36:00,2020-06-03 14:26:00,"SEJ, AA","MT","2019_minnowtrap_survey","19.83333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.012","FE_MT.012_20200603_1426_MT_MinnowTrapSurvey.20120228","155",2020-06-02,2020-06-03,2020-06-02 18:36:00,2020-06-03 14:26:00,"SEJ, AA","MT","2019_minnowtrap_survey","19.83333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.013","FE_MT.013_20200603_1426_MT_MinnowTrapSurvey.20120228","155",2020-06-02,2020-06-03,2020-06-02 18:36:00,2020-06-03 14:26:00,"SEJ, AA","MT","2019_minnowtrap_survey","19.83333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.014","FE_MT.014_20200603_1426_MT_MinnowTrapSurvey.20120228","155",2020-06-02,2020-06-03,2020-06-02 18:36:00,2020-06-03 14:26:00,"SEJ, AA","MT","2019_minnowtrap_survey","19.83333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.015","FE_MT.015_20200603_1426_MT_MinnowTrapSurvey.20120228","155",2020-06-02,2020-06-03,2020-06-02 18:36:00,2020-06-03 14:26:00,"SEJ, AA","MT","2019_minnowtrap_survey","19.83333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.016","FE_MT.016_20200603_1426_MT_MinnowTrapSurvey.20120228","155",2020-06-02,2020-06-03,2020-06-02 18:36:00,2020-06-03 14:26:00,"SEJ, AA","MT","2019_minnowtrap_survey","19.83333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.017","FE_MT.017_20200603_1426_MT_MinnowTrapSurvey.20120228","155",2020-06-02,2020-06-03,2020-06-02 18:36:00,2020-06-03 14:26:00,"SEJ, AA","MT","2019_minnowtrap_survey","19.83333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.018","FE_MT.018_20200603_1426_MT_MinnowTrapSurvey.20120228","155",2020-06-02,2020-06-03,2020-06-02 18:36:00,2020-06-03 14:26:00,"SEJ, AA","MT","2019_minnowtrap_survey","19.83333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.019","FE_MT.019_20200603_1426_MT_MinnowTrapSurvey.20120228","155",2020-06-02,2020-06-03,2020-06-02 18:36:00,2020-06-03 14:26:00,"SEJ, AA","MT","2019_minnowtrap_survey","19.83333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.020","FE_MT.020_20200603_1426_MT_MinnowTrapSurvey.20120228","155",2020-06-02,2020-06-03,2020-06-02 18:36:00,2020-06-03 14:26:00,"SEJ, AA","MT","2019_minnowtrap_survey","19.83333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.001","FE_MT.001_20200604_1650_MT_MinnowTrapSurvey.20120228","156",2020-06-03,2020-06-04,2020-06-03 14:26:00,2020-06-04 16:50:00,"SEJ, AA","MT","2019_minnowtrap_survey","26.4","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.002","FE_MT.002_20200604_1650_MT_MinnowTrapSurvey.20120228","156",2020-06-03,2020-06-04,2020-06-03 14:26:00,2020-06-04 16:50:00,"SEJ, AA","MT","2019_minnowtrap_survey","26.4","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.003","FE_MT.003_20200604_1650_MT_MinnowTrapSurvey.20120228","156",2020-06-03,2020-06-04,2020-06-03 14:26:00,2020-06-04 16:50:00,"SEJ, AA","MT","2019_minnowtrap_survey","26.4","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.004","FE_MT.004_20200604_1650_MT_MinnowTrapSurvey.20120228","156",2020-06-03,2020-06-04,2020-06-03 14:26:00,2020-06-04 16:50:00,"SEJ, AA","MT","2019_minnowtrap_survey","26.4","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.005","FE_MT.005_20200604_1650_MT_MinnowTrapSurvey.20120228","156",2020-06-03,2020-06-04,2020-06-03 14:26:00,2020-06-04 16:50:00,"SEJ, AA","MT","2019_minnowtrap_survey","26.4","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.006","FE_MT.006_20200604_1650_MT_MinnowTrapSurvey.20120228","156",2020-06-03,2020-06-04,2020-06-03 14:26:00,2020-06-04 16:50:00,"SEJ, AA","MT","2019_minnowtrap_survey","26.4","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.007","FE_MT.007_20200604_1650_MT_MinnowTrapSurvey.20120228","156",2020-06-03,2020-06-04,2020-06-03 14:26:00,2020-06-04 16:50:00,"SEJ, AA","MT","2019_minnowtrap_survey","26.4","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.008","FE_MT.008_20200604_1650_MT_MinnowTrapSurvey.20120228","156",2020-06-03,2020-06-04,2020-06-03 14:26:00,2020-06-04 16:50:00,"SEJ, AA","MT","2019_minnowtrap_survey","26.4","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.009","FE_MT.009_20200604_1650_MT_MinnowTrapSurvey.20120228","156",2020-06-03,2020-06-04,2020-06-03 14:26:00,2020-06-04 16:50:00,"SEJ, AA","MT","2019_minnowtrap_survey","26.4","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.010","FE_MT.010_20200604_1650_MT_MinnowTrapSurvey.20120228","156",2020-06-03,2020-06-04,2020-06-03 14:26:00,2020-06-04 16:50:00,"SEJ, AA","MT","2019_minnowtrap_survey","26.4","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.011","FE_MT.011_20200604_1650_MT_MinnowTrapSurvey.20120228","156",2020-06-03,2020-06-04,2020-06-03 14:26:00,2020-06-04 16:50:00,"SEJ, AA","MT","2019_minnowtrap_survey","26.4","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.012","FE_MT.012_20200604_1650_MT_MinnowTrapSurvey.20120228","156",2020-06-03,2020-06-04,2020-06-03 14:26:00,2020-06-04 16:50:00,"SEJ, AA","MT","2019_minnowtrap_survey","26.4","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.013","FE_MT.013_20200604_1650_MT_MinnowTrapSurvey.20120228","156",2020-06-03,2020-06-04,2020-06-03 14:26:00,2020-06-04 16:50:00,"SEJ, AA","MT","2019_minnowtrap_survey","26.4","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.014","FE_MT.014_20200604_1650_MT_MinnowTrapSurvey.20120228","156",2020-06-03,2020-06-04,2020-06-03 14:26:00,2020-06-04 16:50:00,"SEJ, AA","MT","2019_minnowtrap_survey","26.4","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.015","FE_MT.015_20200604_1650_MT_MinnowTrapSurvey.20120228","156",2020-06-03,2020-06-04,2020-06-03 14:26:00,2020-06-04 16:50:00,"SEJ, AA","MT","2019_minnowtrap_survey","26.4","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.016","FE_MT.016_20200604_1650_MT_MinnowTrapSurvey.20120228","156",2020-06-03,2020-06-04,2020-06-03 14:26:00,2020-06-04 16:50:00,"SEJ, AA","MT","2019_minnowtrap_survey","26.4","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.017","FE_MT.017_20200604_1650_MT_MinnowTrapSurvey.20120228","156",2020-06-03,2020-06-04,2020-06-03 14:26:00,2020-06-04 16:50:00,"SEJ, AA","MT","2019_minnowtrap_survey","26.4","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.018","FE_MT.018_20200604_1650_MT_MinnowTrapSurvey.20120228","156",2020-06-03,2020-06-04,2020-06-03 14:26:00,2020-06-04 16:50:00,"SEJ, AA","MT","2019_minnowtrap_survey","26.4","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.019","FE_MT.019_20200604_1650_MT_MinnowTrapSurvey.20120228","156",2020-06-03,2020-06-04,2020-06-03 14:26:00,2020-06-04 16:50:00,"SEJ, AA","MT","2019_minnowtrap_survey","26.4","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.020","FE_MT.020_20200604_1650_MT_MinnowTrapSurvey.20120228","156",2020-06-03,2020-06-04,2020-06-03 14:26:00,2020-06-04 16:50:00,"SEJ, AA","MT","2019_minnowtrap_survey","26.4","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.001","FE_MT.001_20200605_1546_MT_MinnowTrapSurvey.20120228","157",2020-06-04,2020-06-05,2020-06-04 16:50:00,2020-06-05 15:46:00,"SEJ, AA","MT","2019_minnowtrap_survey","22.93333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.002","FE_MT.002_20200605_1546_MT_MinnowTrapSurvey.20120228","157",2020-06-04,2020-06-05,2020-06-04 16:50:00,2020-06-05 15:46:00,"SEJ, AA","MT","2019_minnowtrap_survey","22.93333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
"FE_MT.003","FE_MT.003_20200605_1546_MT_MinnowTrapSurvey.20120228","157",2020-06-04,2020-06-05,2020-06-04 16:50:00,2020-06-05 15:46:00,"SEJ, AA","MT","2019_minnowtrap_survey","22.93333333","trap_hours",NA,"yes","yes","","MinnowTrapSurvey.20120228",NA
