"lakeID","siteID","sampleID","dayOfYear","dateSet","dateSample","dateTimeSet","dateTimeSample","crew","gear","sampleGroup","effort","effortUnits","distanceShocked","useCPUE","useSampleMarkRecap","comments","metadataID","updateID"
"AQ","AQ_WholeShoreline","AQ_WholeShoreline_20190625_1610_AN_Fishscapes.Angling.20180625",176,2019-06-25,2019-06-25,2019-06-25 14:30:00,2019-06-25 16:10:00,"JC,CI,ALK","AN","2019_fishscapes_survey",1.67,"angler_hours","0","yes","yes","windy and partly cloudy","Fishscapes.Angling.20180625","sampleFishInfo.20201124"
"AQ","AQ_WholeShoreline","AQ_WholeShoreline_20190625_2110_AN_Fishscapes.Angling.20180625",176,2019-06-25,2019-06-25,2019-06-25 16:36:00,2019-06-25 21:10:00,"JC, DS, ALK","AN","2019_fishscapes_survey",3.4,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","sampleFishInfo.20201124"
"AQ","AQ_WholeShoreline","AQ_WholeShoreline_20190707_0950_AN_Fishscapes.Angling.20180625",188,2019-07-07,2019-07-07,2019-07-07 05:45:00,2019-07-07 09:50:00,"AS, ALK, CD","AN","2019_fishscapes_survey",4.08,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","sampleFishInfo.20201124"
"AQ","AQ_WholeShoreline","AQ_WholeShoreline_20190707_1230_AN_Fishscapes.Angling.20180625",188,2019-07-07,2019-07-07,2019-07-07 10:30:00,2019-07-07 12:30:00,"ALK, CD","AN","2019_fishscapes_survey",2,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","sampleFishInfo.20201124"
"AQ","AQ_WholeShoreline","AQ_WholeShoreline_20190708_0950_AN_Fishscapes.Angling.20180625",189,2019-07-08,2019-07-08,2019-07-08 06:05:00,2019-07-08 09:50:00,"FF, AL, AT","AN","2019_fishscapes_survey",3.75,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","sampleFishInfo.20201124"
"AQ","AQ_WholeShoreline","AQ_WholeShoreline_20190708_1304_AN_Fishscapes.Angling.20180625",189,2019-07-08,2019-07-08,2019-07-08 11:10:00,2019-07-08 13:04:00,"AMK, AL, FF","AN","2019_fishscapes_survey",1.9,"angler_hours","0","yes","yes",NA,"Fishscapes.Angling.20180625","sampleFishInfo.20201124"
"AQ","AQ_WholeShoreline","AQ_WholeShoreline_20190730_2300_BE_FishscapesSurvey.1.5mile.20180607",211,2019-07-30,2019-07-30,2019-07-30 22:35:00,2019-07-30 23:00:00,"DS,MS,AL","BE","2019_fishscapes_survey",0.42,"electrofishing_hours","0.9","yes","yes","weedy electric only basin stopped bc we reached the channel we already shocked","FishscapesSurvey.1.5mile.20180607","sampleFishInfo.20201124"
"AQ","AQ_WholeShoreline","AQ_WholeShoreline_20190730_2350_BE_FishscapesSurvey.0.5mile.20180606",211,2019-07-30,2019-07-30,2019-07-30 23:30:00,2019-07-30 23:50:00,"DS, MS, AL","BE","2019_fishscapes_survey",0.33,"electrofishing_hours","0.5","yes","yes",NA,"FishscapesSurvey.0.5mile.20180606","sampleFishInfo.20201124"
"AQ","AQ_WholeShoreline","AQ_WholeShoreline_20190731_0120_BE_FishscapesSurvey.1.5mile.20180607",212,2019-07-31,2019-07-31,2019-07-31 00:25:00,2019-07-31 01:20:00,"DS, MS, AL","BE","2019_fishscapes_survey",0.92,"electrofishing_hours","1.5","yes","yes","fish 58 length may not be right but does match datasheet","FishscapesSurvey.1.5mile.20180607","sampleFishInfo.20201124"
"AQ","AQ_WholeShoreline","AQ_WholeShoreline_20190731_0225_BE_FishscapesSurvey.0.5mile.20180606",212,2019-07-31,2019-07-31,2019-07-31 02:15:00,2019-07-31 02:25:00,"DS, MS, AL","BE","2019_fishscapes_survey",0.17,"electrofishing_hours","0.25","yes","yes",NA,"FishscapesSurvey.0.5mile.20180606","sampleFishInfo.20201124"
"AQ","AQ_WholeShoreline","AQ_WholeShoreline_20190731_0330_BE_FishscapesSurvey.1.5mile.20180607",212,2019-07-31,2019-07-31,2019-07-31 03:20:00,2019-07-31 03:30:00,"DS,MS,AL","BE","2019_fishscapes_survey",0.17,"electrofishing_hours","0.26","yes","yes","Fog made us end could not see shore cold and loons","FishscapesSurvey.1.5mile.20180607","sampleFishInfo.20201124"
"AQ","AQ_WholeShoreline","AQ_WholeShoreline_20190805_2220_BE_FishscapesSurvey.hotBassLap.20180607",217,2019-08-05,2019-08-05,2019-08-05 21:40:00,2019-08-05 22:20:00,"DS,MS,KW,CL","BE","2019_fishscapes_survey",0.67,"electrofishing_hours","1.28","yes","yes",NA,"FishscapesSurvey.hotBassLap.20180607","sampleFishInfo.20201124"
