"metadataID","dateCreated","metadata","file","filePath","updateID"
"BenthicBacterialProduction.Analysis.20110616","6/16/2011","see attached protocol and calculations spreadsheet.  Raw datafiles are located here on Jim's desktop   C:\Users\jcoloso\Documents\Notre Dame\Data\2011 Data\UNDERC2011\UNDERC2011data2database\BenthicBacterialProduction\BenthicBacterialProduction_Raw2011","BenthicBacterialProduction.Analysis.20110616.docx","Box/MFE/Database/Metadata Files","NA"
"BenthicInvert.Sample.20110714","7/14/2011","see attached protocol","BenthicInvert.Sample.20110714.docx","Box/MFE/Database/Metadata Files","NA"
"BenthicPrimaryProduction.Analysis.20110714","7/14/2011","see attached protocol and calculation spreadsheet.  Raw data located on Jim's desktop: C:\Users\jcoloso\Documents\Notre Dame\Data\2011 Data\UNDERC 2011\UNDERC2011data2database\BenthicPrimaryProduction\BenthicPrimaryProduction_Raw2011","BenthicPrimaryProduction.Analysis.20110714.docx","Box/MFE/Database/Metadata Files","NA"
"BenthicPrimaryProduction.Sample.20110714","7/14/2011","see attached protocol","BenthicPrimaryProduction.Sample.20110714.docx","Box/MFE/Database/Metadata Files","NA"
"blgMorphologyDOC.20180626","11/12/2018","Chelsea Bishop project addressing bluegill morphology across DOC gradien","blgMorphologyDOC.20180626.docx","Box/MFE/Database/Metadata Files","NA"
"Chlorophyll.20110601","6/1/2011","Chlorophyll samples filtered onto 47mm GF/F filters.  Typically 200mL of water was filtered.  Filteres placed in black vials and stored in freezer.  Filters extracted with 25mm of methanol for 25 hours in the refrigerator.  Samples analyzed on fluorometer at Notre Dame (Turner) without acidification.  See attached protocol. 2012-2013 samples analyzed using Turner Trilogy fluorometer from Lamberti Lab rather than old Turner fluorometer in Common Lab.  Same basic method (non acidified, methanol, etc).","Chlorophyll Fluorometry_JonesLab.docx","Box/MFE/Database/Metadata Files","NA"
"Clifford.20110310","3/10/2011","John Clifford food web bottle experiment.  See attached protocol.","Food Web Experiment with Protists vs.docx","Box/MFE/Database/Metadata Files","NA"
"Color.20110601","6/1/2011","water filtered through GF/F and stored in a 60mL nalgene in the fridge until analysis (usually a few days later).  Run on a Shimadzu spectrophotometer at ND and a Spectronic Genesys II spectrophotometer at UNDERC.  100mm pathlength quartz cuvettes  were used.  Measured absorbance at 440nm on room temperature samples (important to prevent condensation on cuvette).  G440 calculated from absorbance as follows: G440 (m^-1) = abs440*2.303/pathlength(m).  (Danilov and Ekelund 2001 Hydrobiologia 444: 203-212).","Spec instructions for Color.docx","Box/MFE/Database/Metadata Files","NA"
"crackAndBurn.20171026","7/2/2019","See attached file.","Crack and Burn Oto Method.mp4","Box/MFE/Database/Metadata Files","metadataFix.2020"
"crazy.Chiro2015.2016","10/16/2018","NA","crazy.Chiro2015.2016.docx","Box/MFE/Database/Metadata Files","NA"
"CTAB.20100924","9/24/2010","Bacterial genomic DNA isolation using CTAB.  See attached protocol.  This protocol can be used for bacterial cultures and for filters.","Bacterial genomic DNA isolation using CTAB.docx","Box/MFE/Database/Metadata Files","NA"
"CTAB.soil.20100924","9/24/2010","Total soil RNA and DNA extration.  See attached protocol.  This protocol works well for sediment, but not for filters.","Total Soil DNA and RNA extraction and purification_Jones.docx","Box/MFE/Database/Metadata Files","NA"
"DIC.CH4.20110601","6/1/2011","method for running DIC and CH4 samples on GC.  Use HP 5890 GC with methanizer and FID.  Column Agilent GS-CarbonPLOT (30m,0.320mm,3.0um). See metadataID GC5890.CH4.CO2.20110601, see GC FIDMETH_1 method.  Used headspace calculations to convert ppm to uM.  This requires the volume of the water and headspace.  The weights of the empty and full sample bottles were not always recorded.  166.653g was used as the empty bottle weight for all samples.  Unknown final bottle weights were replaced with the average of the known final weights.","NA","NA","NA"
"DIC.CH4.20120522","5/22/2012","method for running DIC and CH4 samples on GC at UNDERC.  Headspace equilibrations using 200mL serum bottles.  Bottles flushed and then evacuated and acidified.  See GC6890.CH4.CO2.20120522 metadataID for GC details.  Used headspace calculations to convert ppm to uM.  This requires the volume of the water and headspace.  The weights of the empty and full sample bottles were not always recorded.  166.653g was used as the empty bottle weight for all samples.  Unknown final bottle weights were replaced with the average of the known final weights.  The total volume of the 200mL serum bottles was 242mL, so water vol + headspace vol = 242mL.  DICuM and CH4uM data is linked to the raw GC data in the GC table using the GC_runName column.","NA","NA","NA"
"DietSurvey.20120624","6/24/2012","Protocol for survey of fish diets along DOC gradient.  See attached protocol.","DietSurvey.20120624.docx","Box/MFE/Database/Metadata Files","NA"
"DIsedcores.Samples.2010115","11/15/2010","sediment cores were taken from the deep hole using the Wildco corer.  Cores were capped on the bottom with greased orange caps.  Cores were capped on the top with greased stoppers with 2 straws and stopcock connections.  Lab experiment on cores as described in attached paper.  These are the samples used for the core manipulation experiment - see West et al 2012","West et al 2012 Freswater Bio_methanogenesis.pdf","Box/MFE/Database/Metadata Files","NA"
