"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","runID","chl","replicate","metadataID","comments","flag","updateID"
"5","BA_DeepHole_20110620_1330_MidEpi_1.5_ZoopSurv.Sample.20110517","BA","DeepHole",2011-06-20,2011-06-20 13:30:00,"MidEpi",1.5,1.5,"8",4.69,"1","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"5","BA_DeepHole_20110620_1330_MidEpi_1.5_ZoopSurv.Sample.20110517","BA","DeepHole",2011-06-20,2011-06-20 13:30:00,"MidEpi",1.5,1.5,"8",9.27,"2","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"5","BA_DeepHole_20110704_1320_MidEpi_1_ZoopSurv.Sample.20110517","BA","DeepHole",2011-07-04,2011-07-04 13:20:00,"MidEpi",1,1,"7",1.82,"1","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"5","BA_DeepHole_20110704_1320_MidEpi_1_ZoopSurv.Sample.20110517","BA","DeepHole",2011-07-04,2011-07-04 13:20:00,"MidEpi",1,1,"7",1.84,"2","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"5","BA_DeepHole_20110808_1335_MidEpi_1.5_ZoopSurv.Sample.20110517","BA","DeepHole",2011-08-08,2011-08-08 13:35:00,"MidEpi",1.5,1.5,"6",3.47,"1","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"5","BA_DeepHole_20110808_1335_MidEpi_1.5_ZoopSurv.Sample.20110517","BA","DeepHole",2011-08-08,2011-08-08 13:35:00,"MidEpi",1.5,1.5,"6",3.28,"2","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"2","BC_DeepHole_20110804_0950_PML_4.5_Methane.Sample.20110601","BC","DeepHole",2011-08-04,2011-08-04 09:50:00,"PML",0,4.5,"4",5.83,"1","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"2","BC_DeepHole_20110804_0950_PML_4.5_Methane.Sample.20110601","BC","DeepHole",2011-08-04,2011-08-04 09:50:00,"PML",0,4.5,"4",5.96,"2","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"5","BE_DeepHole_20110623_0915_MidEpi_2.5_ZoopSurv.Sample.20110517","BE","DeepHole",2011-06-23,2011-06-23 09:15:00,"MidEpi",2.5,2.5,"8",5.68,"1","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"5","BE_DeepHole_20110623_0915_MidEpi_2.5_ZoopSurv.Sample.20110517","BE","DeepHole",2011-06-23,2011-06-23 09:15:00,"MidEpi",2.5,2.5,"8",5.1,"2","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"5","BE_DeepHole_20110705_0925_MidEpi_1_ZoopSurv.Sample.20110517","BE","DeepHole",2011-07-05,2011-07-05 09:25:00,"MidEpi",1,1,"7",10.41,"1","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"5","BE_DeepHole_20110705_0925_MidEpi_1_ZoopSurv.Sample.20110517","BE","DeepHole",2011-07-05,2011-07-05 09:25:00,"MidEpi",1,1,"7",10.84,"2","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"5","BE_DeepHole_20110808_1115_MidEpi_1.5_ZoopSurv.Sample.20110517","BE","DeepHole",2011-08-08,2011-08-08 11:15:00,"MidEpi",1.5,1.5,"6",7.95,"1","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"5","BE_DeepHole_20110808_1115_MidEpi_1.5_ZoopSurv.Sample.20110517","BE","DeepHole",2011-08-08,2011-08-08 11:15:00,"MidEpi",1.5,1.5,"6",7.98,"2","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"2","BI_DeepHole_20110809_1025_PML_4.5_Methane.Sample.20110601","BI","DeepHole",2011-08-09,2011-08-09 10:25:00,"PML",0,4.5,"4",6.06,"1","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"2","BI_DeepHole_20110809_1025_PML_4.5_Methane.Sample.20110601","BI","DeepHole",2011-08-09,2011-08-09 10:25:00,"PML",0,4.5,"4",5.4,"2","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"2","BL_DeepHole_20110816_0948_PML_2.5_Methane.Sample.20110601","BL","DeepHole",2011-08-16,2011-08-16 09:48:00,"PML",0,2.5,"4",10.69,"1","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"2","BL_DeepHole_20110816_0948_PML_2.5_Methane.Sample.20110601","BL","DeepHole",2011-08-16,2011-08-16 09:48:00,"PML",0,2.5,"4",10.96,"2","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"4","BO_DeepHole_20110714_0000_PML_0_Methane.Sample.20110601","BO","DeepHole",2011-07-14,2011-07-14 00:00:00,"PML",0,0,"5",17.67,"1","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"4","BO_DeepHole_20110714_0000_point_1.5_Limno.Sample.20110517","BO","DeepHole",2011-07-14,2011-07-14 00:00:00,"point",1.5,1.5,"5",37.27,"1","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"4","BO_DeepHole_20110714_0000_point_2_Limno.Sample.20110517","BO","DeepHole",2011-07-14,2011-07-14 00:00:00,"point",2,2,"5",58.65,"1","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"4","BO_DeepHole_20110714_0000_point_3_Limno.Sample.20110517","BO","DeepHole",2011-07-14,2011-07-14 00:00:00,"point",3,3,"5",118.83,"1","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"5","BR_DeepHole_20110621_1030_MidEpi_1.5_ZoopSurv.Sample.20110517","BR","DeepHole",2011-06-21,2011-06-21 10:30:00,"MidEpi",1.5,1.5,"8",18.44,"1","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"5","BR_DeepHole_20110621_1030_MidEpi_1.5_ZoopSurv.Sample.20110517","BR","DeepHole",2011-06-21,2011-06-21 10:30:00,"MidEpi",1.5,1.5,"8",17.72,"2","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"5","BR_DeepHole_20110704_1008_MidEpi_1.5_ZoopSurv.Sample.20110517","BR","DeepHole",2011-07-04,2011-07-04 10:08:00,"MidEpi",1.5,1.5,"7",6.58,"1","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"5","BR_DeepHole_20110704_1008_MidEpi_1.5_ZoopSurv.Sample.20110517","BR","DeepHole",2011-07-04,2011-07-04 10:08:00,"MidEpi",1.5,1.5,"7",6.86,"2","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"5","BR_DeepHole_20110808_0840_MidEpi_1.5_ZoopSurv.Sample.20110517","BR","DeepHole",2011-08-08,2011-08-08 08:40:00,"MidEpi",1.5,1.5,"6",21.3,"1","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"5","BR_DeepHole_20110808_0840_MidEpi_1.5_ZoopSurv.Sample.20110517","BR","DeepHole",2011-08-08,2011-08-08 08:40:00,"MidEpi",1.5,1.5,"6",19.85,"2","Chlorophyll.20110601","NA",0,"originalDB.20160217"
"2","BW_DeepHole_20110630_1027_PML_1_Methane.Sample.20110601","BW","DeepHole",2011-06-30,2011-06-30 10:27:00,"PML",0,1,"2",41.54,"1","Chlorophyll.20110601","NA",0,"originalDB.20160217"
