"siteID","lakeID","siteName","lat","long","UTM","updateID"
"AB_DeepHole","AB","DeepHole",NA,NA,"NA","siteCOLOR_2014to2016.20170123"
"AL_DeepHole","AL","DeepHole",NA,NA,"NA","sitePOC.20170529"
"AL_Inlet1","AL","Inlet1",NA,NA,"NA","sitePOC.20170529"
"AL_Outlet","AL","Outlet",NA,NA,"NA","sitePOC.20170529"
"AQ_BoatLaunch","AQ","BoatLaunch",46.0369394,-89.6288435,"NA","originalCreelUpdate_20190125"
"AQ_DeepHole","AQ","DeepHole",46.03,-89.62,"16T 296997E 5101818W","originalDB.20160217"
"AQ_flight","AQ","flight",NA,NA,"NA","siteIDs_20201008"
"AQ_FN1","AQ","FN1",46.03,-89.62,"16T 296581E 5101512W","siteFISH_INFO.20170117"
"AQ_FN2","AQ","FN2",46.03,-89.62,"16T 296581E 5101512W","siteFISH_INFO.20170117"
"AQ_FN4","AQ","FN4",46.03,-89.62,"NA","siteFISHINFO2017BLG.20171003"
"AQ_FN5","AQ","FN5",46.03,-89.62,"NA","siteFISHINFO2016BLG.20170927"
"AQ_FN8","AQ","FN8",46.03,-89.62,"NA","siteFISHINFO2017BLG.20171003"
"AQ_FNm1","AQ","FNm1",46.03,-89.62,"NA","siteFISHINFO2017BLG.20171003"
"AQ_FNm2","AQ","FNm2",46.03,-89.62,"NA","siteFISHINFO2017BLG.20171003"
"AQ_FNun","AQ","FNun",46.03,-89.62,"NA","siteFISHINFO2016BLG.20170927"
"AQ_shoreline","AQ","shoreline",46.03,-89.62,"16T 296581E 5101512W","originalDB.20160217"
"AQ_wholeShoreline","AQ","wholeShoreline",46.03,-89.62,"16T 296997E 5101818W","siteFishInfo2019.20200529"
"AQ_WholeShoreline","AQ","WholeShoreline",46.0369394,-89.6288435,"NA","originalCreelUpdate_20190125"
"AR_BoatLaunch","AR","BoatLaunch",45.9063386,-89.6902355,"NA","originalCreelUpdate_20190125"
"AR_DeepHole","AR","DeepHole",NA,NA,"NA","siteColor.20190326"
"AR_E1","AR","E1",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_E2","AR","E2",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_E3","AR","E3",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_E30","AR","E30",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_E4","AR","E4",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_E40","AR","E40",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_E5","AR","E5",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_E6","AR","E6",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_E7","AR","E7",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_E8","AR","E8",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_flight","AR","flight",NA,NA,"NA","siteIDs_20201008"
"AR_N1","AR","N1",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_N2","AR","N2",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_N3","AR","N3",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_N30","AR","N30",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_N4","AR","N4",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_N40","AR","N40",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_N5","AR","N5",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_N6","AR","N6",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_N7","AR","N7",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_N8","AR","N8",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_NE1","AR","NE1",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_NE2","AR","NE2",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_NE3","AR","NE3",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_NE30","AR","NE30",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_NE4","AR","NE4",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_NE40","AR","NE40",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_NE5","AR","NE5",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_NE6","AR","NE6",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_NE7","AR","NE7",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_NE8","AR","NE8",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_PrivateDock","AR","PrivateDock",45.9063386,-89.6902355,"NA","originalCreelUpdate_20190125"
"AR_S1","AR","S1",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_S2","AR","S2",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_S3","AR","S3",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_S30","AR","S30",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_S4","AR","S4",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_S40","AR","S40",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
"AR_S5","AR","S5",NA,NA,"NA","SITES_YOYSurv.fix.20201106"
