"projectID","lakeID","sampleID","dateSample","parameter","parameterValue","QCcode","flag","comments","metadataID","updateID"
"5","BR","BR_DeepHole_20110530_0923_MidEpi_1.5_ZoopSurv.Sample.20110517",2011-05-30,"TP",42.44,"NA",0,"NA","Nutrients.P.20110601","waterChemCreate.20201120"
"5","BR","BR_DeepHole_20110530_0923_MidEpi_1.5_ZoopSurv.Sample.20110517",2011-05-30,"TN",483.16,"NA",0,"NA","Nutrients.N.20110601","waterChemCreate.20201120"
"5","BR","BR_DeepHole_20110530_0923_MidEpi_1.5_ZoopSurv.Sample.20110517",2011-05-30,"particulateP",14.95,"NA",0,"NA","Nutrients.P.20110601","waterChemCreate.20201120"
"3","WL","WL_DeepHole_20110601_0930_Hypo_8_Limno.Sample.20110517",2011-06-01,"SRP",13.36,"NA",0,"NA","Nutrients.P.20110601","waterChemCreate.20201120"
"3","WL","WL_DeepHole_20110601_0930_Hypo_8_Limno.Sample.20110517",2011-06-01,"nitrate",111.88,"NA",0,"NA","Nutrients.N.20110601","waterChemCreate.20201120"
"3","WL","WL_DeepHole_20110601_0930_Hypo_8_Limno.Sample.20110517",2011-06-01,"particulateP",12.43,"NA",0,"NA","Nutrients.P.20110601","waterChemCreate.20201120"
"2","ST","ST_DeepHole_20110601_1015_PML_3_Methane.Sample.20110601",2011-06-01,"TP",19.07,"NA",0,"NA","Nutrients.P.20110601","waterChemCreate.20201120"
"2","ST","ST_DeepHole_20110601_1015_PML_3_Methane.Sample.20110601",2011-06-01,"TN",531.58,"NA",0,"NA","Nutrients.N.20110601","waterChemCreate.20201120"
"3","EL","EL_DeepHole_20110601_1045_Hypo_8_Limno.Sample.20110517",2011-06-01,"SRP",10.19,"NA",0,"NA","Nutrients.P.20110601","waterChemCreate.20201120"
"3","EL","EL_DeepHole_20110601_1045_Hypo_8_Limno.Sample.20110517",2011-06-01,"nitrate",124.34,"NA",0,"NA","Nutrients.N.20110601","waterChemCreate.20201120"
"3","EL","EL_DeepHole_20110601_1045_Hypo_8_Limno.Sample.20110517",2011-06-01,"particulateP",12.7,"NA",0,"NA","Nutrients.P.20110601","waterChemCreate.20201120"
"3","WL","WL_DeepHole_20110601_0930_PML_1.5_Limno.Sample.20110517",2011-06-01,"SRP",6.22,"NA",0,"NA","Nutrients.P.20110601","waterChemCreate.20201120"
"3","WL","WL_DeepHole_20110601_0930_PML_1.5_Limno.Sample.20110517",2011-06-01,"nitrate",83.53,"NA",0,"NA","Nutrients.N.20110601","waterChemCreate.20201120"
"3","WL","WL_DeepHole_20110601_0930_PML_1.5_Limno.Sample.20110517",2011-06-01,"particulateP",12.77,"NA",0,"NA","Nutrients.P.20110601","waterChemCreate.20201120"
"3","EL","EL_DeepHole_20110608_1111_PML_2_Limno.Sample.20110517",2011-06-08,"SRP",4.47,"NA",0,"NA","Nutrients.P.20110601","waterChemCreate.20201120"
"3","EL","EL_DeepHole_20110608_1111_PML_2_Limno.Sample.20110517",2011-06-08,"nitrate",87.02,"NA",0,"NA","Nutrients.N.20110601","waterChemCreate.20201120"
"3","EL","EL_DeepHole_20110608_1111_PML_2_Limno.Sample.20110517",2011-06-08,"particulateP",10.35,"NA",0,"NA","Nutrients.P.20110601","waterChemCreate.20201120"
"3","EL","EL_DeepHole_20110608_1111_Hypo_8_Limno.Sample.20110517",2011-06-08,"SRP",7.17,"NA",0,"NA","Nutrients.P.20110601","waterChemCreate.20201120"
"3","EL","EL_DeepHole_20110608_1111_Hypo_8_Limno.Sample.20110517",2011-06-08,"nitrate",119.79,"NA",0,"NA","Nutrients.N.20110601","waterChemCreate.20201120"
"3","EL","EL_DeepHole_20110608_1111_Hypo_8_Limno.Sample.20110517",2011-06-08,"particulateP",9.07,"NA",0,"NA","Nutrients.P.20110601","waterChemCreate.20201120"
"3","WL","WL_DeepHole_20110608_0937_PML_2_Limno.Sample.20110517",2011-06-08,"SRP",4.63,"NA",0,"NA","Nutrients.P.20110601","waterChemCreate.20201120"
"3","WL","WL_DeepHole_20110608_0937_PML_2_Limno.Sample.20110517",2011-06-08,"nitrate",56.64,"NA",0,"NA","Nutrients.N.20110601","waterChemCreate.20201120"
"3","WL","WL_DeepHole_20110608_0937_PML_2_Limno.Sample.20110517",2011-06-08,"particulateP",12.54,"NA",0,"NA","Nutrients.P.20110601","waterChemCreate.20201120"
"5","RE","RE_DeepHole_20110609_0935_MidEpi_0.5_ZoopSurv.Sample.20110517",2011-06-09,"TP",37.82,"NA",0,"NA","Nutrients.P.20110601","waterChemCreate.20201120"
"3","EL","EL_DeepHole_20110615_1158_PML_1_Limno.Sample.20110517",2011-06-15,"TP",2.2,"NA",0,"NA","Nutrients.P.20110601","waterChemCreate.20201120"
"3","EL","EL_DeepHole_20110615_1158_PML_1_Limno.Sample.20110517",2011-06-15,"TN",500.61,"NA",0,"NA","Nutrients.N.20110601","waterChemCreate.20201120"
"3","EL","EL_DeepHole_20110615_1158_PML_1_Limno.Sample.20110517",2011-06-15,"SRP",5.42,"NA",0,"NA","Nutrients.P.20110601","waterChemCreate.20201120"
"3","EL","EL_DeepHole_20110615_1158_PML_1_Limno.Sample.20110517",2011-06-15,"nitrate",87.5,"NA",0,"NA","Nutrients.N.20110601","waterChemCreate.20201120"
