"lakeID","lakeName","state","county","city","surfaceArea","maxDepth","lat","long","latLongSource","WBIC","comments","updateID"
"AB","Albino","MI","Gogebic","Watersmeet",21.36,4.5,46.26115711,-89.26381804,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"AL","Allen","WI","NA","NA",NA,NA,NA,NA,"unknown","NA","NA","lakesLatLongUpdate.20201005"
"AQ","Allequash","WI","Vilas","Boulder Junction",168.4,8,46.03715776,-89.62852032,"Lake finder app","2332400","NA","lakesLatLongUpdate.20201005"
"AR","Arrowhead","WI","Vilas","Arbor Vitae",38.8,13.1,45.90628344,-89.69044906,"Lake finder app","1541500","NA","lakesLatLongUpdate.20201005"
"AV","Anvil Lake","WI","Vilas","Eagle River",152,10,45.94341628,-89.06405027,"Lake finder app","968800","NA","lakesLatLongUpdate.20201005"
"AY","Agony","WI","Vilas","Presque Isle",2.96,5,46.1965989,-89.6494707,"unknown","NA","NA","lakesLatLongUpdate.20201005"
"BA","Bay","MI","Gogebic","UNDERC",67.33,12.19,46.2422897,-89.49544206,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"BC","Big Crooked","MI","Van Buren","Sister Lakes",44.51,14.63,42.078361,-86.191667,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"BD","Ballard","WI","Vilas","Plum Lake",204,7.62,46.06110338,-89.49822647,"Lake finder app","2340700","NA","lakesLatLongUpdate.20201005"
"BE","Bergner","MI","Gogebic","UNDERC",17.84,11.88,46.24624778,-89.51171468,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"BG","Big","WI","Vilas","Land O' Lakes",316,9.144,46.15484132,-89.76957196,"Lake finder app","2963800","NA","lakesLatLongUpdate.20201005"
"BH","Birch","WI","Vilas","Presque Isle",204.76,13.7,46.21789502,-89.83818569,"Lake finder app","2311100","NA","lakesLatLongUpdate.20201005"
"BI","Birch","MI","Cass","Vandalia",119.38,28.95,41.87840999,-85.85645854,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"BK","Black Oak","WI","Vilas","Land O' Lakes",228,25.908,46.163304,-89.31604588,"Lake finder app","1630100","NA","lakesLatLongUpdate.20201005"
"BL","Black","MI","Berrien","Naomi",8.09,6.09,42.06228901,-86.28607741,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"BM","Big Muskellunge","WI","Vilas","Boulder Junction",396.3,21.3,46.01747965,-89.61476183,"Lake finder app","1835300","NA","lakesLatLongUpdate.20201005"
"BN","Big Kitten Lake","WI","Vilas","Boulder Junction",20.2,6.7,46.17194093,-89.61737097,"Lake finder app","2336700","NA","lakesLatLongUpdate.20201005"
"BO","Bolger","MI","Gogebic","UNDERC",0.43,3.5,46.230119,-89.494463,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"BOT","Boot Lake","WI","Vilas","Eagle River",115.7,4.6,45.96867944,-89.32613309,"Lake finder app","1619100","NA","lakesLatLongUpdate.20201005"
"BP","Big Portage","WI","Vilas","Land O' Lakes",237,12.192,46.12564422,-89.2847336,"Lake finder app","1629500","NA","lakesLatLongUpdate.20201005"
"BR","Brown","MI","Gogebic","UNDERC",32.87,4.87,46.21793306,-89.47364975,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"BS","Big Saint Germain","WI","Vilas","Saint Germain",656,12.8016,45.93426247,-89.51995818,"Lake finder app","1591100","NA","lakesLatLongUpdate.20201005"
"BT","B2 (Amigo lake 2016)","WI","Vilas","Presque Isle",3.3,12,46.19280241,-89.63335553,"unknown","NA","NA","lakesLatLongUpdate.20201005"
"BV","Big Arbor Vitae","WI","Vilas","Arbor Vitae",433,12.5,45.93031314,-89.65002851,"Lake finder app","1545600","NA","lakesLatLongUpdate.20201005"
"BW","Brandywine","MI","Van Buren","Gobles",28.12,7.62,42.34903252,-85.85463016,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"BY","Brandy","WI","Vilas","Arbor Vitae",45.7,13.4,45.90674563,-89.7010776,"Lake finder app","1541300","NA","lakesLatLongUpdate.20201005"
"CA","Camp","WI","Vilas","Arbor Vitae",15.3,9.4,45.998796,-89.73147,"Google maps (approximate center)","1839100","NA","lakesLatLongUpdate.20201005"
"CB","Cranberry","MI","Gogebic","UNDERC",1.25,7.92,46.232443,-89.569978,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"CE","Clear","WI","Vilas","Manitowish Waters",208.4,13.7,46.1471974,-89.81100691,"Lake finder app","2272555","NA","lakesLatLongUpdate.20201005"
"CH","Chain","MI","Cass","Vandalia",14.16,12.8,41.85727159,-85.8937197,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"CL","Circle Lily","WI","Vilas","Manitowish Waters",90,10.7,46.15904789,-89.91886457,"Lake finder app","2326700","NA","lakesLatLongUpdate.20201005"
"CO","Corey","MI","St Joseph","Three Rivers West",254.95,24.38,41.93235271,-85.74259176,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"CP","Camp Lake Pen basin","WI","Vilas","Arbor Vitae",NA,NA,45.997805,-89.733401,"unknown","1839100","NA","lakesLatLongUpdate.20201005"
"CR","Crampton","WI","Vilas","UNDERC",25.89,18.5,46.20989061,-89.47357233,"Lake finder app","2759000","NA","lakesLatLongUpdate.20201005"
"CS","Camp Lake Small basin","WI","Vilas","Arbor Vitae",NA,NA,46.00133,-89.729763,"Google maps (approximate center)","1839100","NA","lakesLatLongUpdate.20201005"
"CY","Cranberry","WI","Vilas","Eagle River",374,7.0104,45.90165652,-89.16376066,"Lake finder app","1603800","NA","lakesLatLongUpdate.20201005"
"CYB","Crystal Bog","WI","Vilas","Sayner",1.4,2.5,NA,NA,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"DI","Diamond","MI","Cass","Cassopolis",412.77,19.5,41.90163115,-85.97948434,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"DO","Donnell","MI","Cass","Vandalia",99.55,19.2,41.90747883,-85.8922308,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"DS","Deerskin Lake","WI","Vilas","Eagle River",121.8,5.5,45.9756725,-89.16950136,"Lake finder app","1601300","NA","lakesLatLongUpdate.20201005"
"DW","Deadwood","WI","Vilas","UNDERC",9.71,8.8,46.20350643,-89.47495413,"Lake finder app","2759900","NA","lakesLatLongUpdate.20201005"
"DY","Day Lake","WI","Vilas","Boulder Junction",44.5,17.4,46.06362232,-89.7047206,"Lake finder app","1843500","NA","lakesLatLongUpdate.20201005"
"EE","Eel Lake","MI","Gogebic","Bessemer",21,NA,46.29622435,-89.76118225,"Lake finder app","NA","NA","lakesLatLongUpdate.20201005"
"EL","East Long","MI","Gogebic","UNDERC",3.18,14.02,46.236245,-89.495892,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
"ER","Erickson","WI","Vilas","Arbor Vitae",44.51,5.5,45.9473025,-89.62280062,"Lake finder app","983600","NA","lakesLatLongUpdate.20201005"
"ES","Escanaba","WI","Vilas","Plum Lake",122.6,7.9,46.06447807,-89.58574896,"Lake finder app","2339900","NA","lakesLatLongUpdate.20201005"
"EV","Elvoy Spring","WI","Vilas","Phelps",0.4,2.4,46.01463471,-88.90736,"Google maps (approximate center)","NA","NA","lakesLatLongUpdate.20201005"
