"tableName","colName","units","description","updateID"
"BACTERIAL_PRODUCTION_BENTHIC","projectID","NA","project for which the samples were taken: see PROJECTS","figshareUnits.20200812"
"BACTERIAL_PRODUCTION_BENTHIC","sampleID","NA","unique string for every sampling event","figshareUnits.20200812"
"BACTERIAL_PRODUCTION_BENTHIC","lakeID","NA","lake where the sample was taken: see LAKES","figshareUnits.20200812"
"BACTERIAL_PRODUCTION_BENTHIC","siteName","NA","site where the sample was taken: see SITES","figshareUnits.20200812"
"BACTERIAL_PRODUCTION_BENTHIC","dateSample","YYYY-MM-DD","date when the sample was taken","figshareUnits.20200812"
"BACTERIAL_PRODUCTION_BENTHIC","dateTimeSample","YYYY-MM-DD","date and time when the sample was taken","figshareUnits.20200812"
"BACTERIAL_PRODUCTION_BENTHIC","depthClass","NA","NA","originalDB.20160217"
"BACTERIAL_PRODUCTION_BENTHIC","depthTop","m","first or only depth","figshareUnits.20200812"
"BACTERIAL_PRODUCTION_BENTHIC","depthBottom","m","last depth if multiple depths combined. Same as depthTop for point samples","figshareUnits.20200812"
"BACTERIAL_PRODUCTION_BENTHIC","benthicBacterialProductionVolume_ugC_L_h","ugC/L/h","NA","originalDB.20160217"
"BACTERIAL_PRODUCTION_BENTHIC","benthicBacterialProducctionArea_mgC_m2_h","mgC/m2/h","NA","originalDB.20160217"
"BACTERIAL_PRODUCTION_BENTHIC","incubationDuration_h","h","NA","originalDB.20160217"
"BACTERIAL_PRODUCTION_BENTHIC","metadataID","NA","metadata associated with this sample: see METADATA","figshareUnits.20200812"
"BACTERIAL_PRODUCTION_BENTHIC","comments","NA","NA","originalDB.20160217"
"BACTERIAL_PRODUCTION_BENTHIC","flag","NA","1=potentially bad data","units.20180522"
"BACTERIAL_PRODUCTION_PELAGIC","projectID","NA","project for which the samples were taken: see PROJECTS","figshareUnits.20200812"
"BACTERIAL_PRODUCTION_PELAGIC","sampleID","NA","unique string for every sampling event","figshareUnits.20200812"
"BACTERIAL_PRODUCTION_PELAGIC","lakeID","NA","lake where the sample was taken: see LAKES","figshareUnits.20200812"
"BACTERIAL_PRODUCTION_PELAGIC","siteName","NA","site where the sample was taken: see SITES","figshareUnits.20200812"
"BACTERIAL_PRODUCTION_PELAGIC","dateSample","YYYY-MM-DD","date when the sample was taken","figshareUnits.20200812"
"BACTERIAL_PRODUCTION_PELAGIC","dateTimeSample","YYYY-MM-DD hh:mm:ss","date and time when the sample was taken","figshareUnits.20200812"
"BACTERIAL_PRODUCTION_PELAGIC","depthClass","NA","NA","originalDB.20160217"
"BACTERIAL_PRODUCTION_PELAGIC","depthTop","m","first or only depth","figshareUnits.20200812"
"BACTERIAL_PRODUCTION_PELAGIC","depthBottom","m","last depth if multiple depths combined. Same as depthTop for point samples","figshareUnits.20200812"
"BACTERIAL_PRODUCTION_PELAGIC","bacterialProduction_ugC_L_h","ugC/L/h","NA","originalDB.20160217"
"BACTERIAL_PRODUCTION_PELAGIC","incubationDuration_h","h","NA","originalDB.20160217"
"BACTERIAL_PRODUCTION_PELAGIC","metadataID","NA","metadata associated with this sample: see METADATA","figshareUnits.20200812"
"BACTERIAL_PRODUCTION_PELAGIC","comments","NA","NA","originalDB.20160217"
"BENTHIC_INVERTS","projectID","NA","project for which the samples were taken: see PROJECTS","figshareUnits.20200812"
"BENTHIC_INVERTS","sampleID","NA","sample where the invert was found","figshareUnits.20200812"
"BENTHIC_INVERTS","invertID","NA","unique string for every invert","units.20170717"
"BENTHIC_INVERTS","lakeID","NA","lake where the sample was taken: see LAKES","figshareUnits.20200812"
"BENTHIC_INVERTS","siteName","NA","site where the sample was taken: see SITES","figshareUnits.20200812"
"BENTHIC_INVERTS","dateSample","YYYY-MM-DD","date when the sample was taken","figshareUnits.20200812"
"BENTHIC_INVERTS","dateTimeSample","YYYY-MM-DD","date/time when the sample was taken","figshareUnits.20200812"
"BENTHIC_INVERTS","depthClass","NA","NA","originalDB.20160217"
"BENTHIC_INVERTS","depthTop","m","first or only depth","figshareUnits.20200812"
"BENTHIC_INVERTS","depthBottom","m","last depth if multiple depths combined. Same as depthTop for point samples","figshareUnits.20200812"
"BENTHIC_INVERTS","supergroup","NA","Taxonomic subclass of the invert","BIbenthicInvertsTaxonomyUpdate.2020"
"BENTHIC_INVERTS","orderSample","NA","Taxonomic order of the invert","figshareUnits.20200812"
"BENTHIC_INVERTS","family","NA","Taxonomic family of the invert","figshareUnits.20200812"
"BENTHIC_INVERTS","subfamily","NA","Taxonomic subfamily of the invert","figshareUnits.20200812"
"BENTHIC_INVERTS","tribe","NA","Taxonomic tribe of the invert","figshareUnits.20200812"
"BENTHIC_INVERTS","genus","NA","Taxonomic genus of the invert","figshareUnits.20200812"
"BENTHIC_INVERTS","otu","NA","aka OTU: the most specific taxonomic ranking identifiable","BIbenthicInvertsTaxonomyUpdate.2020"
"BENTHIC_INVERTS","pupa","NA","1 if bug is a pupa","BIbenthicInvertsTaxonomyUpdate.2020"
"BENTHIC_INVERTS","scopeID","NA","NA","units.20170717"
"BENTHIC_INVERTS","geneticProcess","NA","NA","units.20170717"
"BENTHIC_INVERTS","geneticID","NA","NA","units.20170717"
"BENTHIC_INVERTS","confidence","NA","NA","units.20170717"
"BENTHIC_INVERTS","trayNumber","NA","NA","units.20170717"
"BENTHIC_INVERTS","invertNum","NA","NA","units.20170717"
"BENTHIC_INVERTS","bodyLength","mm","Length of the invert's body","figshareUnits.20200812"
"BENTHIC_INVERTS","headWidth","mm","Width of the invert's head","figshareUnits.20200812"
"BENTHIC_INVERTS","dryMass","mg","Mass of the invert, dry (calculated, by taxa, from the equations in DRY_MASS_EQUATIONS)","figshareUnits.20200812"
"BENTHIC_INVERTS","picker","NA","NA","units.20170717"
"BENTHIC_INVERTS","comments","NA","Any comments about this invert?","figshareUnits.20200812"
"BENTHIC_INVERTS","metadataID","NA","metadata associated with this sample: see METADATA","figshareUnits.20200812"
"BENTHIC_INVERTS","notes","NA","NA","BIbenthicInvertsTaxonomyUpdate.2020"
"CHLOROPHYLL","projectID","NA","project for which the samples were taken: see PROJECTS","figshareUnits.20200812"
"CHLOROPHYLL","sampleID","NA","unique string for every sampling event","figshareUnits.20200812"
"CHLOROPHYLL","lakeID","NA","lake where the sample was taken: see LAKES","figshareUnits.20200812"
"CHLOROPHYLL","siteName","NA","site where the sample was taken: see SITES","figshareUnits.20200812"
"CHLOROPHYLL","dateSample","YYYY-MM-DD","date when the sample was taken","figshareUnits.20200812"
"CHLOROPHYLL","dateTimeSample","YYYY-MM-DD hh:mm:ss","date/time when the sample was taken","figshareUnits.20200812"
"CHLOROPHYLL","depthClass","NA","NA","originalDB.20160217"
"CHLOROPHYLL","depthTop","m","first or only depth","figshareUnits.20200812"
"CHLOROPHYLL","depthBottom","m","last depth if multiple depths combined. Same as depthTop for point samples","figshareUnits.20200812"
"CHLOROPHYLL","runID","NA","match samples to standards for a given run","originalDB.20160217"
"CHLOROPHYLL","chl","ug chl/L","chlorophyll concentration","figshareUnits.20200812"
"CHLOROPHYLL","replicate","NA","NA","originalDB.20160217"
"CHLOROPHYLL","metadataID","NA","metadata associated with this sample: see METADATA","figshareUnits.20200812"
"CHLOROPHYLL","comments","NA","NA","originalDB.20160217"
"CHLOROPHYLL","flag","NA","1=potentially bad data","originalDB.20160217"
"COLOR","projectID","NA","project for which the samples were taken: see PROJECTS","figshareUnits.20200812"
"COLOR","sampleID","NA","unique string for every sampling event","figshareUnits.20200812"
"COLOR","lakeID","NA","lake where the sample was taken: see LAKES","figshareUnits.20200812"
"COLOR","siteName","NA","site where the sample was taken: see SITES","figshareUnits.20200812"
"COLOR","dateSample","YYYY-MM-DD","date when the sample was taken","figshareUnits.20200812"
"COLOR","dateTimeSample","YYYY-MM-DD hh:mm:ss","date/time when the sample was taken","figshareUnits.20200812"
"COLOR","depthClass","NA","NA","originalDB.20160217"
"COLOR","depthTop","m","first or only depth","figshareUnits.20200812"
"COLOR","depthBottom","m","last depth if multiple depths combined. Same as depthTop for point samples","figshareUnits.20200812"
"COLOR","abs440","NA","absorbance at 440nm","originalDB.20160217"
"COLOR","g440","m^-1","abs440*2.303/pathlength(m) = abs440*2.303/.1; units: m^-1","originalDB.20160217"
"COLOR","metadataID","NA","metadata associated with this sample: see METADATA","figshareUnits.20200812"
"COLOR","comments","NA","NA","originalDB.20160217"
"COLOR","flag","NA","1=potentially bad data","originalDB.20160217"
"CREEL_BOAT_SAMPLES","projectID","NA","project affiliated with this boat count, see PROJECTS","units_20201012"
"CREEL_BOAT_SAMPLES","sampleID","NA","unique string for each creel day of boat counting","units_20201012"
"CREEL_BOAT_SAMPLES","boatCountID","NA","unique string for each instantaneous boat count (multiple boat counts per sampleID)","units_20201012"
"CREEL_BOAT_SAMPLES","boatCount","NA","total number of boats counted during instantaneous count","units_20201012"
"CREEL_BOAT_SAMPLES","enteredBy","NA","NA","units_20201012"
"CREEL_BOAT_SAMPLES","updateID","NA","NA","units_20201012"
"CREEL_BOATS","projectID","NA","project affiliated with this boat count, see PROJECTS","units_20201012"
"CREEL_BOATS","boatCountID","NA","unique string for each instantaneous boat count (multiple boat counts per sampleID)","units_20201012"
"CREEL_BOATS","boatID","NA","unique string for each boat within an instantaneous boat count (multiple boats possible within one boatCountID)","units_20201012"
"CREEL_BOATS","boatNum","NA","numeric","units_20201012"
"CREEL_BOATS","vesselType","NA","factor, gas motor, electric, kayak, etc","units_20201012"
"CREEL_BOATS","passengerCount","NA","numeric","units_20201012"
