"updateID","updateDate","verNumber","rawFile","parentBoxFolder","sourceCode","updaterInitials","updateMetadata"
"originalDB.20160217","2/17/2016","1.0.0","Archived DB Files","Archived DB Files",NA,"AR","updateIDs were not given to data prior to 2016-02-16. Because of this, all data uploaded prior to this date is considered with the same updateID, 'originalDB.20160217'. To check past versions of database see the folder identified in the 'rawFile' field. "
"siteLIMNO_PROFILES.20160218","2/18/2016","1.0.0","siteLIMNO_PROFILES.20160218.csv","updateID_2",NA,"AR","2641 observations for SITES portion of LIMNO_PROFILES table. Observations started at 2014-05-14, finished at 2015-01-31. No new unique siteIDs, therefore no new. siteIDs added. Two data-entry errors were made for lakeID (and associated siteID) BE and CR where 1 observation for each had a phantom space after the ID. "
"samplesLIMNO_PROFILES.20160222","2/22/2016","1.0.0","samplesLIMNO_PROFILES.20160222.csv","updateID_2",NA,"AR","2641 observations for SAMPLES portion of LIMNO_PROFILES table. Observations started at 2014-05-14, finished at 2015-01-31. All new sampleIDs were unique, therefore 2641 unique IDs were added to the table.  Duplicates were discovered for sampleIDs: EL_Inlet_20130806_1500_Surface_0_Limno.Sample.20130416 (true duplicate. All observations tied to this sampleID contained exact same information, so one of the two observations were removed), EL_DeepHole_20140618_1035_point_5_Limno.Sample.20140501 (depth was incorrect, Based on it's order in the limno profile made, it is apparent the first observation of the duplicate set should have been 0.5m -- there was a missing value between 0.25 and 0.75m), and WL_DeepHole_20140702_0900_point_0.25_Limno.Sample.20140501 (depth was incorrect, should have been 1.5m. There was no 1.5m depth readings, yet there readings >1.5m. Coincidently, this duplicate must have been that missing 1.5m value). Three spelling errors were corrected from past database (two case sensitive errors, one phantom space error) "
"tableLIMNO_PROFILES.20160222","2/22/2016","1.0.0","tableLIMNO_PROFILES.20160222.csv","updateID_2",NA,"AR","2641 observations for table portion of LIMNO_PROFILES. Observations started at 2014-05-14, finished at 2015-01-31. All unique samples, so 2641 observations were added to the table. Data input errors were made for sampleIDs 'EL_DeepHole_20140618_1035_point_5_Limno.Sample.20140501' and 'WL_DeepHole_20140702_0900_point_0.25_Limno.Sample.20140501'. See metadata notes in samplesLIMNO_PROFILES.20160222 for details of how this was fixed"
"tableUPDATE_METADATA.20160222","2/22/2016","1.0.0","Metadata Files","updateID_2",NA,"AR","The metadata file 'Limno.Sample.20140501.docx' was added for observations that were included in the LIMNO_PROFILES update"
"siteBENTHIC_INVERTS.20160222","2/23/2016","1.0.0","siteBENTHIC_INVERTS.20160222.csv","updateID_2",NA,"AR","This update includes changes that Nikki Craig made 2014. There were errors in sampleIDs in the existing database so all siteIDs relavent to BENTHIC_INVERTS were wiped clean from the existing database, and completely replaced. "
"samplesBENTHIC_INVERTS.20160222","2/23/2016","1.0.0","samplesBENTHIC_INVERTS.20160222.csv","updateID_2",NA,"AR","This update includes changes that Nikki Craig made in 2014. There were existing errors in the previous DB versions for sampleIDs, so all sampleIDs relavent to BENTHIC_INVERTS table were wiped clean (n=702 unique sampleIDs). These IDs were fixed, and an additional 264 sampleIDs from 2014 were added into the SAMPLES table (in total n=966 for BENTHIC_INVERTS sampleID). When updating .db file dimension check indicates that before any BENTHIC_INVERT sampleIDs were added there were 14495 samplIDs in the SAMPLES table; after addition n=15461 unique sampleIDs indicating the correct # of BENTHIC_INVERT sampleIDs were added. For more info, read her note in box titled 'notes - NC database update fall 2014.docx'."
"tableBENTHIC_INVERTS.20160222","2/23/2016","1.0.0","tableBENTHIC_INVERTS.20160222.csv","updateID_2",NA,"AR","This update includes changes that Nikki Craig made in 2014. See updateID 'samplesBENTHIC_INVERTS.20160222' for more details. Table structure changed; a column for 'picker' was added. At this point there are no 'picker' observations. Like 'samplesBENTHIC_INVERTS.20160222', all previous benthic entries were wiped from the existing database, and after the data was cleaned it was re-entered along with new observations for 2014. In total 23707 observations are in the BENTHIC_INVERTS table "
"tableOTU.20160224","2/24/2016","1.0.0","tableOTU.20160224","updateID_2",NA,"AR","Update includes 40 new unique taxa that have been added to the existing database. All new OTU observations are indicated by the updateID for this entry"
"siteRhodamine2014_20160711","7/11/2016","1.0.0","siteRhodamine014_20160711.csv","updateID_2",NA,"AR","158 observations from 2014 in SITES portion of Rhodamine2014 - no new sites were added to the SITES table. The original file, 'Rhodamine2014' by JV, was amended by AR before being entered into the database. The only change was that replicate samples for hypo and pml readings for WL on 20140730 were turned into single averages to fit database format. The original file containing all replicate values is found in Box as version 1 of the associated datasheet."
"samplesRhodamine2014_20160711","7/11/2016","1.0.0","samplesRhodamine2014_20160711.csv","updateID_2",NA,"AR","158 observations from 2014 in SAMPLES portion of Rhodamine2014 - all 158 observations are unique, new sampleIDs in the database. The original file, 'Rhodamine2014' by JV, was amended by AR before being entered into the database. The only change was that replicate samples for hypo and pml readings for WL on 20140730 were turned into single averages to fit database format. The original file containing all replicate values is found in Box as version 1 of the associated datasheet."
"tableRhodamine2014_20160711","7/11/2016","1.0.0","tableRhodamine2014_20160711.csv","updateID_2",NA,"AR","158 observations from 2014 in TABLE portion of Rhodamine2014. The original file, 'Rhodamine2014' by JV, was amended by AR before being entered into the database. The only change was that replicate samples for hypo and pml readings for WL on 20140730 were turned into single averages to fit database format. The original file containing all replicate values is found in Box as version 1 of the associated datasheet."
