"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","abs440","g440","metadataID","comments","flag","updateID"
"2","ST_DeepHole_20110601_1015_PML_3_Methane.Sample.20110601","ST","DeepHole",2011-06-01,2011-06-01 10:15:00,"PML",0,3,0.06,1.51,"Color.20110601",NA,0,"originalDB.20160217"
"2","ST_DeepHole_20110621_1015_PML_3_Methane.Sample.20110601","ST","DeepHole",2011-06-21,2011-06-21 10:15:00,"PML",0,3,0.08,1.93,"Color.20110601",NA,0,"originalDB.20160217"
"2","DI_DeepHole_20110623_0949_PML_5.5_Methane.Sample.20110601","DI","DeepHole",2011-06-23,2011-06-23 09:49:00,"PML",0,5.5,0.01,0.25,"Color.20110601",NA,0,"originalDB.20160217"
"2","GV_DeepHole_20110628_1030_PML_5_Methane.Sample.20110601","GV","DeepHole",2011-06-28,2011-06-28 10:30:00,"PML",0,5,0.01,0.43,"Color.20110601",NA,0,"originalDB.20160217"
"2","BW_DeepHole_20110630_1027_PML_1_Methane.Sample.20110601","BW","DeepHole",2011-06-30,2011-06-30 10:27:00,"PML",0,1,1.06,24.43,"Color.20110601",NA,0,"originalDB.20160217"
"2","PL_DeepHole_20110705_1021_PML_1_Methane.Sample.20110601","PL","DeepHole",2011-07-05,2011-07-05 10:21:00,"PML",0,1,0.38,8.88,"Color.20110601",NA,0,"originalDB.20160217"
"2","NC_DeepHole_20110707_0942_PML_2_Methane.Sample.20110601","NC","DeepHole",2011-07-07,2011-07-07 09:42:00,"PML",0,2,0.03,0.82,"Color.20110601",NA,0,"originalDB.20160217"
"2","SN_DeepHole_20110712_0944_PML_3_Methane.Sample.20110601","SN","DeepHole",2011-07-12,2011-07-12 09:44:00,"PML",0,3,0.01,0.29,"Color.20110601",NA,0,"originalDB.20160217"
"2","LW_DeepHole_20110714_0946_PML_3.5_Methane.Sample.20110601","LW","DeepHole",2011-07-14,2011-07-14 09:46:00,"PML",0,3.5,0.11,2.55,"Color.20110601",NA,0,"originalDB.20160217"
"2","UF_DeepHole_20110719_0956_PML_1.5_Methane.Sample.20110601","UF","DeepHole",2011-07-19,2011-07-19 09:56:00,"PML",0,1.5,0.11,2.6,"Color.20110601",NA,0,"originalDB.20160217"
"2","HU_DeepHole_20110721_1048_PML_3.5_Methane.Sample.20110601","HU","DeepHole",2011-07-21,2011-07-21 10:48:00,"PML",0,3.5,0.03,0.73,"Color.20110601",NA,0,"originalDB.20160217"
"2","DO_DeepHole_20110726_0950_PML_4_Methane.Sample.20110601","DO","DeepHole",2011-07-26,2011-07-26 09:50:00,"PML",0,4,0.02,0.59,"Color.20110601",NA,0,"originalDB.20160217"
"2","JU_DeepHole_20110728_0941_PML_3.5_Methane.Sample.20110601","JU","DeepHole",2011-07-28,2011-07-28 09:41:00,"PML",0,3.5,0.05,1.33,"Color.20110601",NA,0,"originalDB.20160217"
"2","GA_DeepHole_20110802_1043_PML_2.5_Methane.Sample.20110601","GA","DeepHole",2011-08-02,2011-08-02 10:43:00,"PML",0,2.5,0.06,1.47,"Color.20110601",NA,0,"originalDB.20160217"
"2","BC_DeepHole_20110804_0950_PML_4.5_Methane.Sample.20110601","BC","DeepHole",2011-08-04,2011-08-04 09:50:00,"PML",0,4.5,0.08,2,"Color.20110601",NA,0,"originalDB.20160217"
"2","BI_DeepHole_20110809_1025_PML_4.5_Methane.Sample.20110601","BI","DeepHole",2011-08-09,2011-08-09 10:25:00,"PML",0,4.5,0.01,0.25,"Color.20110601",NA,0,"originalDB.20160217"
"2","MA_DeepHole_20110811_0957_PML_3.5_Methane.Sample.20110601","MA","DeepHole",2011-08-11,2011-08-11 09:57:00,"PML",0,3.5,0.01,0.25,"Color.20110601",NA,0,"originalDB.20160217"
"2","BL_DeepHole_20110816_0948_PML_2.5_Methane.Sample.20110601","BL","DeepHole",2011-08-16,2011-08-16 09:48:00,"PML",0,2.5,0.09,2.09,"Color.20110601",NA,0,"originalDB.20160217"
"2","RO_DeepHole_20110818_0954_PML_6_Methane.Sample.20110601","RO","DeepHole",2011-08-18,2011-08-18 09:54:00,"PML",0,6,0.02,0.59,"Color.20110601",NA,0,"originalDB.20160217"
"2","CO_DeepHole_20110823_0859_PML_6_Methane.Sample.20110601","CO","DeepHole",2011-08-23,2011-08-23 08:59:00,"PML",0,6,0.03,0.75,"Color.20110601",NA,0,"originalDB.20160217"
"2","CH_DeepHole_20110825_0902_PML_3.5_Methane.Sample.20110601","CH","DeepHole",2011-08-25,2011-08-25 09:02:00,"PML",0,3.5,0.03,0.71,"Color.20110601",NA,0,"originalDB.20160217"
"5","BA_DeepHole_20110704_1320_midEpi_1_ZoopSurv.Sample.20110517","BA","DeepHole",2011-07-04,2011-07-04 13:20:00,"midEpi",1,1,0.07,1.75,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"5","BA_DeepHole_20110530_1641_midEpi_1.5_ZoopSurv.Sample.20110517","BA","DeepHole",2011-05-30,2011-05-30 16:41:00,"midEpi",1.5,1.5,0.5,11.56,"Color.20110601","Readings probably taken with cold samples.  Too high because of condensation",1,"S_sampleIDReconstruct"
"5","BA_DeepHole_20110620_1330_midEpi_1.5_ZoopSurv.Sample.20110517","BA","DeepHole",2011-06-20,2011-06-20 13:30:00,"midEpi",1.5,1.5,0.09,2.07,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"5","BA_DeepHole_20110808_1335_midEpi_1.5_ZoopSurv.Sample.20110517","BA","DeepHole",2011-08-08,2011-08-08 13:35:00,"midEpi",1.5,1.5,0.08,1.93,"Color.20110601",NA,0,"S_sampleIDReconstruct"
"5","BE_DeepHole_20110808_1115_midEpi_1.5_ZoopSurv.Sample.20110517","BE","DeepHole",2011-08-08,2011-08-08 11:15:00,"midEpi",1.5,1.5,0.14,3.4,"Color.20110601",NA,0,"S_sampleIDReconstruct"
