"projectID","lakeID","siteID","sampleID","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","crew","weather","comments","metadataID","updateID"
"17","BA","BA_DeepHole","BA_DeepHole_20200615_1400_Hypo_6.5_Limno.Sample.20160505",2020-06-15,2020-06-15 14:00:00,"Hypo",6.5,6.5,"RN and CS","windy overcast","Deck PAR 656.4 bottom at 10 m","Color.20110601","samplecolor.20210505"
"17","BA","BA_DeepHole","BA_DeepHole_20200615_1400_PML_2.5_Limno.Sample.20160505",2020-06-15,2020-06-15 14:00:00,"PML",0,2.5,"RN and CS","windy overcast","Deck PAR 656.4 bottom at 10 m","Color.20110601","samplecolor.20210505"
"17","BA","BA_DeepHole","BA_DeepHole_20200727_1130_Hypo_7_Limno.Sample.20160505",2020-07-27,2020-07-27 11:30:00,"Hypo",7,7,"RN and CS","partly cloudy and windy","Deck PAR 2202.0 and bottom at 11.5","Color.20110601","samplecolor.20210505"
"17","BA","BA_DeepHole","BA_DeepHole_20200727_1130_PML_2.5_Limno.Sample.20160505",2020-07-27,2020-07-27 11:30:00,"PML",0,2.5,"RN and CS","partly cloudy and windy","Deck PAR 2202.0 and bottom at 11.5","Color.20110601","samplecolor.20210505"
"17","BO","BO_DeepHole","BO_DeepHole_20200701_1041_Hypo_2_Limno.Sample.20160505",2020-07-01,2020-07-01 10:41:00,"Hypo",2,2,"RN and CS","sunny hot","Deck PAR 1229.5","Color.20110601","samplecolor.20210505"
"17","BO","BO_DeepHole","BO_DeepHole_20200701_1041_PML_0.25_Limno.Sample.20160505",2020-07-01,2020-07-01 10:41:00,"PML",0,0.25,"RN and CS","sunny hot","Deck PAR 1229.5","Color.20110601","samplecolor.20210505"
"17","BO","BO_DeepHole","BO_DeepHole_20200812_1055_Hypo_2_Limno.Sample.20160505",2020-08-12,2020-08-12 10:55:00,"Hypo",2,2,"RN and CS","sunny hot sweaty","Deck PAR 1741.0 and PML is just zero meters because it was 2 degrees cooler than surface at only 0.5m ","Color.20110601","samplecolor.20210505"
"17","BO","BO_DeepHole","BO_DeepHole_20200812_1055_PML_0_Limno.Sample.20160505",2020-08-12,2020-08-12 10:55:00,"PML",0,0,"RN and CS","sunny hot sweaty","Deck PAR 1741.0 and PML is just zero meters because it was 2 degrees cooler than surface at only 0.5m ","Color.20110601","samplecolor.20210505"
"17","BR","BR_DeepHole","BR_DeepHole_20200615_1142_Hypo_3.5_Limno.Sample.20160505",2020-06-15,2020-06-15 11:42:00,"Hypo",3.5,3.5,"RN and CS","overcast","Deck PAR 443.2 installed new DeepHole buoy old DeepHole buoy a few inches underwater could not find","Color.20110601","samplecolor.20210505"
"17","BR","BR_DeepHole","BR_DeepHole_20200615_1142_PML_2_Limno.Sample.20160505",2020-06-15,2020-06-15 11:42:00,"PML",0,2,"RN and CS","overcast","Deck PAR 443.2 installed new DeepHole buoy old DeepHole buoy a few inches underwater could not find","Color.20110601","samplecolor.20210505"
"17","BR","BR_DeepHole","BR_DeepHole_20200727_0925_Hypo_4_Limno.Sample.20160505",2020-07-27,2020-07-27 09:25:00,"Hypo",4,4,"RN and CS","sunny breezy","Deck PAR 1360.2 and bottom at 5.25","Color.20110601","samplecolor.20210505"
"17","BR","BR_DeepHole","BR_DeepHole_20200727_0925_PML_2_Limno.Sample.20160505",2020-07-27,2020-07-27 09:25:00,"PML",0,2,"RN and CS","sunny breezy","Deck PAR 1360.2 and bottom at 5.25","Color.20110601","samplecolor.20210505"
"17","CB","CB_DeepHole","CB_DeepHole_20200701_0909_Hypo_3_Limno.Sample.20160505",2020-07-01,2020-07-01 09:09:00,"Hypo",3,3,"RN and CS","sunny hot","Deck PAR 847.2 and should adjust depth table to be shallower","Color.20110601","samplecolor.20210505"
"17","CB","CB_DeepHole","CB_DeepHole_20200701_0909_PML_0.5_Limno.Sample.20160505",2020-07-01,2020-07-01 09:09:00,"PML",0,0.5,"RN and CS","sunny hot","Deck PAR 847.2 and should adjust depth table to be shallower","Color.20110601","samplecolor.20210505"
"17","CB","CB_DeepHole","CB_DeepHole_20200812_0915_Hypo_3_Limno.Sample.20160505",2020-08-12,2020-08-12 09:15:00,"Hypo",3,3,"RN and CS","sunny warm","Deck PAR 1176.1","Color.20110601","samplecolor.20210505"
"17","CB","CB_DeepHole","CB_DeepHole_20200812_0915_PML_0.5_Limno.Sample.20160505",2020-08-12,2020-08-12 09:15:00,"PML",0,0.5,"RN and CS","sunny warm","Deck PAR 1176.1","Color.20110601","samplecolor.20210505"
"15","CR","CR_DeepHole","CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505",2020-06-11,2020-06-11 09:30:00,"Hypo",8,8,"RN and CS","windy partly cloudy","DeckPAR 1091.4 and profile stopped at 2 percent due to abrupt full cloud cover","Color.20110601","samplecolor.20210505"
"15","CR","CR_DeepHole","CR_DeepHole_20200611_0930_PML_2.5_Limno.Sample.20160505",2020-06-11,2020-06-11 09:30:00,"PML",0,2.5,"RN and CS","windy partly cloudy","DeckPAR 1091.4 and profile stopped at 2 percent due to abrupt full cloud cover","Color.20110601","samplecolor.20210505"
"15","CR","CR_DeepHole","CR_DeepHole_20200625_1006_Hypo_11_Limno.Sample.20160505",2020-06-25,2020-06-25 10:06:00,"Hypo",11,11,"RN and CS","full sun breezy","Deck PAR: 1183.2","Color.20110601","samplecolor.20210505"
"15","CR","CR_DeepHole","CR_DeepHole_20200625_1006_PML_2.5_Limno.Sample.20160505",2020-06-25,2020-06-25 10:06:00,"PML",0,2.5,"RN and CS","full sun breezy","Deck PAR: 1183.2","Color.20110601","samplecolor.20210505"
"15","CR","CR_DeepHole","CR_DeepHole_20200710_1025_Hypo_7.5_Limno.Sample.20160505",2020-07-10,2020-07-10 10:25:00,"Hypo",7.5,7.5,"RN and CS","sunny partly cloudy","Deck PAR 1466.5 DO calibration successful after membrane change ","Color.20110601","samplecolor.20210505"
"15","CR","CR_DeepHole","CR_DeepHole_20200710_1025_PML_2.5_Limno.Sample.20160505",2020-07-10,2020-07-10 10:25:00,"PML",0,2.5,"RN and CS","sunny partly cloudy","Deck PAR 1466.5 DO calibration successful after membrane change ","Color.20110601","samplecolor.20210505"
"15","CR","CR_DeepHole","CR_DeepHole_20200723_1030_Hypo_8_Limno.Sample.20160505",2020-07-23,2020-07-23 10:30:00,"Hypo",8,8,"RN and CS","full cloud","Deck PAR 681.3 and DO sensors not working and bottom at 13.75m","Color.20110601","samplecolor.20210505"
"15","CR","CR_DeepHole","CR_DeepHole_20200723_1030_PML_3.5_Limno.Sample.20160505",2020-07-23,2020-07-23 10:30:00,"PML",0,3.5,"RN and CS","full cloud","Deck PAR 681.3 and DO sensors not working and bottom at 13.75m","Color.20110601","samplecolor.20210505"
"15","CR","CR_DeepHole","CR_DeepHole_20200806_0922_Hypo_8_Limno.Sample.20160505",2020-08-06,2020-08-06 09:22:00,"Hypo",8,8,"RN and CS","sunny","Deck PAR 1343.4","Color.20110601","samplecolor.20210505"
"15","CR","CR_DeepHole","CR_DeepHole_20200806_0922_PML_3.5_Limno.Sample.20160505",2020-08-06,2020-08-06 09:22:00,"PML",0,3.5,"RN and CS","sunny","Deck PAR 1343.4","Color.20110601","samplecolor.20210505"
"15","CR","CR_DeepHole","CR_DeepHole_20200817_0930_Hypo_8_Limno.Sample.20160505",2020-08-17,2020-08-17 09:30:00,"Hypo",8,8,"RN","sunny breezy 70F","Deck PAR 1190.4","Color.20110601","samplecolor.20210505"
"15","CR","CR_DeepHole","CR_DeepHole_20200817_0930_PML_3_Limno.Sample.20160505",2020-08-17,2020-08-17 09:30:00,"PML",0,3,"RN","sunny breezy 70F","Deck PAR 1190.4","Color.20110601","samplecolor.20210505"
"15","CR","CR_Outlet","CR_Outlet_20200611_0930_Surface_0_Limno.Sample.20160505",2020-06-11,2020-06-11 09:30:00,"Surface",0,0,"RN and CS","windy partly cloudy","DeckPAR 1091.4 and profile stopped at 2 percent due to abrupt full cloud cover","Color.20110601","samplecolor.20210505"
"15","CR","CR_Outlet","CR_Outlet_20200625_1006_Surface_0_Limno.Sample.20160505",2020-06-25,2020-06-25 10:06:00,"Surface",0,0,"RN and CS","full sun breezy","Deck PAR: 1183.2","Color.20110601","samplecolor.20210505"
"15","CR","CR_Outlet","CR_Outlet_20200710_1025_Surface_0_Limno.Sample.20160505",2020-07-10,2020-07-10 10:25:00,"Surface",0,0,"RN and CS","sunny partly cloudy","Deck PAR 1466.5 DO calibration successful after membrane change ","Color.20110601","samplecolor.20210505"
"15","CR","CR_Outlet","CR_Outlet_20200723_1030_Surface_0_Limno.Sample.20160505",2020-07-23,2020-07-23 10:30:00,"Surface",0,0,"RN and CS","full cloud","Deck PAR 681.3 and DO sensors not working and bottom at 13.75m","Color.20110601","samplecolor.20210505"
"15","CR","CR_Outlet","CR_Outlet_20200806_0922_Surface_0_Limno.Sample.20160505",2020-08-06,2020-08-06 09:22:00,"Surface",0,0,"RN and CS","sunny","Deck PAR 1343.4","Color.20110601","samplecolor.20210505"
"15","CR","CR_Outlet","CR_Outlet_20200817_0930_Surface_0_Limno.Sample.20160505",2020-08-17,2020-08-17 09:30:00,"Surface",0,0,"RN","sunny breezy 70F","Deck PAR 1190.4","Color.20110601","samplecolor.20210505"
"3","FE","FE_DeepHole","FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505",2020-06-04,2020-06-04 10:45:00,"Hypo",8,8,"BB and RN","sunny and breezy","Deck PAR 1143.9","Color.20110601","samplecolor.20210505"
"3","FE","FE_DeepHole","FE_DeepHole_20200604_1045_PML_0.5_Limno.Sample.20160505",2020-06-04,2020-06-04 10:45:00,"PML",0,0.5,"BB and RN","sunny and breezy","Deck PAR 1143.9","Color.20110601","samplecolor.20210505"
"3","FE","FE_DeepHole","FE_DeepHole_20200609_1148_Hypo_8_Limno.Sample.20160505",2020-06-09,2020-06-09 11:48:00,"Hypo",8,8,"RN and CS","sunny misty clouds","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir","Color.20110601","samplecolor.20210505"
"3","FE","FE_DeepHole","FE_DeepHole_20200609_1148_PML_0.5_Limno.Sample.20160505",2020-06-09,2020-06-09 11:48:00,"PML",0,0.5,"RN and CS","sunny misty clouds","DeckPAR 1234.6 PML at 0 and 0.5 m inlet wet but not flowing through weir","Color.20110601","samplecolor.20210505"
"3","FE","FE_DeepHole","FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505",2020-06-16,2020-06-16 10:35:00,"Hypo",8,8,"RN and CS","sunny and windy","Deck PAR at 1292.8 and minidot in bag at 11:13 out before 11:38","Color.20110601","samplecolor.20210505"
"3","FE","FE_DeepHole","FE_DeepHole_20200616_1035_PML_1.5_Limno.Sample.20160505",2020-06-16,2020-06-16 10:35:00,"PML",0,1.5,"RN and CS","sunny and windy","Deck PAR at 1292.8 and minidot in bag at 11:13 out before 11:38","Color.20110601","samplecolor.20210505"
"3","FE","FE_DeepHole","FE_DeepHole_20200623_1125_Hypo_8_Limno.Sample.20160505",2020-06-23,2020-06-23 11:25:00,"Hypo",8,8,"RN and CS","Full Cloud","Deck PAR 259.7","Color.20110601","samplecolor.20210505"
"3","FE","FE_DeepHole","FE_DeepHole_20200623_1125_PML_1.5_Limno.Sample.20160505",2020-06-23,2020-06-23 11:25:00,"PML",0,1.5,"RN and CS","Full Cloud","Deck PAR 259.7","Color.20110601","samplecolor.20210505"
"3","FE","FE_DeepHole","FE_DeepHole_20200630_1130_Hypo_8_Limno.Sample.20160505",2020-06-30,2020-06-30 11:30:00,"Hypo",8,8,"RN and CS","sunny hot","No light meter will not stay on ","Color.20110601","samplecolor.20210505"
"3","FE","FE_DeepHole","FE_DeepHole_20200630_1130_PML_1_Limno.Sample.20160505",2020-06-30,2020-06-30 11:30:00,"PML",0,1,"RN and CS","sunny hot","No light meter will not stay on ","Color.20110601","samplecolor.20210505"
"3","FE","FE_DeepHole","FE_DeepHole_20200707_1130_Hypo_8_Limno.Sample.20160505",2020-07-07,2020-07-07 11:30:00,"Hypo",8,8,"RN and CS","sunny hot sticky","no deck PAR light meter broken and inlet dry","Color.20110601","samplecolor.20210505"
