"projectID","lakeID","siteID","sampleID","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","crew","weather","comments","metadataID","updateID"
"17","BA","BA_DeepHole","BA_DeepHole_20190613_0832_point_0.25_Limno.Sample.20160505",2019-06-13,2019-06-13 08:32:00,"point",0.25,0.25,"SL and GM","windy and sunny and about 60 degrees F","deck PAR 1059.7","Limno.Sample.20160505","sampleLimno.20210505"
"17","BA","BA_DeepHole","BA_DeepHole_20190613_0832_point_0.5_Limno.Sample.20160505",2019-06-13,2019-06-13 08:32:00,"point",0.5,0.5,"SL and GM","windy and sunny and about 60 degrees F","deck PAR 1059.7","Limno.Sample.20160505","sampleLimno.20210505"
"17","BA","BA_DeepHole","BA_DeepHole_20190613_0832_point_0.75_Limno.Sample.20160505",2019-06-13,2019-06-13 08:32:00,"point",0.75,0.75,"SL and GM","windy and sunny and about 60 degrees F","deck PAR 1059.7","Limno.Sample.20160505","sampleLimno.20210505"
"17","BA","BA_DeepHole","BA_DeepHole_20190613_0832_point_0_Limno.Sample.20160505",2019-06-13,2019-06-13 08:32:00,"point",0,0,"SL and GM","windy and sunny and about 60 degrees F","deck PAR 1059.7","Limno.Sample.20160505","sampleLimno.20210505"
"17","BA","BA_DeepHole","BA_DeepHole_20190613_0832_point_1.5_Limno.Sample.20160505",2019-06-13,2019-06-13 08:32:00,"point",1.5,1.5,"SL and GM","windy and sunny and about 60 degrees F","deck PAR 1059.7","Limno.Sample.20160505","sampleLimno.20210505"
"17","BA","BA_DeepHole","BA_DeepHole_20190613_0832_point_1_Limno.Sample.20160505",2019-06-13,2019-06-13 08:32:00,"point",1,1,"SL and GM","windy and sunny and about 60 degrees F","deck PAR 1059.7","Limno.Sample.20160505","sampleLimno.20210505"
"17","BA","BA_DeepHole","BA_DeepHole_20190613_0832_point_10_Limno.Sample.20160505",2019-06-13,2019-06-13 08:32:00,"point",10,10,"SL and GM","windy and sunny and about 60 degrees F","deck PAR 1059.7","Limno.Sample.20160505","sampleLimno.20210505"
"17","BA","BA_DeepHole","BA_DeepHole_20190613_0832_point_11_Limno.Sample.20160505",2019-06-13,2019-06-13 08:32:00,"point",11,11,"SL and GM","windy and sunny and about 60 degrees F","deck PAR 1059.7","Limno.Sample.20160505","sampleLimno.20210505"
"17","BA","BA_DeepHole","BA_DeepHole_20190613_0832_point_12_Limno.Sample.20160505",2019-06-13,2019-06-13 08:32:00,"point",12,12,"SL and GM","windy and sunny and about 60 degrees F","deck PAR 1059.7","Limno.Sample.20160505","sampleLimno.20210505"
"17","BA","BA_DeepHole","BA_DeepHole_20190613_0832_point_13_Limno.Sample.20160505",2019-06-13,2019-06-13 08:32:00,"point",13,13,"SL and GM","windy and sunny and about 60 degrees F","deck PAR 1059.7","Limno.Sample.20160505","sampleLimno.20210505"
"17","BA","BA_DeepHole","BA_DeepHole_20190613_0832_point_14_Limno.Sample.20160505",2019-06-13,2019-06-13 08:32:00,"point",14,14,"SL and GM","windy and sunny and about 60 degrees F","deck PAR 1059.7","Limno.Sample.20160505","sampleLimno.20210505"
