"projectID","lakeID","siteID","sampleID","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","crew","weather","comments","metadataID","updateID"
37,"AQ","AQ_DeepHole","AQ_DeepHole_20190823_1330_Surface_0_fishScapesLimno.20190319",2019-08-23,2019-08-23 13:30:00,"Surface",0,0,"BB and RN","0% clouds no rain","Water chem pull only","Nutrients.20110601","sampleNutrients.20210505"
37,"AQ","AQ_DeepHole","AQ_DeepHole_20190823_1330_Surface_0_fishScapesLimno.20190319",2019-08-23,2019-08-23 13:30:00,"Surface",0,0,"BB and RN","0% clouds no rain","Water chem pull only","Iso.POC.CEST.20121206","sampleNutrients.20210505"
37,"AQ","AQ_DeepHole","AQ_DeepHole_20190823_1330_Surface_0_fishScapesLimno.20190319",2019-08-23,2019-08-23 13:30:00,"Surface",0,0,"BB and RN","0% clouds no rain","Water chem pull only","Iso.POC.CEST.20121206","sampleNutrients.20210505"
37,"AV","AV_DeepHole","AV_DeepHole_20190818_1150_Surface_0_fishScapesLimno.20190319",2019-08-18,2019-08-18 11:50:00,"Surface",0,0,"CD and AA and CM","100% clouds light rain","Water chem pull only","Nutrients.20110601","sampleNutrients.20210505"
37,"AV","AV_DeepHole","AV_DeepHole_20190818_1150_Surface_0_fishScapesLimno.20190319",2019-08-18,2019-08-18 11:50:00,"Surface",0,0,"CD and AA and CM","100% clouds light rain","Water chem pull only","Iso.POC.CEST.20121206","sampleNutrients.20210505"
37,"AV","AV_DeepHole","AV_DeepHole_20190818_1150_Surface_0_fishScapesLimno.20190319",2019-08-18,2019-08-18 11:50:00,"Surface",0,0,"CD and AA and CM","100% clouds light rain","Water chem pull only","Iso.POC.CEST.20121206","sampleNutrients.20210505"
17,"BA","BA_DeepHole","BA_DeepHole_20190613_0832_Hypo_8_Limno.Sample.20160505",2019-06-13,2019-06-13 08:32:00,"Hypo",8,8,"SL and GM","windy and sunny and about 60 degrees F","deck PAR 1059.7","Iso.POC.CEST.20121206","sampleNutrients.20210505"
17,"BA","BA_DeepHole","BA_DeepHole_20190613_0832_Hypo_8_Limno.Sample.20160505",2019-06-13,2019-06-13 08:32:00,"Hypo",8,8,"SL and GM","windy and sunny and about 60 degrees F","deck PAR 1059.7","Iso.POC.CEST.20121206","sampleNutrients.20210505"
17,"BA","BA_DeepHole","BA_DeepHole_20190613_0832_Hypo_8_Limno.Sample.20160505",2019-06-13,2019-06-13 08:32:00,"Hypo",8,8,"SL and GM","windy and sunny and about 60 degrees F","deck PAR 1059.7","Nutrients.20110601","sampleNutrients.20210505"
17,"BA","BA_DeepHole","BA_DeepHole_20190613_0832_PML_2_Limno.Sample.20160505",2019-06-13,2019-06-13 08:32:00,"PML",0,2,"SL and GM","windy and sunny and about 60 degrees F","deck PAR 1059.7","Nutrients.20110601","sampleNutrients.20210505"
17,"BA","BA_DeepHole","BA_DeepHole_20190613_0832_PML_2_Limno.Sample.20160505",2019-06-13,2019-06-13 08:32:00,"PML",0,2,"SL and GM","windy and sunny and about 60 degrees F","deck PAR 1059.7","Iso.POC.CEST.20121206","sampleNutrients.20210505"
17,"BA","BA_DeepHole","BA_DeepHole_20190613_0832_PML_2_Limno.Sample.20160505",2019-06-13,2019-06-13 08:32:00,"PML",0,2,"SL and GM","windy and sunny and about 60 degrees F","deck PAR 1059.7","Iso.POC.CEST.20121206","sampleNutrients.20210505"
17,"BA","BA_DeepHole","BA_DeepHole_20190725_0925_Hypo_6.5_Limno.Sample.20160505",2019-07-25,2019-07-25 09:25:00,"Hypo",6.5,6.5,"CT and GM","windy sunny and about 70 degrees F","DeckPAR 1603.6","Nutrients.20110601","sampleNutrients.20210505"
17,"BA","BA_DeepHole","BA_DeepHole_20190725_0925_Hypo_6.5_Limno.Sample.20160505",2019-07-25,2019-07-25 09:25:00,"Hypo",6.5,6.5,"CT and GM","windy sunny and about 70 degrees F","DeckPAR 1603.6","Iso.POC.CEST.20121206","sampleNutrients.20210505"
17,"BA","BA_DeepHole","BA_DeepHole_20190725_0925_Hypo_6.5_Limno.Sample.20160505",2019-07-25,2019-07-25 09:25:00,"Hypo",6.5,6.5,"CT and GM","windy sunny and about 70 degrees F","DeckPAR 1603.6","Iso.POC.CEST.20121206","sampleNutrients.20210505"
17,"BA","BA_DeepHole","BA_DeepHole_20190725_0925_PML_3_Limno.Sample.20160505",2019-07-25,2019-07-25 09:25:00,"PML",0,3,"CT and GM","windy sunny and about 70 degrees F","DeckPAR 1603.6","Nutrients.20110601","sampleNutrients.20210505"
17,"BA","BA_DeepHole","BA_DeepHole_20190725_0925_PML_3_Limno.Sample.20160505",2019-07-25,2019-07-25 09:25:00,"PML",0,3,"CT and GM","windy sunny and about 70 degrees F","DeckPAR 1603.6","Iso.POC.CEST.20121206","sampleNutrients.20210505"
