"projectID","lakeID","sampleID","dateSample","parameter","parameterValue","QCcode","flag","comments","metadataID","updateID"
3,"FE","FE_DeepHole_20190508_1220_Hypo_8_Limno.Sample.20160505","2019-05-08","particulateP",18.0795587916784,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210505"
3,"FE","FE_DeepHole_20190508_1220_Hypo_8_Limno.Sample.20160505","2019-05-08","POC",0.567,NA,"0",NA,"Iso.POC.CEST.20121206","tableNutrients.20210505"
3,"FE","FE_DeepHole_20190508_1220_Hypo_8_Limno.Sample.20160505","2019-05-08","PON",0.082,NA,"0",NA,"Iso.POC.CEST.20121206","tableNutrients.20210505"
3,"FE","FE_DeepHole_20190508_1220_PML_0.5_Limno.Sample.20160505","2019-05-08","particulateP",23.5007822408882,NA,"1","failed QA/QC range check; rerun within 20% of original reading; average reported","Nutrients.20110601","tableNutrients.20210505"
3,"FE","FE_DeepHole_20190508_1220_PML_0.5_Limno.Sample.20160505","2019-05-08","POC",1.475,NA,"0",NA,"Iso.POC.CEST.20121206","tableNutrients.20210505"
3,"FE","FE_DeepHole_20190508_1220_PML_0.5_Limno.Sample.20160505","2019-05-08","PON",0.21,NA,"0",NA,"Iso.POC.CEST.20121206","tableNutrients.20210505"
3,"FE","FE_Inlet1_20190508_1220_Surface_0_Limno.Sample.20160505","2019-05-08","particulateP",2.79568535850246,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210505"
3,"FE","FE_Inlet1_20190508_1220_Surface_0_Limno.Sample.20160505","2019-05-08","POC",0.433,NA,"0",NA,"Iso.POC.CEST.20121206","tableNutrients.20210505"
3,"FE","FE_Inlet1_20190508_1220_Surface_0_Limno.Sample.20160505","2019-05-08","PON",0.085,NA,"0",NA,"Iso.POC.CEST.20121206","tableNutrients.20210505"
3,"WL","WL_DeepHole_20190508_1100_Hypo_8_Limno.Sample.20160505","2019-05-08","particulateP",20.070034140994,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210505"
3,"WL","WL_DeepHole_20190508_1100_Hypo_8_Limno.Sample.20160505","2019-05-08","POC",0.526,NA,"0",NA,"Iso.POC.CEST.20121206","tableNutrients.20210505"
3,"WL","WL_DeepHole_20190508_1100_Hypo_8_Limno.Sample.20160505","2019-05-08","PON",0.081,NA,"0",NA,"Iso.POC.CEST.20121206","tableNutrients.20210505"
3,"WL","WL_DeepHole_20190508_1100_PML_1_Limno.Sample.20160505","2019-05-08","particulateP",11.8232906242892,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210505"
3,"WL","WL_DeepHole_20190508_1100_PML_1_Limno.Sample.20160505","2019-05-08","POC",1.31,NA,"0",NA,"Iso.POC.CEST.20121206","tableNutrients.20210505"
3,"WL","WL_DeepHole_20190508_1100_PML_1_Limno.Sample.20160505","2019-05-08","PON",0.159,NA,"0",NA,"Iso.POC.CEST.20121206","tableNutrients.20210505"
3,"FE","FE_DeepHole_20190513_1020_Hypo_8_Limno.Sample.20160505","2019-05-13","particulateP",8.67319954981836,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210505"
3,"FE","FE_DeepHole_20190513_1020_Hypo_8_Limno.Sample.20160505","2019-05-13","POC",1,NA,"0",NA,"Iso.POC.CEST.20121206","tableNutrients.20210505"
3,"FE","FE_DeepHole_20190513_1020_Hypo_8_Limno.Sample.20160505","2019-05-13","PON",0.114,NA,"0",NA,"Iso.POC.CEST.20121206","tableNutrients.20210505"
3,"FE","FE_DeepHole_20190513_1020_PML_0.5_Limno.Sample.20160505","2019-05-13","particulateP",13.1079639422176,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210505"
3,"FE","FE_DeepHole_20190513_1020_PML_0.5_Limno.Sample.20160505","2019-05-13","POC",1.412,NA,"0",NA,"Iso.POC.CEST.20121206","tableNutrients.20210505"
3,"FE","FE_DeepHole_20190513_1020_PML_0.5_Limno.Sample.20160505","2019-05-13","PON",0.156,NA,"0",NA,"Iso.POC.CEST.20121206","tableNutrients.20210505"
3,"FE","FE_Inlet1_20190513_1020_Surface_0_Limno.Sample.20160505","2019-05-13","particulateP",4.30029903935516,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210505"
3,"FE","FE_Inlet1_20190513_1020_Surface_0_Limno.Sample.20160505","2019-05-13","POC",0.703,NA,"0",NA,"Iso.POC.CEST.20121206","tableNutrients.20210505"
3,"FE","FE_Inlet1_20190513_1020_Surface_0_Limno.Sample.20160505","2019-05-13","PON",0.068,NA,"0",NA,"Iso.POC.CEST.20121206","tableNutrients.20210505"
3,"WL","WL_DeepHole_20190513_0925_Hypo_8_Limno.Sample.20160505","2019-05-13","particulateP",15.7280516527797,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210505"
3,"WL","WL_DeepHole_20190513_0925_Hypo_8_Limno.Sample.20160505","2019-05-13","POC",1.114,NA,"0",NA,"Iso.POC.CEST.20121206","tableNutrients.20210505"
3,"WL","WL_DeepHole_20190513_0925_Hypo_8_Limno.Sample.20160505","2019-05-13","PON",0.129,NA,"0",NA,"Iso.POC.CEST.20121206","tableNutrients.20210505"
3,"WL","WL_DeepHole_20190513_0925_PML_1.5_Limno.Sample.20160505","2019-05-13","particulateP",9.67105199277268,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210505"
3,"WL","WL_DeepHole_20190513_0925_PML_1.5_Limno.Sample.20160505","2019-05-13","POC",1.051,NA,"0",NA,"Iso.POC.CEST.20121206","tableNutrients.20210505"
