"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","waterHeight","waterHeightUnits","waterHeight_m","metadataID","comments","updateID"
15,"CR_Outlet_20200611_0930_Staff_0_Limno.Sample.20160505","CR","Outlet",2020-06-11,2020-06-11 09:30:00,"Staff",0,0,12.8,"cm",0.128,"Staff.Gauge.Sample.20140319",NA,"tableStaff.20210505"
15,"CR_Outlet_20200625_1006_Staff_0_Limno.Sample.20160505","CR","Outlet",2020-06-25,2020-06-25 10:06:00,"Staff",0,0,4.8,"cm",0.048,"Staff.Gauge.Sample.20140319",NA,"tableStaff.20210505"
15,"CR_Outlet_20200710_1025_Staff_0_Limno.Sample.20160505","CR","Outlet",2020-07-10,2020-07-10 10:25:00,"Staff",0,0,8.3,"cm",0.083,"Staff.Gauge.Sample.20140319",NA,"tableStaff.20210505"
15,"CR_Outlet_20200723_1030_Staff_0_Limno.Sample.20160505","CR","Outlet",2020-07-23,2020-07-23 10:30:00,"Staff",0,0,8.6,"cm",0.086,"Staff.Gauge.Sample.20140319",NA,"tableStaff.20210505"
15,"CR_Outlet_20200806_0922_Staff_0_Limno.Sample.20160505","CR","Outlet",2020-08-06,2020-08-06 09:22:00,"Staff",0,0,7.6,"cm",0.076,"Staff.Gauge.Sample.20140319",NA,"tableStaff.20210505"
15,"CR_Outlet_20200817_0930_Staff_0_Limno.Sample.20160505","CR","Outlet",2020-08-17,2020-08-17 09:30:00,"Staff",0,0,6.9,"cm",0.069,"Staff.Gauge.Sample.20140319",NA,"tableStaff.20210505"
15,"CR_WholeLake_20200611_0930_Staff_0_Limno.Sample.20160505","CR","WholeLake",2020-06-11,2020-06-11 09:30:00,"Staff",0,0,2.48,"ft",0.755904,"Staff.Gauge.Sample.20140319",NA,"tableStaff.20210505"
3,"FE_Inlet1_20200604_1045_Staff_0_Limno.Sample.20160505","FE","Inlet1",2020-06-04,2020-06-04 10:45:00,"Staff",0,0,0.9,"cm",0.009,"Staff.Gauge.Sample.20140319",NA,"tableStaff.20210505"
3,"FE_Inlet1_20200616_1035_Staff_0_Limno.Sample.20160505","FE","Inlet1",2020-06-16,2020-06-16 10:35:00,"Staff",0,0,3.6,"cm",0.036,"Staff.Gauge.Sample.20140319",NA,"tableStaff.20210505"
3,"FE_Inlet1_20200623_1125_Staff_0_Limno.Sample.20160505","FE","Inlet1",2020-06-23,2020-06-23 11:25:00,"Staff",0,0,1.2,"cm",0.012,"Staff.Gauge.Sample.20140319",NA,"tableStaff.20210505"
