Run Number:,reruns,Date:,20210419,...5,Initials:,RN,...8,...9,...10
ENTER SCAN DATA HERE,Sample Name,,,,,,1,2,3
Wavelength,0,200,400,600,800,1000,F81,F82,F103
200,7.0000000000000001E-3,0.148,0.265,0.397,0.552,0.699,1.964,0.82099999999999995,2.7519999999999998
205,1.4999999999999999E-2,0.15,0.265,0.392,0.541,0.683,1.8979999999999999,0.755,2.6520000000000001
210,1.7000000000000001E-2,0.132,0.229,0.339,0.469,0.592,1.81,0.69199999999999995,2.5489999999999999
215,1.7000000000000001E-2,0.102,0.172,0.251,0.347,0.437,1.7,0.625,2.4
220,1.6E-2,0.071,0.112,0.164,0.227,0.284,1.5980000000000001,0.54600000000000004,2.262
225,1.6E-2,0.045,0.062,0.088,0.122,0.15,1.4950000000000001,0.50600000000000001,2.1190000000000002
238,1.4999999999999999E-2,0.019,0.014,0.017,0.023,0.025,1.262,0.40500000000000003,1.7869999999999999
250,0.01,0.012,0.006,0.007,0.01,0.01,1.1140000000000001,0.35299999999999998,1.5660000000000001
,,,,,,,,,
COEFFICIENTS OF 3RD-ORDER POLYNOMIAL (c3*x^3)+(c2*x^2)+c1*x)+b,,,,,,,,,
c3,3.597563226305941E-7,0.0000028721772313734,0.00000544317176247914,0.00000793053463810271,0.0000108467554524368,0.0000137842984536318,5.4193576885623773E-6,1.2572608822400676E-6,7.2755239256247278E-6
c2,-2.5475294028820712E-4,-0.0018887772084482,-0.00356856345409301,-0.00518935961567053,-0.00709316695771716,-0.00901112055857742,-3.587575864335852E-3,-7.1476666632204499E-4,-4.850821701789217E-3
c1,5.981593671889656E-2,0.409143646165411,0.770448028156354,1.11780603776122,1.52669517594303,1.93879677540964,0.77089011047505684,0.12051583698881646,1.0496244672228097
b,-4.6426032287372738,-29.1000827051245,-54.6147470429146,-79.0160033547508,-107.810430197147,-136.859900903495,-52.060725315956361,-4.7458881296436299,-71.342258623023682
,,,,,,,,,
MAXIMUM OF DOUBLE DERIVATIVE,,,,,,,,,
THIS IS THE VALUE YOU USE FOR EACH SAMPLE,,,,,,,,,
