Run Number:,1,...3,Date:,20201110,...6,Initials:,RN,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56,...57,...58,...59,...60,...61,...62,...63,...64,...65,...66,...67,...68,...69,...70,...71,...72,...73
ENTER SCAN DATA HERE,Sample Name,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Wavelength,0,100,200,400,600,800,1000,81,54,44,76,56,66,39,17,34,48,41,59,47,13,31,49,25,60,43,42,45,50,65,32,82,20,61,6,46,36,38,37,11,52,40,55,23,14,8,58,18,35,53,33,9,12,15,5,7,26,51,19,1,2,3,16,21,30,10,28,27,22,24,29,4
200,6.7000000000000004E-2,0.125,0.19,0.316,0.448,0.589,0.728,2.079,0.504,0.387,1.57,2.027,0.719,2.609,0.542,0.691,0.816,0.529,0.589,0.939,0.68,2.226,2.107,0.346,1.118,0.283,0.305,0.46,3.665,0.588,2.647,0.926,2.079,0.6,3.961,1.203,0.388,1.444,1.111,1.649,1.414,0.516,0.482,1.115,1.039,1.863,2.086,0.562,0.407,2.774,0.774,3.818,0.729,1.449,1.534,0.673,0.352,1.05,1.751,2.422,0.505,0.541,2.7,1.827,0.789,0.636,1.144,0.332,0.594,0.691,0.866,1.146
205,4.9000000000000002E-2,0.11,0.175,0.298,0.428,0.564,0.699,1.998,0.463,0.344,1.522,1.981,0.668,2.566,0.502,0.618,0.731,0.487,0.55,0.868,0.621,2.163,2.037,0.305,1.083,0.246,0.263,0.415,3.43,0.541,2.591,0.837,2.029,0.561,3.671,1.126,0.349,1.404,1.07,1.606,1.374,0.476,0.446,1.078,0.998,1.799,2.038,0.522,0.367,2.725,0.695,3.56,0.664,1.41,1.492,0.603,0.316,1.009,1.702,2.351,0.464,0.496,2.657,1.787,0.708,0.534,1.071,0.295,0.55,0.652,0.794,1.106
210,0.04,0.094,0.152,0.257,0.368,0.485,0.603,1.901,0.425,0.308,1.458,1.901,0.624,2.482,0.463,0.567,0.67,0.452,0.51,0.809,0.574,2.066,1.941,0.273,1.034,0.219,0.231,0.38,3.407,0.498,2.488,0.768,1.947,0.521,3.765,1.056,0.318,1.345,1.018,1.539,1.318,0.438,0.414,1.028,0.946,1.718,1.956,0.485,0.333,2.64,0.639,3.53,0.614,1.352,1.428,0.556,0.286,0.958,1.627,2.254,0.425,0.457,2.579,1.714,0.65,0.486,1.005,0.265,0.509,0.611,0.744,1.052
215,3.4000000000000002E-2,0.075,0.119,0.196,0.279,0.365,0.452,1.785,0.391,0.28,1.376,1.798,0.579,2.358,0.426,0.524,0.613,0.42,0.472,0.753,0.529,1.942,1.823,0.247,0.976,0.198,0.207,0.353,3.258,0.459,2.349,0.698,1.838,0.483,3.778,0.986,0.292,1.272,0.958,1.453,1.248,0.404,0.386,0.969,0.889,1.614,1.849,0.451,0.305,2.51,0.59,3.388,0.569,1.279,1.349,0.517,0.261,0.9,1.535,2.124,0.392,0.423,2.455,1.621,0.598,0.457,0.938,0.241,0.47,0.568,0.7,0.99
220,2.9000000000000001E-2,0.055,0.084,0.13,0.181,0.236,0.291,1.671,0.362,0.256,1.289,1.694,0.539,2.223,0.395,0.486,0.558,0.392,0.438,0.699,0.488,1.818,1.706,0.226,0.919,0.181,0.187,0.33,3.102,0.425,2.205,0.628,1.726,0.449,3.769,0.921,0.269,1.199,0.9,1.364,1.177,0.374,0.36,0.911,0.835,1.506,1.741,0.42,0.28,2.368,0.546,3.209,0.527,1.204,1.269,0.481,0.24,0.845,1.443,1.991,0.362,0.391,2.319,1.528,0.551,0.432,0.875,0.221,0.436,0.528,0.658,0.93
225,2.5999999999999999E-2,0.039,0.055,0.076,0.102,0.131,0.16,1.566,0.336,0.235,1.206,1.594,0.504,2.091,0.366,0.453,0.513,0.366,0.41,0.652,0.452,1.704,1.597,0.207,0.865,0.166,0.17,0.308,2.918,0.395,2.072,0.569,1.619,0.42,3.624,0.862,0.249,1.129,0.846,1.28,1.109,0.348,0.336,0.858,0.784,1.405,1.639,0.392,0.257,2.23,0.509,3.03,0.492,1.133,1.193,0.45,0.221,0.794,1.357,1.867,0.334,0.364,2.183,1.438,0.513,0.411,0.818,0.202,0.407,0.494,0.62,0.874
238,1.7999999999999999E-2,0.02,0.024,0.02,0.021,0.024,0.028,1.316,0.276,0.19,0.999,1.345,0.413,1.757,0.302,0.374,0.416,0.306,0.34,0.541,0.373,1.43,1.342,0.168,0.733,0.134,0.135,0.259,2.487,0.32,1.739,0.454,1.361,0.348,3.364,0.722,0.203,0.958,0.715,1.084,0.942,0.287,0.28,0.726,0.663,1.158,1.38,0.327,0.209,1.876,0.42,2.534,0.408,0.962,1.01,0.376,0.179,0.671,1.143,1.556,0.275,0.301,1.842,1.213,0.422,0.354,0.685,0.164,0.336,0.41,0.527,0.74
250,1.4E-2,0.015,0.018,0.013,0.012,0.013,0.014,1.163,0.243,0.167,0.873,1.189,0.361,1.549,0.266,0.332,0.365,0.272,0.301,0.474,0.33,1.256,1.181,0.146,0.649,0.116,0.117,0.232,2.196,0.28,1.524,0.397,1.198,0.307,3.063,0.638,0.178,0.849,0.633,0.961,0.835,0.253,0.249,0.643,0.588,1.01,1.219,0.29,0.184,1.655,0.372,2.225,0.361,0.852,0.897,0.335,0.157,0.594,1.008,1.376,0.243,0.266,1.63,1.072,0.369,0.324,0.603,0.143,0.297,0.361,0.47,0.658
