Run Number:,3,...3,Date:,20201113,...6,Initials:,RN,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56,...57,...58,...59,...60,...61,...62,...63,...64,...65,...66,...67,...68,...69,...70,...71,...72
ENTER SCAN DATA HERE,Sample Name,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
Wavelength,0,100,200,400,600,800,1000,179,186,178,182,177,187,167,184,173,163,175,166,181,169,176,164,188,168,171,180,189,190,191,170,165,172,183,174,185,156,193,160,151,147,158,192,149,148,143,161,162,152,155,136,153,144,145,146,139,150,157,154,131,140,141,142,135,132,133,134,130,159,137,138
200,2.9000000000000001E-2,0.106,0.184,0.31,0.441,0.583,0.72,0.779,3.071,0.249,0.488,0.234,0.483,1.12,1.48,0.506,1.242,0.686,2.219,0.492,3.252,0.718,0.87,0.443,1.317,0.889,0.81,0.795,1.056,1.734,0.583,0.667,0.572,1.292,0.474,2.687,0.534,0.651,2.16,1.329,0.513,0.347,2.447,1.481,0.492,0.336,2.089,2.162,1.564,0.683,0.5,2.154,1.177,1.375,3.166,2.176,1.657,0.33,3.148,2.496,2.266,0.35,0.345,3.313,2.729,1.209,1.385,0.687,0.332,0.476,2.173
205,2.5000000000000001E-2,0.098,0.172,0.295,0.423,0.561,0.692,0.724,2.985,0.212,0.435,0.195,0.449,1.083,1.446,0.47,1.175,0.638,2.147,0.441,3.153,0.673,0.809,0.412,1.283,0.859,0.758,0.746,1.003,1.698,0.547,0.597,0.537,1.254,0.442,2.632,0.43,0.611,2.12,1.296,0.478,0.316,2.394,1.409,0.461,0.302,2.045,2.121,1.528,0.606,0.464,2.124,1.141,1.342,3.088,2.131,1.582,0.296,3.066,2.416,2.222,0.316,0.314,3.202,2.666,1.17,1.349,0.617,0.297,0.445,2.131
210,2.1999999999999999E-2,0.085,0.15,0.255,0.364,0.483,0.598,0.676,2.884,0.183,0.398,0.164,0.414,1.031,1.392,0.433,1.107,0.59,2.05,0.4,3.086,0.625,0.76,0.383,1.23,0.817,0.713,0.7,0.947,1.635,0.508,0.544,0.498,1.198,0.411,2.541,0.368,0.571,2.041,1.245,0.441,0.289,2.308,1.316,0.431,0.27,1.966,2.042,1.468,0.55,0.428,2.057,1.088,1.288,3.012,2.05,1.483,0.265,2.981,2.315,2.137,0.285,0.286,3.138,2.569,1.114,1.294,0.562,0.267,0.415,2.05
215,2.1000000000000001E-2,0.068,0.117,0.193,0.273,0.359,0.442,0.628,2.713,0.162,0.368,0.141,0.381,0.97,1.32,0.399,1.034,0.543,1.924,0.366,2.938,0.577,0.713,0.357,1.164,0.769,0.666,0.653,0.887,1.547,0.471,0.493,0.46,1.132,0.383,2.395,0.331,0.531,1.93,1.176,0.408,0.266,2.178,1.212,0.402,0.243,1.854,1.931,1.385,0.503,0.395,1.951,1.024,1.219,2.861,1.935,1.373,0.24,2.831,2.177,2.019,0.259,0.263,2.995,2.426,1.048,1.225,0.509,0.24,0.388,1.937
220,0.02,0.052,0.085,0.129,0.18,0.235,0.288,0.587,2.552,0.147,0.343,0.125,0.355,0.915,1.25,0.372,0.969,0.506,1.806,0.339,2.795,0.539,0.671,0.335,1.1,0.725,0.624,0.613,0.833,1.46,0.441,0.449,0.431,1.071,0.36,2.249,0.304,0.5,1.824,1.107,0.381,0.247,2.052,1.124,0.379,0.221,1.747,1.824,1.302,0.468,0.37,1.845,0.966,1.153,2.71,1.826,1.278,0.219,2.673,2.048,1.908,0.238,0.244,2.847,2.286,0.989,1.158,0.465,0.217,0.366,1.83
225,0.02,0.038,0.058,0.076,0.101,0.129,0.155,0.545,2.377,0.133,0.317,0.111,0.328,0.859,1.176,0.345,0.904,0.467,1.688,0.311,2.626,0.499,0.629,0.312,1.034,0.68,0.58,0.572,0.778,1.368,0.41,0.405,0.399,1.008,0.335,2.096,0.279,0.466,1.715,1.036,0.353,0.23,1.918,1.04,0.354,0.201,1.637,1.714,1.217,0.432,0.343,1.731,0.908,1.085,2.548,1.714,1.187,0.201,2.501,1.918,1.793,0.218,0.226,2.669,2.144,0.929,1.09,0.421,0.197,0.343,1.721
238,1.6E-2,0.022,0.028,0.022,0.023,0.026,0.029,0.455,1.969,0.107,0.263,0.086,0.272,0.729,1.004,0.286,0.76,0.385,1.419,0.256,2.222,0.413,0.533,0.263,0.879,0.577,0.487,0.47,0.644,1.144,0.341,0.325,0.331,0.86,0.282,1.739,0.23,0.39,1.447,0.864,0.293,0.193,1.599,0.854,0.299,0.162,1.38,1.444,1.012,0.355,0.285,1.455,0.771,0.924,2.15,1.445,0.982,0.163,2.095,1.62,1.513,0.178,0.188,2.255,1.81,0.788,0.929,0.339,0.159,0.29,1.4533
250,1.4E-2,0.018,0.022,0.015,0.014,0.015,0.015,0.404,1.717,0.094,0.234,0.075,0.241,0.647,0.893,0.254,0.672,0.341,1.252,0.227,1.961,0.364,0.475,0.235,0.78,0.511,0.431,0.409,0.56,1.004,0.303,0.287,0.294,0.767,0.252,1.521,0.205,0.346,1.275,0.759,0.26,0.171,1.397,0.742,0.268,0.142,1.216,1.272,0.886,0.313,0.252,1.282,0.685,0.82,1.897,1.273,0.854,0.144,1.84,1.429,1.333,0.157,0.167,1.989,1.591,0.698,0.824,0.299,0.139,0.26,1.281
