Run Number:,reruns,...3,Date:,20210419,...6,Initials:,RN,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39
ENTER SCAN DATA HERE,Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength,0,200,400,600,800,1000,2000,U81,U138,U148,U188,U187,U174,U173,U172,U169,U168,U167,U166,U165,U164,U162,U161,U159,U153,U152,U151,U146,U142,U104,U103,U102,U100,U6,U5,U4,U3,U2
200,1.583,1.751,1.847,1.94,2.029,2.122,2.382,2.1070000000000002,1.968,2.0099999999999998,1.976,1.833,1.998,1.829,1.8580000000000001,2.4940000000000002,2.0099999999999998,1.8440000000000001,2.028,1.925,2.1659999999999999,1.9530000000000001,2.081,1.804,1.907,1.8169999999999999,1.774,2.319,1.8160000000000001,2.3559999999999999,2.1110000000000002,1.9259999999999999,1.9079999999999999,2.2869999999999999,2.1150000000000002,1.865,1.9670000000000001,1.7490000000000001
205,1.4039999999999999,1.572,1.677,1.779,1.882,1.993,2.347,1.9590000000000001,1.8049999999999999,1.849,1.8169999999999999,1.661,1.839,1.66,1.6910000000000001,2.4119999999999999,1.8480000000000001,1.6739999999999999,1.875,1.756,2.0230000000000001,1.794,1.9359999999999999,1.6359999999999999,1.7410000000000001,1.6479999999999999,1.603,2.2029999999999998,1.645,2.2509999999999999,1.96,1.76,1.7430000000000001,2.1640000000000001,1.958,1.6990000000000001,1.8049999999999999,1.58
210,1.194,1.34,1.436,1.53,1.625,1.731,2.127,1.7090000000000001,1.5589999999999999,1.603,1.573,1.425,1.595,1.4239999999999999,1.452,2.1859999999999999,1.6040000000000001,1.4379999999999999,1.631,1.5149999999999999,1.7749999999999999,1.55,1.6850000000000001,1.403,1.4990000000000001,1.4139999999999999,1.3740000000000001,1.956,1.411,2.0099999999999998,1.7130000000000001,1.518,1.502,1.915,1.716,1.4630000000000001,1.5629999999999999,1.3540000000000001
215,0.88300000000000001,0.991,1.061,1.137,1.204,1.284,1.608,1.2829999999999999,1.159,1.2010000000000001,1.1739999999999999,1.0549999999999999,1.1930000000000001,1.052,1.073,1.694,1.204,1.0660000000000001,1.2290000000000001,1.1299999999999999,1.3520000000000001,1.151,1.258,1.0349999999999999,1.113,1.048,1.0149999999999999,1.4930000000000001,1.044,1.536,1.2929999999999999,1.1259999999999999,1.1140000000000001,1.458,1.306,1.085,1.167,0.999
220,0.57699999999999996,0.645,0.687,0.743,0.778,0.828,1.036,0.84899999999999998,0.75700000000000001,0.79700000000000004,0.77,0.68400000000000005,0.78700000000000003,0.68,0.69499999999999995,1.1579999999999999,0.79900000000000004,0.69299999999999995,0.82199999999999995,0.74199999999999999,0.91900000000000004,0.748,0.82099999999999995,0.66500000000000004,0.72499999999999998,0.68,0.65500000000000003,1.008,0.67700000000000005,1.0349999999999999,0.86699999999999999,0.73099999999999998,0.72499999999999998,0.98,0.88600000000000001,0.70499999999999996,0.76600000000000001,0.64400000000000002
225,0.315,0.35,0.369,0.408,0.416,0.44,0.543,0.47799999999999998,0.41299999999999998,0.44900000000000001,0.42299999999999999,0.36699999999999999,0.44,0.36199999999999999,0.37,0.69299999999999995,0.45300000000000001,0.374,0.47099999999999997,0.41,0.54700000000000004,0.40300000000000002,0.44800000000000001,0.34899999999999998,0.39200000000000002,0.36499999999999999,0.34799999999999998,0.59,0.36199999999999999,0.60099999999999998,0.5,0.39400000000000002,0.39200000000000002,0.56999999999999995,0.52200000000000002,0.379,0.42299999999999999,0.33900000000000002
238,6.2E-2,0.064,0.063,0.08,0.066,0.066,0.069,0.114,7.9000000000000001E-2,0.108,8.7999999999999995E-2,6.2E-2,0.1,5.7000000000000002E-2,0.06,0.22700000000000001,0.113,6.7000000000000004E-2,0.13,8.6999999999999994E-2,0.17799999999999999,7.1999999999999995E-2,8.5999999999999993E-2,4.9000000000000002E-2,7.2999999999999995E-2,6.3E-2,5.3999999999999999E-2,0.17499999999999999,6.0999999999999999E-2,0.17199999999999999,0.13900000000000001,7.0000000000000007E-2,7.0999999999999994E-2,0.16300000000000001,0.157,6.6000000000000003E-2,8.7999999999999995E-2,4.9000000000000002E-2
250,3.2000000000000001E-2,0.032,0.029,0.041,0.027,0.026,0.021,6.5000000000000002E-2,0.04,6.3E-2,4.4999999999999998E-2,2.8000000000000001E-2,5.5E-2,2.4E-2,2.5000000000000001E-2,0.155,6.5000000000000002E-2,3.1E-2,8.4000000000000005E-2,4.7E-2,0.125,3.4000000000000002E-2,4.2000000000000003E-2,1.9E-2,3.5999999999999997E-2,2.9000000000000001E-2,2.1000000000000001E-2,0.115,2.7E-2,0.111,8.7999999999999995E-2,3.3000000000000002E-2,3.4000000000000002E-2,0.104,0.10199999999999999,0.03,4.3999999999999997E-2,1.7999999999999999E-2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COEFFICIENTS OF 3RD-ORDER POLYNOMIAL (c3*x^3)+(c2*x^2)+c1*x)+b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,1.8629594351044523E-5,0.0000224870747957041,0.0000257561285533694,0.0000283102169027352,0.0000324224643609748,0.0000367349236581158,0.0000571510879337631,3.3536866457513667E-5,2.937624512225287E-5,2.9780004872843739E-5,2.9769674118998855E-5,2.5601703623364876E-5,2.9953143730079385E-5,2.5904986534770594E-5,2.6647839385058616E-5,5.0057709966509599E-5,2.9566657589932239E-5,2.5892284137028991E-5,3.0519103489652039E-5,2.752855892694287E-5,3.3876090158205323E-5,2.9690580362460606E-5,3.4034743136762806E-5,2.5813001231593778E-5,2.7695708446420683E-5,2.5478877791498487E-5,2.4528573067253949E-5,4.1449642445223568E-5,2.5303105721828476E-5,4.42695401050229E-5,3.2728538659764575E-5,2.8401897043813855E-5,2.7903518347978727E-5,4.0024536539834536E-5,3.2113230625415442E-5,2.7005348591921248E-5,2.9289163481409511E-5,2.4356534674449218E-5
c2,-1.1858052613198063E-2,-0.0143911289433721,-0.0165605551805714,-0.0182658900663365,-0.0210032202828592,-0.0238868671042058,-0.037676551100639,-2.1766740933995443E-2,-1.8977048022400748E-2,-1.9256180618026749E-2,-1.9250797816757047E-2,-1.6466447495655449E-2,-1.9374771504433699E-2,-1.6669655613875366E-2,-1.7162181074930945E-2,-3.2919781240497034E-2,-1.9117160721869617E-2,-1.6663288947739191E-2,-1.9761269682309835E-2,-1.775116077725827E-2,-2.2010869232911286E-2,-1.9191814007701268E-2,-2.2095264188612081E-2,-1.6611524535877036E-2,-1.7859242712046884E-2,-1.6392231894872194E-2,-1.5762446596794537E-2,-2.7094407160350886E-2,-1.6271332899763093E-2,-2.8996662929020471E-2,-2.1233849910600063E-2,-1.8327589907310093E-2,-1.7999666328448374E-2,-2.6131879672741012E-2,-2.083908106568735E-2,-1.740924529767043E-2,-1.8932646764661935E-2,-1.5654352041201122E-2
